time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.63,30.63,252.00,0
255,110.55,123.57,253.00,0
252,206.60,216.15,252.00,0
252,261.33,264.79,253.00,0
252,273.14,272.67,253.00,0
252,264.36,262.91,253.00,0
252,254.24,253.37,253.00,0
253,250.04,249.90,253.00,0
252,250.53,250.77,253.00,0
252,252.40,252.58,253.00,0
252,253.25,253.26,253.00,0
255,253.06,253.00,253.00,0
255,252.74,252.75,253.00,0
255,253.03,253.07,253.00,0
252,253.38,253.42,253.00,0
252,253.37,253.32,253.00,0
252,252.82,252.73,253.00,0
252,252.22,252.17,253.00,0
252,251.91,251.89,253.00,0
254,251.80,251.78,253.00,0
252,251.78,251.80,252.00,0
248,251.87,251.86,252.00,0
254,251.47,251.40,252.00,0
252,251.19,251.20,252.00,0
253,251.46,251.51,252.00,0
252,251.90,251.94,252.00,0
252,252.18,252.20,252.00,0
254,252.27,252.26,252.00,0
252,252.29,252.30,252.00,0
252,252.26,252.25,252.00,0
252,252.21,252.24,252.00,0
252,252.53,252.56,252.00,0
252,252.58,252.56,252.00,0
252,252.34,252.30,252.00,0
252,252.08,252.06,252.00,0
251,251.85,251.81,252.00,0
253,251.46,251.43,252.00,0
255,251.58,251.66,252.00,0
252,252.57,252.70,252.00,0
253,253.23,253.27,252.00,0
255,253.37,253.35,252.00,0
251,253.09,253.03,252.00,0
602307,0.00,0.00,252.00,0,3
602337,0.00,0.00,252.00,0,2
602368,0.00,0.00,252.00,0,3
602399,0.00,0.00,252.00,0,3
602430,0.00,0.00,252.00,0,3,0
602461,0.00,0.00,252.00,0,2
602492,0.00,0.00,252.00,0,3
602522,0.00,0.00,252.00,0,3
602553,0.00,0.00,252.00,0,3
602584,0.00,0.00,252.00,0,3
602615,0.00,0.00,252.00,0,3
602646,0.00,0.00,252.00,0,3
602677,0.00,0.00,252.00,0,3
602708,0.00,0.00,252.00,0,3
602738,0.00,0.00,252.00,0,3
602769,0.00,0.00,252.00,0,3
602800,0.00,0.00,252.00,0,2
602831,0.00,0.00,252.00,0,2
602862,0.00,0.00,252.00,0,3
602893,0.00,0.00,252.00,0,3
602923,0.00,0.00,252.00,0,3
602954,0.00,0.00,252.00,0,2,0
602985,0.00,0.00,252.00,0,2
603016,0.00,0.00,252.00,0,3
603047,0.00,0.00,252.00,0,2
603078,0.00,0.00,252.00,0,2
603108,0.00,0.00,252.00,0,3
603139,0.00,0.00,252.00,0,3
603170,0.00,0.00,252.00,0,3
603201,0.00,-0.09,251.00,0,3
603232,0.00,0.00,252.00,0,3
603263,0.00,0.00,252.00,0,3
603294,0.00,0.00,252.00,0,2
603325,0.00,0.00,252.00,0,3
603356,0.00,0.00,252.00,0,3
603386,0.00,0.00,252.00,0,2
603417,0.00,0.00,252.00,0,3,0
603448,0.00,0.00,252.00,0,3
603479,0.00,0.00,252.00,0,3
603510,0.00,-0.09,251.00,0,3
603541,0.00,-0.09,251.00,0,3
603572,0.00,-0.09,251.00,0,3
603603,0.00,-0.09,251.00,0,2
603634,0.00,-0.09,251.00,0,3
603665,0.00,-0.09,251.00,0,3
603696,0.00,-0.09,251.00,0,3
603727,0.00,-0.09,251.00,0,3
603758,0.00,-0.09,251.00,0,3
603789,0.00,-0.09,251.00,0,3
603820,0.00,0.00,252.00,0,2
603851,0.00,0.00,252.00,0,3
603881,0.00,0.00,252.00,0,2
603912,0.00,0.00,252.00,0,3
603943,0.00,0.00,252.00,0,3
603974,0.00,0.00,252.00,0,2
604005,0.00,0.00,252.00,0,3
604036,0.00,0.00,252.00,0,3
604067,0.00,0.00,252.00,0,3
604098,0.00,0.00,252.00,0,3
604129,0.00,0.00,252.00,0,3
604159,0.00,0.00,252.00,0,3
604190,0.00,0.00,252.00,0,2
604221,0.00,0.00,252.00,0,3
604252,0.00,0.00,252.00,0,2
604283,0.00,0.00,252.00,0,3,0
604314,0.00,0.00,252.00,0,3
604345,0.00,0.00,252.00,0,3
604376,0.00,0.00,252.00,0,3
604406,0.00,0.00,252.00,0,3
604437,0.00,0.00,252.00,0,3
604468,0.00,0.00,252.00,0,3
604499,0.00,0.00,252.00,0,2
604530,0.00,0.00,252.00,0,3
604561,0.00,0.00,252.00,0,2
604592,0.00,0.00,252.00,0,2
604623,0.00,0.00,252.00,0,3
604654,0.00,0.00,252.00,0,2
604684,0.00,0.00,252.00,0,3
604715,0.00,0.00,252.00,0,3
604746,0.00,0.00,252.00,0,3,0
604777,0.00,0.00,252.00,0,2
604808,0.00,-0.09,251.00,0,3
604839,0.00,-0.09,251.00,0,3
604870,0.00,-0.09,251.00,0,3
604901,0.00,-0.09,251.00,0,3
604932,0.00,-0.09,251.00,0,3
604963,0.00,-0.09,251.00,0,2
604994,0.00,-0.09,251.00,0,3
605025,0.00,-0.09,251.00,0,3,0
605056,0.00,-0.09,251.00,0,3
605087,0.00,-0.09,251.00,0,3
605118,0.00,-0.09,251.00,0,3
605149,0.00,-0.09,251.00,0,3
605180,0.00,-0.09,251.00,0,3
605211,0.00,-0.09,251.00,0,3
605242,0.00,-0.09,251.00,0,2
605273,0.00,-0.09,251.00,0,2
605304,0.00,-0.09,251.00,0,3
605335,0.00,-0.09,251.00,0,2
605366,0.00,-0.09,251.00,0,2,0
605397,0.00,-0.09,251.00,0,3
605427,0.00,-0.09,251.00,0,2
605458,0.00,-0.09,251.00,0,2
605489,0.00,-0.09,251.00,0,3
605520,0.00,-0.09,251.00,0,3
605551,0.00,-0.09,251.00,0,3
605582,0.00,-0.09,251.00,0,3
605613,0.00,-0.09,251.00,0,2
605644,0.00,-0.09,251.00,0,2,0
605675,0.00,-0.09,251.00,0,2
605706,0.00,-0.09,251.00,0,3
605737,0.00,-0.09,251.00,0,3
605768,0.00,-0.09,251.00,0,3
605799,0.00,-0.09,251.00,0,3
605830,0.00,-0.09,251.00,0,2
605861,0.00,-0.09,251.00,0,3
605892,0.00,-0.09,251.00,0,3
605923,0.00,-0.09,251.00,0,3
605954,0.00,-0.09,251.00,0,3
605985,0.00,-0.09,251.00,0,3
606016,0.00,-0.09,251.00,0,2
606047,0.00,-0.09,251.00,0,3
606078,0.00,-0.09,251.00,0,2
606109,0.00,-0.09,251.00,0,3
606140,0.00,-0.09,251.00,0,2
606171,0.00,-0.09,251.00,0,3
606202,0.00,-0.09,251.00,0,2
606233,0.00,-0.09,251.00,0,3
606264,0.00,-0.09,251.00,0,2,0
606295,0.00,0.00,252.00,0,3
606326,0.00,0.00,252.00,0,2,0
606357,0.00,0.00,252.00,0,3
606388,0.00,0.00,252.00,0,3,0
606418,0.00,0.00,252.00,0,2
606449,0.00,0.00,252.00,0,3,0
606480,0.00,0.00,252.00,0,3
606511,0.00,0.00,252.00,0,3,0
606542,0.00,0.00,252.00,0,3
606573,0.00,0.00,252.00,0,3,0
606604,0.00,0.00,252.00,0,3
606635,0.00,0.00,252.00,0,2,0
