time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
251,22.67,30.65,252.00,0
251,110.27,123.22,251.00,0
251,205.32,214.71,251.00,0
251,259.01,262.39,251.00,0
251,270.61,270.15,251.00,0
250,261.87,260.41,251.00,0
251,251.61,250.71,251.00,0
251,247.18,247.03,251.00,0
251,247.58,247.81,251.00,0
252,249.73,250.01,251.00,0
249,251.62,251.76,251.00,0
251,251.85,251.76,251.00,0
252,251.04,250.97,251.00,0
252,250.90,250.95,251.00,0
252,251.52,251.61,251.00,0
252,252.21,252.27,251.00,0
252,252.44,252.44,251.00,0
252,252.30,252.27,251.00,0
252,252.12,252.13,252.00,0
252,252.21,252.23,252.00,0
249,252.24,252.23,252.00,0
251,251.91,251.84,252.00,0
251,251.34,251.28,252.00,0
248,250.97,250.94,252.00,0
252,250.58,250.52,252.00,0
252,250.43,250.47,252.00,0
251,250.95,251.02,252.00,0
251,251.23,251.24,251.00,0
252,251.19,251.19,251.00,0
252,251.32,251.36,251.00,0
250,251.59,251.59,251.00,0
249,251.10,250.97,251.00,0
251,250.14,250.06,251.00,0
253,249.89,249.92,251.00,0
252,250.49,250.61,251.00,0
252,251.41,251.52,251.00,0
248,251.94,251.95,251.00,0
251,251.55,251.47,251.00,0
251,250.95,250.90,251.00,0
249,250.72,250.71,251.00,0
251,250.67,250.67,251.00,0
251,250.73,250.74,251.00,0
141787,0.00,0.00,251.00,0,3
141818,0.00,0.00,251.00,0,3
141849,0.00,0.00,251.00,0,3
141880,0.00,0.00,251.00,0,3
141910,0.00,0.00,251.00,0,3
141941,0.00,0.00,251.00,0,3
141972,0.00,0.00,251.00,0,3
142003,0.00,0.00,251.00,0,3
142034,0.00,0.00,251.00,0,5
142065,0.00,0.00,251.00,0,3
142096,0.00,0.00,251.00,0,3
142126,0.00,0.00,251.00,0,3
142157,0.00,0.00,251.00,0,3
142188,0.00,0.00,251.00,0,3
142219,0.00,0.09,252.00,0,5,0
142250,0.00,0.00,251.00,0,3
142281,0.00,0.00,251.00,0,3,0
142312,0.00,0.00,251.00,0,3
142343,0.00,0.00,251.00,0,3
142374,0.00,0.00,251.00,0,3
142405,0.00,0.09,252.00,0,3
142436,0.00,0.09,252.00,0,3
142466,0.00,0.09,252.00,0,3
142497,0.00,0.09,252.00,0,3
142528,0.00,0.09,252.00,0,3
142559,0.00,0.09,252.00,0,3
142590,0.00,0.09,252.00,0,3
142621,0.00,0.09,252.00,0,3
142652,0.00,0.09,252.00,0,3
142683,0.00,0.09,252.00,0,3,0
142714,0.00,0.09,252.00,0,3
142745,0.00,0.09,252.00,0,3
142776,0.00,0.09,252.00,0,3
142806,0.00,0.09,252.00,0,3
142837,0.00,0.09,252.00,0,3
142868,0.00,0.09,252.00,0,3
142899,0.00,0.09,252.00,0,3
