time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.52,30.48,252.00,0
251,110.23,123.22,252.00,0
251,205.85,215.33,251.00,0
251,260.06,263.46,251.00,0
251,271.46,270.92,251.00,0
248,262.15,260.63,251.00,0
251,251.37,250.40,251.00,0
251,246.59,246.45,251.00,0
250,247.22,247.47,251.00,0
248,249.27,249.46,251.00,0
251,250.14,250.16,251.00,0
251,250.28,250.32,251.00,0
251,250.62,250.66,251.00,0
249,250.79,250.78,250.00,0
250,250.41,250.33,250.00,0
248,249.67,249.57,250.00,0
250,249.01,248.95,250.00,0
249,248.65,248.63,250.00,0
248,248.51,248.50,250.00,0
251,248.45,248.46,250.00,0
248,248.86,248.94,249.00,0
251,249.43,249.48,250.00,0
251,249.95,250.02,250.00,0
253,250.40,250.43,250.00,0
252,250.74,250.80,250.00,0
251,251.39,251.47,250.00,0
248,251.77,251.75,250.00,0
253,251.16,251.06,250.00,0
250,250.73,250.72,250.00,0
251,250.73,250.73,250.00,0
254,250.83,250.87,251.00,0
248,251.88,251.93,251.00,0
252,251.90,251.86,251.00,0
252,251.61,251.63,251.00,0
252,251.91,251.95,252.00,0
251,252.12,252.12,251.00,0
251,251.87,251.81,251.00,0
252,251.52,251.52,252.00,0
252,251.92,252.02,252.00,0
253,252.71,252.79,252.00,0
255,253.17,253.21,252.00,0
2097513,0.00,0.00,252.00,0,0
2097544,0.00,0.00,252.00,0,0
2097575,0.00,0.09,253.00,0,0
2097606,0.00,0.09,253.00,0,0
2097637,0.00,0.09,253.00,0,0
2097668,0.00,0.09,253.00,0,0
2097699,0.00,0.09,253.00,0,0
2097729,0.00,0.09,253.00,0,0
2097760,0.00,0.09,253.00,0,0
2097791,0.00,0.09,253.00,0,0
2097822,0.00,0.09,253.00,0,0
2097853,0.00,0.18,254.00,0,0
2097884,0.00,0.18,254.00,0,0
2097915,0.00,0.18,254.00,0,0
2097946,0.00,0.18,254.00,0,0
2097977,0.00,0.18,254.00,0,0
2098008,0.00,0.18,254.00,0,0
2098039,0.00,0.18,254.00,0,0
2098070,0.00,0.18,254.00,0,0
2098101,0.00,0.18,254.00,0,0
2098132,0.00,0.18,254.00,0,0
2098163,0.00,0.18,254.00,0,0
2098194,0.00,0.18,254.00,0,0
2098225,0.00,0.18,254.00,0,0
2098256,0.00,0.26,255.00,0,0
2098287,0.00,0.26,255.00,0,0
2098318,0.00,0.26,255.00,0,0
2098349,0.00,0.26,255.00,0,0
2098380,0.00,0.26,255.00,0,0,0
2098411,0.00,0.26,255.00,0,0
2098442,0.00,0.26,255.00,0,0
2098473,0.00,0.26,255.00,0,0
2098504,0.00,0.26,255.00,0,0
2098535,0.00,0.35,256.00,0,0
2098566,0.00,0.35,256.00,0,0
2098597,0.00,0.35,256.00,0,0
2098628,0.00,0.35,256.00,0,0
2098659,0.00,0.35,256.00,0,0
2098690,0.00,0.35,256.00,0,0
2098721,0.00,0.35,256.00,0,0
2098752,0.00,0.35,256.00,0,0
2098783,0.00,0.35,256.00,0,0
2098814,0.00,0.35,256.00,0,0
2098845,0.00,0.35,256.00,0,0
2098876,0.00,0.35,256.00,0,0
2098907,0.00,0.35,256.00,0,0
2098938,0.00,0.35,256.00,0,0
2098969,0.00,0.35,256.00,0,0
2098999,0.00,0.35,256.00,0,0,0
2099030,0.00,0.35,256.00,0,0
2099061,0.00,0.35,256.00,0,0
2099092,0.00,0.35,256.00,0,0
2099123,0.00,0.35,256.00,0,0
2099154,0.00,0.35,256.00,0,0
2099185,0.00,0.35,256.00,0,0
2099216,0.00,0.35,256.00,0,0
2099248,0.00,0.35,256.00,0,0
2099279,0.00,0.35,256.00,0,0,0
2099310,0.00,0.35,256.00,0,0
2099341,0.00,0.35,256.00,0,0
2099373,0.00,0.35,256.00,0,0
2099404,0.00,0.35,256.00,0,0
2099435,0.00,0.35,256.00,0,0
2099466,0.00,0.35,256.00,0,0
2099498,0.00,0.35,256.00,0,0
2099529,0.00,0.35,256.00,0,0
2099560,0.00,0.35,256.00,0,0
2099591,0.00,0.26,255.00,0,0
2099623,0.00,0.26,255.00,0,0
2099654,0.00,0.26,255.00,0,0
2099685,0.00,0.26,255.00,0,0
2099716,0.00,0.26,255.00,0,0
2099748,0.00,0.26,255.00,0,0
2099779,0.00,0.26,255.00,0,0
2099810,0.00,0.26,255.00,0,0
2099841,0.00,0.26,255.00,0,0
2099873,0.00,0.26,255.00,0,0
2099904,0.00,0.26,255.00,0,0,0
2099935,0.00,0.26,255.00,0,0
2099966,0.00,0.26,255.00,0,0
2099998,0.00,0.26,255.00,0,0
2100029,0.00,0.26,255.00,0,0
2100060,0.00,0.26,255.00,0,0
2100091,0.00,0.26,255.00,0,0
2100123,0.00,0.26,255.00,0,0
2100154,0.00,0.26,255.00,0,0
2100185,0.00,0.26,255.00,0,0,0
2100216,0.00,0.26,255.00,0,0
2100248,0.00,0.26,255.00,0,0
2100279,0.00,0.26,255.00,0,0
2100310,0.00,0.26,255.00,0,0
2100341,0.00,0.26,255.00,0,0
2100373,0.00,0.26,255.00,0,0
2100404,0.00,0.26,255.00,0,0
2100435,0.00,0.26,255.00,0,0
2100466,0.00,0.18,254.00,0,0
2100498,0.00,0.18,254.00,0,0
2100529,0.00,0.18,254.00,0,0
2100560,0.00,0.18,254.00,0,0
2100591,0.00,0.18,254.00,0,0
2100623,0.00,0.18,254.00,0,0
2100654,0.00,0.18,254.00,0,0
2100685,0.00,0.18,254.00,0,0
2100716,0.00,0.18,254.00,0,0
2100748,0.00,0.18,254.00,0,0
2100779,0.00,0.18,254.00,0,0
2100810,0.00,0.18,254.00,0,0,0
2100841,0.00,0.18,254.00,0,0
2100873,0.00,0.18,254.00,0,0
2100904,0.00,0.18,254.00,0,0
2100935,0.00,0.18,254.00,0,0
2100966,0.00,0.18,254.00,0,0
2100998,0.00,0.18,254.00,0,0
2101029,0.00,0.18,254.00,0,0
2101060,0.00,0.18,254.00,0,0
2101091,0.00,0.18,254.00,0,0
2101123,0.00,0.18,254.00,0,0
2101154,0.00,0.18,254.00,0,0
2101185,0.00,0.18,254.00,0,0
2101216,0.00,0.18,254.00,0,0
2101248,0.00,0.18,254.00,0,0
2101279,0.00,0.18,254.00,0,0
2101310,0.00,0.18,254.00,0,0
2101341,0.00,0.18,254.00,0,0
2101373,0.00,0.18,254.00,0,0
2101404,0.00,0.18,254.00,0,0
2101435,0.00,0.18,254.00,0,0
2101466,0.00,0.18,254.00,0,0
2101498,0.00,0.18,254.00,0,0
2101529,0.00,0.18,254.00,0,0
2101560,0.00,0.09,253.00,0,0
2101591,0.00,0.09,253.00,0,0
2101623,0.00,0.09,253.00,0,0
2101654,0.00,0.09,253.00,0,0
2101685,0.00,0.09,253.00,0,0
2101716,0.00,0.18,254.00,0,0,0
2101748,0.00,0.18,254.00,0,0
2101779,0.00,0.18,254.00,0,0
2101810,0.00,0.18,254.00,0,0
2101841,0.00,0.09,253.00,0,0
2101873,0.00,0.09,253.00,0,0
2101904,0.00,0.09,253.00,0,0
2101935,0.00,0.09,253.00,0,0
2101966,0.00,0.09,253.00,0,0
2101998,0.00,0.09,253.00,0,0
2102029,0.00,0.09,253.00,0,0
2102060,0.00,0.09,253.00,0,0
2102091,0.00,0.09,253.00,0,0
2102123,0.00,0.09,253.00,0,0
2102154,0.00,0.09,253.00,0,0
2102185,0.00,0.09,253.00,0,0
2102216,0.00,0.09,253.00,0,0
2102248,0.00,0.00,252.00,0,0
2102279,0.00,0.00,252.00,0,0
2102310,0.00,0.00,252.00,0,0
2102341,0.00,0.00,252.00,0,0
2102373,0.00,0.00,252.00,0,0
2102404,0.00,0.00,252.00,0,0
2102435,0.00,0.00,252.00,0,0
