trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,4.9,4,4.9,4,1,1,1,0,0
2,4.6,4,4,4.6,3,3,2,0,1
3,3.4,4,4,3.4,1,1,3,0,1
4,3.1,4,3.1,4,3,3,4,0,0
5,4.9,4,4.9,4,1,1,5,0,0
6,4.9,4,4,4.9,3,3,6,0,1
7,3.1,4,4,3.1,1,1,7,0,1
8,4.9,4,4,4.9,3,3,8,0,1
9,4.9,4,4,4.9,3,3,9,0,1
10,3.1,4,4,3.1,1,1,10,0,1
11,3.1,4,4,3.1,1,1,11,0,1
12,3.4,4,4,3.4,1,3,11,1,1
13,4.9,4,4,4.9,3,3,12,1,1
14,3.7,4,4,3.7,1,1,13,1,1
15,4.9,4,4.9,4,1,1,14,1,0
16,3.1,4,3.1,4,3,3,15,1,0
17,3.1,4,3.1,4,3,3,16,1,0
18,3.7,4,4,3.7,1,3,16,2,1
19,4.6,4,4.6,4,1,1,17,2,0
20,4.6,4,4,4.6,3,1,17,3,1
21,4.6,4,4,4.6,3,1,17,4,1
22,3.1,4,3.1,4,3,3,18,4,0
23,3.1,4,4,3.1,1,1,19,4,1
24,3.7,4,3.7,4,3,1,19,5,0
25,4.3,4,4.3,4,1,3,19,6,0
26,3.7,4,4,3.7,1,3,19,7,1
27,4.3,4,4,4.3,3,3,20,7,1
28,4.6,4,4.6,4,1,1,21,7,0
29,3.1,4,3.1,4,3,3,22,7,0
30,4.6,4,4,4.6,3,1,22,8,1
31,3.7,4,4,3.7,1,1,23,8,1
32,4.9,4,4.9,4,1,1,24,8,0
33,4.3,4,4,4.3,3,3,25,8,1
34,3.4,4,4,3.4,1,1,26,8,1
35,4.3,4,4.3,4,1,1,27,8,0
36,4.9,4,4,4.9,3,3,28,8,1
37,4.6,4,4.6,4,1,1,29,8,0
38,3.4,4,3.4,4,3,3,30,8,0
39,3.4,4,4,3.4,1,1,31,8,1
40,3.7,4,3.7,4,3,1,31,9,0
41,3.7,4,4,3.7,1,1,32,9,1
42,3.1,4,4,3.1,1,1,33,9,1
43,4.6,4,4.6,4,1,3,33,10,0
44,4.6,4,4.6,4,1,1,34,10,0
45,4.3,4,4.3,4,1,3,34,11,0
46,4.3,4,4,4.3,3,3,35,11,1
47,3.7,4,4,3.7,1,1,36,11,1
48,4.3,4,4.3,4,1,3,36,12,0
49,3.4,4,3.4,4,3,1,36,13,0
50,3.7,4,4,3.7,1,3,36,14,1
51,3.4,4,3.4,4,3,3,37,14,0
52,3.4,4,3.4,4,3,1,37,15,0
53,4.3,4,4.3,4,1,3,37,16,0
54,3.4,4,4,3.4,1,3,37,17,1
55,4.3,4,4,4.3,3,1,37,18,1
56,4.3,4,4.3,4,1,1,38,18,0
57,4.6,4,4,4.6,3,3,39,18,1
58,3.4,4,4,3.4,1,1,40,18,1
59,3.7,4,3.7,4,3,1,40,19,0
60,4.9,4,4,4.9,3,3,41,19,1
