trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,3.1,2.5,2.5,3.1,3,3,1,0,1
2,2.1,2.5,2.1,2.5,3,3,2,0,0
3,2.7,2.5,2.7,2.5,1,3,2,1,0
4,3.1,2.5,3.1,2.5,1,1,3,1,0
5,3.1,2.5,3.1,2.5,1,1,4,1,0
6,3.1,2.5,2.5,3.1,3,1,4,2,1
7,2.1,2.5,2.1,2.5,3,3,5,2,0
8,1.9,2.5,1.9,2.5,3,1,5,3,0
9,2.7,2.5,2.7,2.5,1,3,5,4,0
10,1.9,2.5,2.5,1.9,1,3,5,5,1
11,2.1,2.5,2.5,2.1,1,1,6,5,1
12,2.3,2.5,2.5,2.3,1,1,7,5,1
13,2.3,2.5,2.3,2.5,3,3,8,5,0
14,2.9,2.5,2.9,2.5,1,1,9,5,0
15,2.1,2.5,2.1,2.5,3,3,10,5,0
16,2.9,2.5,2.5,2.9,3,3,11,5,1
17,2.7,2.5,2.7,2.5,1,1,12,5,0
18,2.3,2.5,2.5,2.3,1,3,12,6,1
19,3.1,2.5,3.1,2.5,1,1,13,6,0
20,2.9,2.5,2.9,2.5,1,1,14,6,0
21,3.1,2.5,2.5,3.1,3,3,15,6,1
22,3.1,2.5,2.5,3.1,3,3,16,6,1
23,3.1,2.5,3.1,2.5,1,1,17,6,0
24,2.3,2.5,2.5,2.3,1,3,17,7,1
25,2.7,2.5,2.7,2.5,1,3,17,8,0
26,2.7,2.5,2.5,2.7,3,3,18,8,1
27,2.7,2.5,2.7,2.5,1,1,19,8,0
