time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.64,30.63,253.00,0
255,110.85,123.96,254.00,0
255,207.69,217.36,254.00,0
254,263.18,266.71,254.00,0
252,275.12,274.59,254.00,0
253,265.35,263.71,254.00,0
255,253.99,253.03,254.00,0
252,249.68,249.61,254.00,0
255,250.65,250.94,254.00,0
252,253.17,253.46,254.00,0
255,254.84,254.95,254.00,0
255,255.30,255.30,254.00,0
252,255.07,255.01,254.00,0
255,254.29,254.16,254.00,0
255,253.54,253.52,254.00,0
255,253.76,253.83,254.00,0
252,254.38,254.43,254.00,0
252,254.45,254.40,254.00,0
255,253.89,253.84,254.00,0
255,253.82,253.85,254.00,0
252,254.09,254.09,254.00,0
252,253.67,253.57,254.00,0
252,252.98,252.94,254.00,0
253,253.04,253.09,254.00,0
255,253.56,253.60,254.00,0
255,253.87,253.92,254.00,0
255,254.27,254.32,254.00,0
255,254.57,254.56,254.00,0
255,254.38,254.36,254.00,0
252,254.21,254.16,254.00,0
253,253.62,253.55,254.00,0
253,253.27,253.27,254.00,0
255,253.25,253.25,254.00,0
255,253.43,253.47,254.00,0
255,253.95,254.04,254.00,0
255,254.58,254.64,254.00,0
255,254.92,254.94,254.00,0
255,254.90,254.88,254.00,0
252,254.53,254.44,254.00,0
252,253.63,253.52,254.00,0
253,252.93,252.90,254.00,0
255,253.01,253.06,254.00,0
32164,0.00,0.00,254.00,0,3
32194,0.00,0.00,254.00,0,3
32225,0.00,0.00,254.00,0,3
32256,0.00,0.00,254.00,0,3
32287,0.00,0.00,254.00,0,3,0
32318,0.00,0.00,254.00,0,3
32348,0.00,0.00,254.00,0,3,0
32379,0.00,0.00,254.00,0,3
32410,0.00,0.00,254.00,0,3,0
32441,0.00,0.00,254.00,0,3
32472,0.00,0.00,254.00,0,3
32502,0.00,0.00,254.00,0,3
32533,0.00,0.00,254.00,0,3
32564,0.00,0.00,254.00,0,3
32595,0.00,0.00,254.00,0,3
32626,0.00,0.00,254.00,0,5
32656,0.00,0.00,254.00,0,3
32687,0.00,0.00,254.00,0,3
32718,0.00,0.00,254.00,0,3
32749,0.00,0.00,254.00,0,3
32780,0.00,0.00,254.00,0,3
32810,0.00,0.00,254.00,0,3,0
32841,0.00,0.00,254.00,0,3
32872,0.00,0.00,254.00,0,3,0
32903,0.00,0.00,254.00,0,3
32934,0.00,0.00,254.00,0,5,0
32964,0.00,0.00,254.00,0,3
32995,0.00,0.00,254.00,0,3
33026,0.00,0.00,254.00,0,3
33057,0.00,0.00,254.00,0,3
33088,0.00,0.00,254.00,0,3
33118,0.00,0.00,254.00,0,3
33149,0.00,0.00,254.00,0,3
33180,0.00,0.00,254.00,0,3
33211,0.00,0.00,254.00,0,3
33242,0.00,0.00,254.00,0,3
33272,0.00,0.00,254.00,0,3
33303,0.00,0.00,254.00,0,3
33334,0.00,0.00,254.00,0,3,0
33365,0.00,0.00,254.00,0,3
33396,0.00,0.00,254.00,0,3,0
33426,0.00,0.00,254.00,0,3
33457,0.00,0.00,254.00,0,3,0
33488,0.00,0.00,254.00,0,3
33519,0.00,0.00,254.00,0,3
33550,0.00,0.00,254.00,0,3
33580,0.00,0.00,254.00,0,3
33611,0.00,0.00,254.00,0,3
33642,0.00,0.00,254.00,0,3
33673,0.00,0.00,254.00,0,3
33704,0.00,0.00,254.00,0,3
33734,0.00,0.00,254.00,0,5
33765,0.00,0.00,254.00,0,3
33796,0.00,0.00,254.00,0,3
33827,0.00,0.00,254.00,0,3
33858,0.00,0.00,254.00,0,3
33888,0.00,0.00,254.00,0,3
33919,0.00,-0.09,253.00,0,3,0
33950,0.00,-0.09,253.00,0,3
33981,0.00,-0.09,253.00,0,3
34012,0.00,-0.09,253.00,0,3
34043,0.00,-0.09,253.00,0,3
34074,0.00,-0.09,253.00,0,3
34105,0.00,-0.09,253.00,0,3
34136,0.00,-0.09,253.00,0,3
34166,0.00,-0.09,253.00,0,3
34197,0.00,-0.09,253.00,0,3
34228,0.00,-0.09,253.00,0,3
34259,0.00,-0.09,253.00,0,3
34290,0.00,-0.09,253.00,0,3
34321,0.00,-0.09,253.00,0,3,0
34352,0.00,-0.09,253.00,0,3
34383,0.00,-0.09,253.00,0,3,0
34414,0.00,-0.09,253.00,0,3
34445,0.00,-0.09,253.00,0,3
34475,0.00,-0.09,253.00,0,3
34506,0.00,-0.09,253.00,0,3
34537,0.00,-0.09,253.00,0,3
34568,0.00,-0.09,253.00,0,3
34599,0.00,-0.09,253.00,0,3
34630,0.00,-0.09,253.00,0,5
34661,0.00,-0.09,253.00,0,3
34692,0.00,-0.09,253.00,0,3
34723,0.00,-0.09,253.00,0,3
34754,0.00,-0.09,253.00,0,3
34785,0.00,-0.09,253.00,0,3,0
34815,0.00,-0.09,253.00,0,3
34846,0.00,-0.09,253.00,0,3
34877,0.00,-0.09,253.00,0,3
34908,0.00,-0.09,253.00,0,5
34939,0.00,-0.09,253.00,0,3
34970,0.00,-0.09,253.00,0,5
35001,0.00,-0.09,253.00,0,3
35032,0.00,-0.09,253.00,0,3
35063,0.00,-0.09,253.00,0,3
35094,0.00,-0.09,253.00,0,3
35125,0.00,-0.09,253.00,0,3
35155,0.00,-0.09,253.00,0,3
35186,0.00,-0.09,253.00,0,3
35217,0.00,-0.09,253.00,0,3
35248,0.00,-0.09,253.00,0,3,0
35279,0.00,-0.09,253.00,0,3
35310,0.00,-0.09,253.00,0,3
35341,0.00,-0.09,253.00,0,3
35372,0.00,-0.09,253.00,0,3
35403,0.00,-0.09,253.00,0,3
35434,0.00,-0.09,253.00,0,3
35464,0.00,-0.09,253.00,0,3
35495,0.00,-0.09,253.00,0,3
35526,0.00,-0.09,253.00,0,3
35557,0.00,-0.09,253.00,0,3
35588,0.00,-0.09,253.00,0,3
35619,0.00,-0.09,253.00,0,3
35650,0.00,-0.09,253.00,0,3
35681,0.00,-0.09,253.00,0,3
35712,0.00,-0.09,253.00,0,5,0
35743,0.00,-0.09,253.00,0,5
35774,0.00,-0.09,253.00,0,5
35804,0.00,-0.09,253.00,0,5
35835,0.00,-0.09,253.00,0,5
35866,0.00,-0.09,253.00,0,5
35897,0.00,-0.09,253.00,0,3
35928,0.00,-0.09,253.00,0,3
35959,0.00,-0.09,253.00,0,5
35990,0.00,-0.09,253.00,0,3
36021,0.00,-0.09,253.00,0,5
36052,0.00,-0.09,253.00,0,5
36083,0.00,-0.09,253.00,0,3
36114,0.00,-0.09,253.00,0,5,0
36144,0.00,-0.09,253.00,0,5
36175,0.00,-0.09,253.00,0,3,0
36206,0.00,-0.09,253.00,0,3
36237,0.00,-0.09,253.00,0,5
36268,0.00,-0.09,253.00,0,3
