trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,15.46,8.79,8.79,15.46,3,3,0,1,1,0
1,11.46,8.79,11.46,8.79,1,1,0,1,2,0
2,8.49,8.79,8.49,8.79,3,1,0,1,2,1
3,6.29,8.79,6.29,8.79,3,3,1,3,3,1
4,8.49,8.79,8.49,8.79,3,3,2,3,4,1
5,6.29,8.79,8.79,6.29,1,1,3,3,5,1
6,8.49,8.79,8.49,8.79,3,3,4,3,6,1
7,6.29,8.79,6.29,8.79,3,3,5,3,7,1
8,8.49,8.79,8.79,8.49,1,3,5,1,7,2
9,8.43,8.79,8.79,8.43,1,1,6,3,8,2
10,8.49,8.79,8.79,8.49,1,3,6,1,8,3
11,8.46,8.79,8.79,8.46,1,1,7,3,9,3
12,8.49,8.79,8.79,8.49,1,1,8,3,10,3
