time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.70,30.72,254.00,0
255,111.28,124.44,254.00,0
255,208.32,217.97,255.00,0
255,263.71,267.22,255.00,0
255,275.69,275.21,255.00,0
253,266.47,264.92,255.00,0
255,255.56,254.58,255.00,0
253,250.59,250.37,254.00,0
255,250.50,250.70,254.00,0
255,252.66,252.96,254.00,0
255,254.50,254.61,254.00,0
252,254.82,254.78,254.00,0
252,254.21,254.12,254.00,0
252,253.48,253.38,254.00,0
255,252.87,252.87,254.00,0
252,253.28,253.38,254.00,0
252,253.88,253.89,254.00,0
252,253.57,253.47,254.00,0
255,252.81,252.76,254.00,0
252,252.84,252.90,254.00,0
254,253.16,253.19,254.00,0
255,253.48,253.54,254.00,0
255,254.10,254.18,254.00,0
256,254.82,254.91,254.00,0
256,255.54,255.62,254.00,0
255,255.99,256.01,254.00,0
255,255.93,255.89,254.00,0
255,255.40,255.30,254.00,0
255,254.61,254.54,254.00,0
255,254.18,254.14,255.00,0
255,254.01,254.00,255.00,0
254,253.91,253.87,255.00,0
255,253.67,253.67,255.00,0
256,253.95,254.01,255.00,0
256,254.66,254.78,255.00,0
255,255.54,255.62,255.00,0
255,255.82,255.77,255.00,0
256,255.33,255.28,255.00,0
256,255.19,255.21,255.00,0
256,255.50,255.55,255.00,0
255,255.80,255.80,255.00,0
255,255.45,255.39,255.00,0
17476,0.00,0.00,255.00,0,0
17507,0.00,0.00,255.00,0,0,0
17538,0.00,0.00,255.00,0,0
17569,0.00,0.00,255.00,0,0,0
17599,0.00,0.00,255.00,0,0
17630,0.00,0.00,255.00,0,0
17661,0.00,0.00,255.00,0,0
17692,0.00,0.00,255.00,0,0
17723,0.00,0.00,255.00,0,0
17753,0.00,0.00,255.00,0,0
17784,0.00,0.00,255.00,0,0
17815,0.00,0.00,255.00,0,0
17846,0.00,0.00,255.00,0,0
17876,0.00,0.00,255.00,0,0
17907,0.00,0.00,255.00,0,0
17938,0.00,0.00,255.00,0,0
17969,0.00,0.00,255.00,0,0
18000,0.00,0.00,255.00,0,0
18030,0.00,0.00,255.00,0,0,0
18061,0.00,0.00,255.00,0,0
18092,0.00,0.00,255.00,0,0,0
18123,0.00,0.00,255.00,0,0
18154,0.00,0.00,255.00,0,0,0
18184,0.00,0.00,255.00,0,0
18215,0.00,0.00,255.00,0,0
18246,0.00,0.00,255.00,0,0
18277,0.00,0.00,255.00,0,0
18307,0.00,0.00,255.00,0,0
18338,0.00,0.00,255.00,0,0
18369,0.00,0.00,255.00,0,0
18400,0.00,0.00,255.00,0,0
18431,0.00,0.00,255.00,0,0
18462,0.00,0.00,255.00,0,0
18492,0.00,0.00,255.00,0,0
18523,0.00,0.00,255.00,0,0
18554,0.00,0.00,255.00,0,0
18585,0.00,0.00,255.00,0,0
18616,0.00,0.00,255.00,0,0,0
18646,0.00,0.00,255.00,0,0
18677,0.00,0.00,255.00,0,0,0
18708,0.00,0.00,255.00,0,0
18739,0.00,0.00,255.00,0,0
18770,0.00,0.00,255.00,0,0
18800,0.00,0.00,255.00,0,0
18831,0.00,0.00,255.00,0,0
18862,0.00,0.00,255.00,0,0
18893,0.00,0.00,255.00,0,0
18924,0.00,0.00,255.00,0,0
18954,0.00,0.00,255.00,0,0
18985,0.00,0.00,255.00,0,0
19016,0.00,0.00,255.00,0,0
19047,0.00,0.00,255.00,0,0
19078,0.00,0.00,255.00,0,0,0
19109,0.00,0.00,255.00,0,0
19139,0.00,0.00,255.00,0,0,0
19170,0.00,0.00,255.00,0,0
19201,0.00,0.00,255.00,0,0,0
19232,0.00,0.00,255.00,0,0
19263,0.00,0.00,255.00,0,0
19293,0.00,0.00,255.00,0,0
19324,0.00,0.00,255.00,0,0
19355,0.00,0.00,255.00,0,0
19386,0.00,0.00,255.00,0,0
19417,0.00,0.00,255.00,0,0
19447,0.00,0.00,255.00,0,0
19478,0.00,0.00,255.00,0,0
19509,0.00,0.00,255.00,0,0
19540,0.00,0.00,255.00,0,0
19571,0.00,0.00,255.00,0,0
19601,0.00,0.00,255.00,0,0,0
19632,0.00,0.00,255.00,0,0
19663,0.00,-0.09,254.00,0,0,0
19694,0.00,-0.09,254.00,0,0
19725,0.00,-0.09,254.00,0,0
19756,0.00,-0.09,254.00,0,0
19787,0.00,-0.09,254.00,0,0
19818,0.00,-0.09,254.00,0,0
19849,0.00,-0.09,254.00,0,0
19879,0.00,-0.09,254.00,0,0
19910,0.00,-0.09,254.00,0,0
19941,0.00,-0.09,254.00,0,0
19972,0.00,-0.09,254.00,0,0
20003,0.00,-0.09,254.00,0,0
20034,0.00,-0.09,254.00,0,0
20065,0.00,-0.09,254.00,0,0,0
20096,0.00,-0.09,254.00,0,0
20127,0.00,-0.09,254.00,0,0
20158,0.00,-0.09,254.00,0,0
20189,0.00,-0.09,254.00,0,0
20219,0.00,-0.09,254.00,0,0
20250,0.00,-0.09,254.00,0,0
20281,0.00,-0.09,254.00,0,0
20312,0.00,-0.09,254.00,0,0
20343,0.00,-0.09,254.00,0,0
20374,0.00,-0.09,254.00,0,0
20405,0.00,-0.09,254.00,0,0
20436,0.00,-0.09,254.00,0,0
20467,0.00,-0.09,254.00,0,0
20498,0.00,-0.09,254.00,0,0
20528,0.00,-0.09,254.00,0,0,0
20559,0.00,-0.09,254.00,0,0
20590,0.00,-0.09,254.00,0,0
20621,0.00,-0.09,254.00,0,0
20652,0.00,-0.09,254.00,0,0
20683,0.00,-0.09,254.00,0,0
20714,0.00,-0.09,254.00,0,0
20745,0.00,-0.09,254.00,0,0
20776,0.00,-0.09,254.00,0,0
20807,0.00,-0.09,254.00,0,0
20837,0.00,-0.09,254.00,0,0
20868,0.00,-0.09,254.00,0,0
20899,0.00,-0.09,254.00,0,0
20930,0.00,-0.09,254.00,0,0
20961,0.00,-0.09,254.00,0,0
20992,0.00,-0.09,254.00,0,0,0
21023,0.00,-0.09,254.00,0,0
21054,0.00,-0.09,254.00,0,0,0
21085,0.00,-0.09,254.00,0,0
21116,0.00,-0.09,254.00,0,0
21147,0.00,-0.09,254.00,0,0
21177,0.00,-0.09,254.00,0,0
21208,0.00,-0.09,254.00,0,0
21239,0.00,-0.09,254.00,0,0
21270,0.00,-0.09,254.00,0,0
21301,0.00,-0.09,254.00,0,0
21332,0.00,-0.09,254.00,0,0
21363,0.00,-0.09,254.00,0,0
21394,0.00,-0.09,254.00,0,0,0
21425,0.00,-0.09,254.00,0,0
21456,0.00,-0.09,254.00,0,0,0
21487,0.00,-0.09,254.00,0,0
21517,0.00,-0.09,254.00,0,0
21548,0.00,-0.09,254.00,0,0
21579,0.00,-0.09,254.00,0,0
21610,0.00,-0.09,254.00,0,0
21641,0.00,-0.09,254.00,0,0
21672,0.00,-0.09,254.00,0,0
21703,0.00,-0.09,254.00,0,0
21734,0.00,-0.09,254.00,0,0
21765,0.00,-0.09,254.00,0,0
21796,0.00,-0.09,254.00,0,0
21826,0.00,-0.09,254.00,0,0
21857,0.00,-0.09,254.00,0,0,0
21888,0.00,-0.09,254.00,0,0
21919,0.00,-0.09,254.00,0,0,0
21950,0.00,-0.09,254.00,0,0
21981,0.00,-0.09,254.00,0,0
22012,0.00,-0.09,254.00,0,0
22043,0.00,-0.09,254.00,0,0
22074,0.00,-0.09,254.00,0,0
22105,0.00,-0.09,254.00,0,0
22136,0.00,-0.09,254.00,0,0
22166,0.00,-0.09,254.00,0,0
22197,0.00,-0.09,254.00,0,0
22228,0.00,-0.09,254.00,0,0
22259,0.00,-0.09,254.00,0,0
22290,0.00,-0.09,254.00,0,0
22321,0.00,-0.09,254.00,0,0,0
22352,0.00,-0.09,254.00,0,0
22383,0.00,-0.09,254.00,0,0
22414,0.00,-0.09,254.00,0,0
22445,0.00,-0.09,254.00,0,0
22476,0.00,-0.09,254.00,0,0
22506,0.00,-0.09,254.00,0,0
22537,0.00,-0.09,254.00,0,0
22568,0.00,-0.09,254.00,0,0
22599,0.00,-0.09,254.00,0,0
22630,0.00,-0.09,254.00,0,0
22661,0.00,-0.09,254.00,0,0
22692,0.00,-0.09,254.00,0,0
22723,0.00,-0.09,254.00,0,0
22754,0.00,-0.09,254.00,0,0
22785,0.00,-0.09,254.00,0,0,0
22816,0.00,-0.09,254.00,0,0
22846,0.00,-0.09,254.00,0,0
22877,0.00,-0.09,254.00,0,0
22908,0.00,-0.09,254.00,0,0
22939,0.00,-0.09,254.00,0,0
22970,0.00,-0.09,254.00,0,0
23001,0.00,-0.09,254.00,0,0
23032,0.00,-0.09,254.00,0,0
23063,0.00,-0.09,254.00,0,0
23094,0.00,-0.09,254.00,0,0
23125,0.00,-0.09,254.00,0,0
23156,0.00,-0.09,254.00,0,0
23186,0.00,-0.09,254.00,0,0
23217,0.00,-0.09,254.00,0,0
23248,0.00,-0.09,254.00,0,0,0
23279,0.00,-0.09,254.00,0,0
23310,0.00,-0.09,254.00,0,0
23341,0.00,-0.09,254.00,0,0
23372,0.00,-0.09,254.00,0,0
23403,0.00,-0.09,254.00,0,0
23434,0.00,-0.09,254.00,0,0
23465,0.00,-0.09,254.00,0,0
23495,0.00,-0.09,254.00,0,0
23526,0.00,-0.09,254.00,0,0
23557,0.00,-0.09,254.00,0,0
23588,0.00,-0.09,254.00,0,0
23619,0.00,-0.09,254.00,0,0
23650,0.00,-0.09,254.00,0,0,0
23681,0.00,-0.09,254.00,0,0
23712,0.00,-0.09,254.00,0,0,0
23743,0.00,-0.09,254.00,0,0
23774,0.00,-0.09,254.00,0,0
23805,0.00,-0.09,254.00,0,0
23835,0.00,-0.09,254.00,0,0
23866,0.00,-0.09,254.00,0,0
23897,0.00,-0.09,254.00,0,0
23928,0.00,-0.09,254.00,0,0
23959,0.00,-0.09,254.00,0,0
23990,0.00,-0.09,254.00,0,0
24021,0.00,-0.09,254.00,0,0
24052,0.00,-0.09,254.00,0,0
24083,0.00,-0.09,254.00,0,0
24114,0.00,-0.09,254.00,0,0,0
24144,0.00,-0.09,254.00,0,0
24175,0.00,-0.09,254.00,0,0
24206,0.00,-0.09,254.00,0,0
24237,0.00,-0.09,254.00,0,0
24268,0.00,-0.09,254.00,0,0
24299,0.00,-0.09,254.00,0,0
24330,0.00,-0.09,254.00,0,0
24361,0.00,-0.09,254.00,0,0
24392,0.00,-0.09,254.00,0,0
24423,0.00,-0.09,254.00,0,0
24454,0.00,-0.09,254.00,0,0
24484,0.00,-0.09,254.00,0,0
24515,0.00,-0.09,254.00,0,0
24546,0.00,-0.09,254.00,0,0
24577,0.00,-0.09,254.00,0,0,0
24608,0.00,-0.09,254.00,0,0
24639,0.00,-0.09,254.00,0,0
24670,0.00,-0.09,254.00,0,0
24701,0.00,-0.09,254.00,0,0
24732,0.00,-0.09,254.00,0,0
24763,0.00,-0.09,254.00,0,0
24794,0.00,-0.09,254.00,0,0
24824,0.00,-0.09,254.00,0,0
24855,0.00,-0.09,254.00,0,0
24886,0.00,-0.09,254.00,0,0
24917,0.00,-0.09,254.00,0,0
24948,0.00,-0.09,254.00,0,0
24979,0.00,-0.09,254.00,0,0
25010,0.00,-0.09,254.00,0,0
25041,0.00,-0.09,254.00,0,0,0
25072,0.00,-0.09,254.00,0,0
25103,0.00,-0.09,254.00,0,0
25133,0.00,-0.09,254.00,0,0
25164,0.00,-0.09,254.00,0,0
25195,0.00,-0.09,254.00,0,0
25226,0.00,-0.09,254.00,0,0
25257,0.00,-0.09,254.00,0,0
25288,0.00,-0.09,254.00,0,0
25319,0.00,-0.09,254.00,0,0
25350,0.00,-0.09,254.00,0,0
25381,0.00,-0.09,254.00,0,0
25412,0.00,-0.09,254.00,0,0
25443,0.00,-0.09,254.00,0,0,0
25473,0.00,-0.09,254.00,0,0
25504,0.00,-0.09,254.00,0,0,0
25535,0.00,-0.09,254.00,0,0
25566,0.00,-0.09,254.00,0,0
25597,0.00,-0.09,254.00,0,0
25628,0.00,-0.09,254.00,0,0
25659,0.00,-0.09,254.00,0,0
25690,0.00,-0.09,254.00,0,0
25721,0.00,-0.09,254.00,0,0
25752,0.00,-0.09,254.00,0,0
25782,0.00,-0.09,254.00,0,0
25813,0.00,-0.09,254.00,0,0
25844,0.00,-0.09,254.00,0,0
25875,0.00,-0.09,254.00,0,0
25906,0.00,-0.09,254.00,0,0,0
25937,0.00,-0.09,254.00,0,0
25968,0.00,-0.09,254.00,0,0
25999,0.00,-0.09,254.00,0,0
26030,0.00,-0.09,254.00,0,0
26061,0.00,-0.09,254.00,0,0
26092,0.00,-0.09,254.00,0,0
26123,0.00,-0.09,254.00,0,0
26153,0.00,-0.09,254.00,0,0
26184,0.00,-0.09,254.00,0,0
26215,0.00,-0.09,254.00,0,0
26246,0.00,-0.09,254.00,0,0
26277,0.00,-0.09,254.00,0,0
26308,0.00,-0.09,254.00,0,0
26339,0.00,-0.09,254.00,0,0
26370,0.00,-0.09,254.00,0,0,0
26401,0.00,-0.09,254.00,0,0
26432,0.00,-0.09,254.00,0,0
26462,0.00,-0.09,254.00,0,0
26493,0.00,-0.09,254.00,0,0
26524,0.00,-0.09,254.00,0,0
26555,0.00,-0.09,254.00,0,0
26586,0.00,-0.09,254.00,0,0
26617,0.00,-0.09,254.00,0,0
26648,0.00,-0.09,254.00,0,0
26679,0.00,-0.09,254.00,0,0
26710,0.00,-0.09,254.00,0,0
26741,0.00,-0.09,254.00,0,0
26772,0.00,-0.09,254.00,0,0,0
26802,0.00,-0.09,254.00,0,0
26833,0.00,-0.09,254.00,0,0,0
26864,0.00,-0.09,254.00,0,0
26895,0.00,-0.09,254.00,0,0
26926,0.00,-0.09,254.00,0,0
26957,0.00,-0.09,254.00,0,0
26988,0.00,-0.09,254.00,0,0
27019,0.00,-0.09,254.00,0,0
27050,0.00,-0.09,254.00,0,0
27081,0.00,-0.09,254.00,0,0
27112,0.00,-0.09,254.00,0,0
27142,0.00,-0.09,254.00,0,0
27173,0.00,-0.09,254.00,0,0
27204,0.00,-0.09,254.00,0,0
27235,0.00,-0.09,254.00,0,0,0
27266,0.00,-0.09,254.00,0,0
27297,0.00,-0.09,254.00,0,0,0
27328,0.00,-0.09,254.00,0,0
27359,0.00,-0.09,254.00,0,0
27390,0.00,-0.09,254.00,0,0
27421,0.00,-0.09,254.00,0,0
27452,0.00,-0.09,254.00,0,0
27482,0.00,-0.09,254.00,0,0
27513,0.00,-0.09,254.00,0,0
27544,0.00,-0.09,254.00,0,0
27575,0.00,-0.09,254.00,0,0
27606,0.00,-0.09,254.00,0,0
27637,0.00,-0.09,254.00,0,0
27668,0.00,-0.09,254.00,0,0
27699,0.00,-0.09,254.00,0,0,0
27730,0.00,-0.09,254.00,0,0
27761,0.00,-0.09,254.00,0,0
27792,0.00,-0.09,254.00,0,0
27822,0.00,-0.09,254.00,0,0
