time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
87530,0.00,0.04,253.45,0,0,0
87586,0.00,0.04,253.50,0,0,0
87642,0.00,0.05,253.52,0,0,0
87698,0.00,0.04,253.51,0,0,0
87754,0.00,0.04,253.46,0,0,0
87809,0.00,0.03,253.36,0,0,0
87865,0.00,0.02,253.23,1,0,0
87921,0.00,0.00,253.05,2,0,0
87977,0.00,-0.01,252.83,3,0,0
88033,0.00,-0.04,252.58,4,0,0
88089,0.00,-0.06,252.30,6,0,0
88144,0.00,-0.09,251.99,7,0,0
88200,0.00,-0.12,251.67,8,0,0
88256,0.00,-0.15,251.33,10,0,0
88312,0.00,-0.18,251.00,11,6,0
88368,0.00,-0.20,250.67,13,4,0
88424,0.00,-0.23,250.36,14,4,0
88480,0.00,-0.26,250.06,15,8,0
88536,0.00,-0.28,249.78,16,8,0
88592,0.00,-0.31,249.52,18,8,0
88647,0.00,-0.33,249.28,19,12,0
88703,0.00,-0.34,249.08,20,17,0
88759,0.00,-0.36,248.90,22,17,0
88815,0.00,-0.37,248.76,23,17,0
88871,0.00,-0.38,248.66,24,16,0
88927,0.00,-0.39,248.59,25,17,0
88983,0.00,-0.39,248.55,26,19,0
89039,0.00,-0.39,248.55,27,22,0
89095,0.00,-0.39,248.57,28,21,0
89151,0.00,-0.39,248.61,29,22,0
89207,0.00,-0.38,248.68,30,22,0
89263,0.00,-0.37,248.76,32,22,0
89319,0.00,-0.37,248.85,33,23,0
89375,0.00,-0.36,248.93,34,30,0
89431,0.00,-0.35,249.02,36,30,0
89487,0.00,-0.34,249.10,37,31,0
89543,0.00,-0.34,249.18,38,30,0
89599,0.00,-0.33,249.26,40,30,0
89655,0.00,-0.32,249.33,41,34,0
89711,0.00,-0.32,249.40,42,34,0
89767,0.00,-0.31,249.48,43,34,0
89823,0.00,-0.30,249.57,44,38,0
89879,0.00,-0.29,249.68,45,39,0
89935,0.00,-0.28,249.80,46,40,0
89991,0.00,-0.27,249.93,46,39,0
90046,0.00,-0.26,250.08,47,40,0
90102,0.00,-0.24,250.24,47,39,0
90158,0.00,-0.23,250.41,48,43,0
90214,0.00,-0.21,250.59,48,44,0
90270,0.00,-0.20,250.78,49,44,0
90326,0.00,-0.18,250.98,49,44,0
90382,0.00,-0.16,251.18,49,44,0
90438,0.00,-0.14,251.39,49,44,0
90494,0.00,-0.12,251.60,49,44,0
90550,0.00,-0.11,251.80,50,44,0
90606,0.00,-0.09,251.99,50,44,0
90662,0.00,-0.07,252.18,50,44,0
90718,0.00,-0.06,252.35,50,44,0
90774,0.00,-0.04,252.51,50,44,0
90830,0.00,-0.03,252.64,51,44,0
90886,0.00,-0.02,252.76,51,44,0
90942,0.00,-0.01,252.87,51,44,0
90998,0.00,-0.00,252.96,51,44,0
91054,0.00,0.00,253.04,51,44,0
91110,0.00,0.01,253.12,51,44,0
91165,0.00,0.02,253.19,51,44,0
91221,0.00,0.02,253.27,51,47,0
91277,0.00,0.03,253.36,50,47,0
91333,0.00,0.04,253.45,50,47,0
91389,0.00,0.05,253.55,49,48,0
91445,0.00,0.06,253.65,49,47,0
91501,0.00,0.07,253.75,48,47,0
91557,0.00,0.07,253.85,48,47,0
91613,0.00,0.08,253.95,47,47,0
91669,0.00,0.09,254.05,47,47,0
91725,0.00,0.10,254.14,46,47,0
91780,0.00,0.11,254.23,46,47,0
91836,0.00,0.11,254.30,45,47,0
91892,0.00,0.12,254.37,45,47,0
91948,0.00,0.13,254.43,44,47,0
92004,0.00,0.13,254.49,44,47,0
92060,0.00,0.14,254.54,43,47,0
92116,0.00,0.14,254.59,42,47,0
92172,0.00,0.14,254.65,42,47,0
92228,0.00,0.15,254.71,41,47,0
92284,0.00,0.16,254.77,40,47,0
92340,0.00,0.16,254.83,39,47,0
92396,0.00,0.17,254.89,39,47,0
92451,0.00,0.17,254.94,38,42,0
92507,0.00,0.17,254.99,37,43,0
92563,0.00,0.18,255.03,36,43,0
92619,0.00,0.18,255.07,36,43,0
92675,0.00,0.18,255.09,35,39,0
92731,0.00,0.18,255.10,35,39,0
92787,0.00,0.18,255.09,34,39,0
92843,0.00,0.18,255.06,34,39,0
92899,0.00,0.18,255.02,33,39,0
92955,0.00,0.17,254.96,33,39,0
93010,0.00,0.17,254.88,33,39,0
93066,0.00,0.16,254.78,33,39,0
93122,0.00,0.14,254.64,33,39,0
93178,0.00,0.13,254.47,34,39,0
93234,0.00,0.11,254.28,34,39,0
93290,0.00,0.09,254.05,34,39,0
93346,0.00,0.07,253.81,35,39,0
93402,0.00,0.05,253.55,36,39,0
93458,0.00,0.02,253.27,36,39,0
93514,0.00,-0.00,253.00,37,39,0
93570,0.00,-0.03,252.72,38,39,0
93626,0.00,-0.05,252.43,38,39,0
93682,0.00,-0.07,252.15,39,39,0
93738,0.00,-0.10,251.87,40,39,0
93794,0.00,-0.12,251.60,41,39,0
93849,0.00,-0.15,251.34,42,39,0
93905,0.00,-0.17,251.10,42,39,0
93961,0.00,-0.19,250.89,43,39,0
94017,0.00,-0.20,250.71,43,39,0
94073,0.00,-0.21,250.58,44,39,0
94129,0.00,-0.22,250.48,44,39,0
94185,0.00,-0.23,250.44,44,39,0
94241,0.00,-0.23,250.44,44,39,0
94297,0.00,-0.22,250.48,44,39,0
94353,0.00,-0.21,250.57,44,39,0
94409,0.00,-0.20,250.69,44,39,0
94465,0.00,-0.19,250.86,44,39,0
94521,0.00,-0.17,251.04,44,39,0
94577,0.00,-0.15,251.25,44,39,0
94633,0.00,-0.13,251.47,44,39,0
94689,0.00,-0.11,251.71,43,39,0
94745,0.00,-0.09,251.94,43,39,0
94801,0.00,-0.07,252.19,43,39,0
94857,0.00,-0.05,252.43,43,39,0
94913,0.00,-0.03,252.67,43,39,0
94969,0.00,-0.00,252.90,42,39,0
95025,0.00,0.01,253.12,42,39,0
95081,0.00,0.03,253.34,42,39,0
95136,0.00,0.05,253.53,42,39,0
95192,0.00,0.06,253.71,41,39,0
95248,0.00,0.08,253.87,41,39,0
95304,0.00,0.09,254.01,41,39,0
95360,0.00,0.10,254.13,41,39,0
95416,0.00,0.11,254.23,40,39,0
95472,0.00,0.12,254.31,40,39,0
95528,0.00,0.12,254.38,40,39,0
95584,0.00,0.13,254.44,39,39,0
95640,0.00,0.13,254.47,39,39,0
95696,0.00,0.13,254.50,39,39,0
95751,0.00,0.13,254.50,38,39,0
95807,0.00,0.13,254.50,38,39,0
95863,0.00,0.13,254.48,38,39,0
95919,0.00,0.13,254.43,38,39,0
95975,0.00,0.12,254.38,38,39,0
96031,0.00,0.11,254.31,38,39,0
96087,0.00,0.11,254.23,37,39,0
96143,0.00,0.10,254.16,37,39,0
96199,0.00,0.10,254.08,37,39,0
96255,0.00,0.09,254.01,37,39,0
96311,0.00,0.08,253.94,36,39,0
96366,0.00,0.08,253.88,36,39,0
96422,0.00,0.07,253.83,36,39,0
96478,0.00,0.07,253.79,35,39,0
96534,0.00,0.07,253.77,34,39,0
96590,0.00,0.07,253.77,34,39,0
96646,0.00,0.07,253.80,33,39,0
96702,0.00,0.07,253.85,32,39,0
96758,0.00,0.08,253.94,31,39,0
96814,0.00,0.09,254.06,30,39,0
96870,0.00,0.11,254.21,28,34,0
96925,0.00,0.12,254.39,27,34,0
96981,0.00,0.14,254.61,25,34,0
97037,0.00,0.16,254.84,24,34,0
97093,0.00,0.18,255.09,22,29,0
97149,0.00,0.21,255.35,20,27,0
97205,0.00,0.23,255.62,19,27,0
97261,0.00,0.26,255.90,17,23,0
97317,0.00,0.28,256.19,15,23,0
97373,0.00,0.30,256.47,14,23,0
97429,0.00,0.33,256.74,12,17,0
97485,0.00,0.35,256.99,10,17,0
97540,0.00,0.37,257.22,9,17,0
97596,0.00,0.39,257.43,7,13,0
97652,0.00,0.41,257.62,5,14,0
97708,0.00,0.42,257.78,4,13,0
97764,0.00,0.43,257.92,2,14,0
97820,0.00,0.44,258.01,1,4,0
97876,0.00,0.45,258.07,0,3,0
97931,0.00,0.45,258.09,0,4,0
97987,0.00,0.44,258.06,0,4,0
98043,0.00,0.44,257.99,0,4,0
98099,0.00,0.43,257.86,0,4,0
98155,0.00,0.41,257.68,0,3,0
98210,0.00,0.39,257.44,0,4,0
98266,0.00,0.37,257.16,0,3,0
98322,0.00,0.34,256.82,0,3,0
98378,0.00,0.30,256.43,0,3,0
98434,0.00,0.26,256.00,0,4,0
98490,0.00,0.22,255.53,0,4,0
98545,0.00,0.18,255.04,0,4,0
98601,0.00,0.13,254.52,0,4,0
98657,0.00,0.09,253.98,0,4,0
98713,0.00,0.04,253.43,1,3,0
98769,0.00,-0.01,252.88,2,4,0
98825,0.00,-0.06,252.33,3,3,0
98880,0.00,-0.11,251.79,4,3,0
98936,0.00,-0.15,251.26,6,3,0
98992,0.00,-0.20,250.76,7,3,0
99048,0.00,-0.24,250.29,8,3,0
99104,0.00,-0.28,249.84,10,3,0
99160,0.00,-0.31,249.43,11,3,0
99216,0.00,-0.35,249.05,12,4,0
99272,0.00,-0.38,248.72,14,6,0
99328,0.00,-0.40,248.42,15,3,0
99383,0.00,-0.42,248.17,17,11,0
99439,0.00,-0.44,247.95,18,12,0
99495,0.00,-0.46,247.78,20,12,0
99551,0.00,-0.47,247.65,21,11,0
99607,0.00,-0.48,247.55,23,11,0
99663,0.00,-0.49,247.47,24,21,0
99719,0.00,-0.49,247.43,26,21,0
99775,0.00,-0.49,247.41,27,21,0
99831,0.00,-0.49,247.42,29,21,0
99887,0.00,-0.49,247.46,30,21,0
99943,0.00,-0.48,247.53,32,22,0
99999,0.00,-0.47,247.62,33,27,0
100055,0.00,-0.46,247.72,35,28,0
100111,0.00,-0.45,247.85,36,28,0
100167,0.00,-0.44,247.99,37,28,0
100223,0.00,-0.43,248.13,39,33,0
100279,0.00,-0.41,248.28,40,33,0
100335,0.00,-0.40,248.44,42,33,0
100391,0.00,-0.39,248.61,43,33,0
100447,0.00,-0.37,248.78,44,37,0
100503,0.00,-0.36,248.94,45,39,0
100559,0.00,-0.34,249.11,46,40,0
100615,0.00,-0.33,249.28,47,40,0
100671,0.00,-0.31,249.46,48,39,0
100727,0.00,-0.30,249.63,49,43,0
100783,0.00,-0.28,249.82,50,44,0
100839,0.00,-0.26,250.00,51,44,0
100895,0.00,-0.25,250.19,52,44,0
100951,0.00,-0.23,250.38,52,42,0
101007,0.00,-0.21,250.57,53,47,0
101063,0.00,-0.20,250.76,53,47,0
101119,0.00,-0.18,250.95,54,47,0
101175,0.00,-0.16,251.15,54,47,0
101231,0.00,-0.15,251.34,54,47,0
101287,0.00,-0.13,251.53,54,48,0
101343,0.00,-0.11,251.72,55,47,0
101399,0.00,-0.10,251.90,55,48,0
101455,0.00,-0.08,252.09,55,52,0
101511,0.00,-0.06,252.27,55,52,0
101567,0.00,-0.05,252.44,55,52,0
101623,0.00,-0.03,252.62,55,52,0
101679,0.00,-0.02,252.78,55,51,0
101735,0.00,-0.00,252.95,55,52,0
101791,0.00,0.00,253.11,54,52,0
101847,0.00,0.02,253.27,54,52,0
101903,0.00,0.04,253.43,53,52,0
101959,0.00,0.05,253.61,52,52,0
102015,0.00,0.07,253.81,51,52,0
102071,0.00,0.09,254.04,50,51,0
102127,0.00,0.11,254.29,49,52,0
102183,0.00,0.14,254.57,47,51,0
102239,0.00,0.17,254.88,45,52,0
102295,0.00,0.20,255.23,43,52,0
102351,0.00,0.23,255.60,41,52,0
102407,0.00,0.26,255.99,39,46,0
102463,0.00,0.30,256.41,36,50,0
102519,0.00,0.34,256.86,33,40,0
102575,0.00,0.38,257.32,31,40,0
102631,0.00,0.42,257.79,28,36,0
102686,0.00,0.46,258.28,25,33,0
102742,0.00,0.51,258.77,22,34,0
102798,0.00,0.55,259.26,18,29,0
102854,0.00,0.59,259.73,15,26,0
102910,0.00,0.63,260.19,12,21,0
102966,0.00,0.67,260.62,9,21,0
103022,0.00,0.70,261.01,6,16,0
103078,0.00,0.73,261.36,3,14,0
103134,0.00,0.76,261.66,0,12,0
103190,0.00,0.78,261.92,0,1,0
103246,0.00,0.80,262.12,0,1,0
103302,0.00,0.82,262.28,0,1,0
103357,0.00,0.83,262.39,0,2,0
103413,0.00,0.83,262.47,0,2,0
103469,0.00,0.84,262.50,0,2,0
103525,0.00,0.84,262.51,0,2,0
103581,0.00,0.83,262.49,0,1,0
103637,0.00,0.83,262.43,0,2,0
103692,0.00,0.82,262.35,0,1,0
103748,0.00,0.81,262.22,0,2,0
103804,0.00,0.80,262.06,0,1,0
103860,0.00,0.78,261.86,0,1,0
103916,0.00,0.76,261.60,0,1,0
103972,0.00,0.73,261.31,0,1,0
104028,0.00,0.70,260.98,0,1,0
104084,0.00,0.67,260.61,0,2,0
104139,0.00,0.63,260.21,0,2,0
104195,0.00,0.60,259.78,0,2,0
104251,0.00,0.56,259.33,0,1,0
104307,0.00,0.51,258.86,0,2,0
104363,0.00,0.47,258.37,0,1,0
104419,0.00,0.43,257.86,0,1,0
104475,0.00,0.38,257.35,0,1,0
104530,0.00,0.34,256.82,0,1,0
104586,0.00,0.29,256.29,0,1,0
104642,0.00,0.24,255.75,0,1,0
104698,0.00,0.19,255.21,0,2,0
104754,0.00,0.15,254.68,0,2,0
104810,0.00,0.10,254.15,0,1,0
104866,0.00,0.06,253.64,0,1,0
104921,0.00,0.01,253.13,0,1,0
104977,0.00,-0.03,252.65,0,2,0
105033,0.00,-0.07,252.19,0,2,0
105089,0.00,-0.11,251.76,0,1,0
105145,0.00,-0.14,251.36,0,1,0
105201,0.00,-0.18,250.99,0,1,0
105257,0.00,-0.21,250.65,0,1,0
105313,0.00,-0.23,250.33,0,1,0
105369,0.00,-0.26,250.05,0,1,0
105425,0.00,-0.28,249.80,0,1,0
105480,0.00,-0.30,249.58,0,2,0
105536,0.00,-0.32,249.38,0,1,0
105592,0.00,-0.33,249.22,0,2,0
105648,0.00,-0.34,249.09,0,1,0
105704,0.00,-0.35,249.00,0,2,0
105760,0.00,-0.36,248.92,0,3,0
105816,0.00,-0.36,248.88,0,3,0
105872,0.00,-0.36,248.85,0,2,0
105928,0.00,-0.37,248.84,0,2,0
105984,0.00,-0.36,248.85,0,2,0
106039,0.00,-0.36,248.87,0,2,0
106095,0.00,-0.36,248.90,0,2,0
106151,0.00,-0.36,248.94,0,2,0
106207,0.00,-0.35,248.99,0,1,0
106263,0.00,-0.35,249.05,0,2,0
106319,0.00,-0.34,249.11,0,2,0
106375,0.00,-0.34,249.17,0,2,0
106431,0.00,-0.33,249.24,0,2,0
106487,0.00,-0.33,249.30,0,2,0
106543,0.00,-0.32,249.37,0,2,0
106598,0.00,-0.31,249.44,0,2,0
106654,0.00,-0.31,249.51,0,2,0
106710,0.00,-0.30,249.57,0,2,0
106766,0.00,-0.30,249.63,0,2,0
106822,0.00,-0.29,249.69,0,2,0
106878,0.00,-0.29,249.75,0,2,0
106934,0.00,-0.28,249.82,0,2,0
106990,0.00,-0.27,249.88,0,2,0
107046,0.00,-0.27,249.94,0,2,0
107102,0.00,-0.26,250.01,0,2,0
107158,0.00,-0.26,250.07,0,2,0
107213,0.00,-0.25,250.14,0,2,0
107269,0.00,-0.25,250.20,0,3,0
107325,0.00,-0.24,250.27,0,2,0
107381,0.00,-0.23,250.33,0,2,0
107437,0.00,-0.23,250.39,1,2,0
107493,0.00,-0.23,250.44,2,2,0
107549,0.00,-0.22,250.47,3,2,0
107605,0.00,-0.22,250.50,4,2,0
107661,0.00,-0.22,250.50,5,2,0
107717,0.00,-0.22,250.49,7,3,0
107773,0.00,-0.22,250.46,8,3,0
107828,0.00,-0.23,250.42,9,2,0
107884,0.00,-0.23,250.36,11,2,0
107940,0.00,-0.24,250.31,12,2,0
107996,0.00,-0.24,250.25,13,2,0
108052,0.00,-0.25,250.20,14,8,0
108108,0.00,-0.25,250.14,15,7,0
108164,0.00,-0.26,250.09,16,7,0
108220,0.00,-0.26,250.04,17,10,0
108276,0.00,-0.26,250.00,19,16,0
108332,0.00,-0.27,249.97,20,17,0
108388,0.00,-0.27,249.95,21,17,0
108444,0.00,-0.27,249.93,22,17,0
108500,0.00,-0.27,249.92,23,17,0
108556,0.00,-0.27,249.91,24,16,0
108612,0.00,-0.27,249.91,25,16,0
108668,0.00,-0.27,249.92,26,20,0
108724,0.00,-0.27,249.94,27,19,0
108780,0.00,-0.27,249.97,28,22,0
108836,0.00,-0.26,250.00,29,23,0
108892,0.00,-0.26,250.05,29,22,0
108948,0.00,-0.25,250.10,30,22,0
109004,0.00,-0.25,250.17,31,22,0
109060,0.00,-0.24,250.26,31,24,0
109116,0.00,-0.23,250.36,32,29,0
109172,0.00,-0.22,250.49,32,29,0
109228,0.00,-0.21,250.64,32,29,0
109284,0.00,-0.19,250.80,33,29,0
109340,0.00,-0.18,250.97,33,29,0
109396,0.00,-0.16,251.16,33,29,0
109452,0.00,-0.14,251.36,33,29,0
109508,0.00,-0.13,251.57,33,29,0
109564,0.00,-0.11,251.78,33,29,0
109620,0.00,-0.09,251.99,33,29,0
109676,0.00,-0.07,252.20,33,29,0
109732,0.00,-0.05,252.40,33,29,0
109788,0.00,-0.04,252.59,33,29,0
109844,0.00,-0.02,252.77,33,29,0
109900,0.00,-0.00,252.94,33,29,0
109956,0.00,0.00,253.08,33,29,0
110012,0.00,0.02,253.21,33,28,0
110068,0.00,0.03,253.32,33,29,0
110124,0.00,0.04,253.41,33,29,0
110180,0.00,0.04,253.47,33,29,0
110236,0.00,0.05,253.52,33,29,0
110292,0.00,0.05,253.56,34,29,0
110348,0.00,0.05,253.57,34,29,0
110404,0.00,0.05,253.57,34,29,0
110460,0.00,0.05,253.56,34,29,0
110516,0.00,0.05,253.54,34,29,0
110572,0.00,0.05,253.52,34,30,0
110628,0.00,0.04,253.51,33,29,0
110684,0.00,0.04,253.50,33,29,0
110740,0.00,0.05,253.51,32,29,0
110796,0.00,0.05,253.54,32,29,0
110852,0.00,0.05,253.59,31,29,0
110908,0.00,0.06,253.65,31,29,0
110964,0.00,0.06,253.72,30,29,0
111019,0.00,0.07,253.80,29,29,0
111075,0.00,0.08,253.89,29,29,0
111131,0.00,0.09,254.00,28,29,0
111187,0.00,0.10,254.13,27,29,0
111243,0.00,0.11,254.28,25,29,0
111299,0.00,0.13,254.45,24,29,0
111355,0.00,0.15,254.66,23,29,0
111411,0.00,0.17,254.90,21,29,0
111467,0.00,0.19,255.17,19,29,0
111523,0.00,0.22,255.47,17,24,0
111579,0.00,0.25,255.80,15,23,0
111635,0.00,0.28,256.14,12,23,0
