trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
0,2.25,7.46,7.46,2.25,1,1,0,1
1,2.25,7.46,2.25,7.46,3,3,0,0
2,3.57,7.46,3.57,7.46,3,3,0,1
3,3.57,7.46,3.57,7.46,3,3,0,0
4,5.66,7.46,5.66,7.46,3,3,0,1
5,5.66,7.46,7.46,5.66,1,1,0,0
6,8.97,7.46,8.97,7.46,1,1,1,0
7,5.66,7.46,7.46,5.66,1,1,1,1
8,5.66,7.46,7.46,5.66,1,2,1,1
9,7.13,7.46,7.13,7.46,3,1,2,1
10,5.66,7.46,7.46,5.66,1,3,3,1
11,7.13,7.46,7.13,7.46,3,1,4,1
12,5.66,7.46,7.46,5.66,1,1,4,0
13,6.0,7.46,7.46,6.0,1,2,4,0
14,6.0,7.46,7.46,6.0,1,1,4,1
15,6.0,7.46,7.46,6.0,1,1,4,0
16,6.36,7.46,6.36,7.46,3,3,4,1
17,6.36,7.46,6.36,7.46,3,3,4,0
18,6.74,7.46,7.46,6.74,1,1,4,1
19,6.74,7.46,6.74,7.46,3,1,5,1
20,6.74,7.46,7.46,6.74,1,3,6,1
21,6.74,7.46,6.74,7.46,3,3,6,0
22,7.14,7.46,7.14,7.46,3,1,7,0
