trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,rightStreak
0,4.61,10.72,4.61,10.72,3,3,0,1
1,4.61,10.72,4.61,10.72,3,3,0,0
2,7.31,10.72,10.72,7.31,1,1,0,1
3,7.31,10.72,7.31,10.72,3,3,0,0
4,11.59,10.72,11.59,10.72,1,1,1,0
5,7.31,10.72,10.72,7.31,1,1,1,1
6,7.31,10.72,10.72,7.31,1,1,1,0
7,9.2,10.72,9.2,10.72,3,3,1,1
8,9.2,10.72,9.2,10.72,3,3,1,0
9,11.58,10.72,11.58,10.72,1,1,2,0
10,9.2,10.72,9.2,10.72,3,3,2,1
11,9.2,10.72,9.2,10.72,3,3,2,0
12,10.32,10.72,10.72,10.32,1,3,3,0
13,9.2,10.72,10.72,9.2,1,2,3,0
14,10.93,10.72,10.72,10.93,3,3,4,0
15,9.2,10.72,10.72,9.2,1,1,4,1
