trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon
0,13.01,10.72,10.72,13.01,3,1,1,3
1,13.01,10.72,10.72,13.01,3,3,1,1
2,13.01,10.72,10.72,13.01,3,3,1,1
3,9.64,10.72,10.72,9.64,1,1,2,3
4,13.01,10.72,10.72,13.01,3,3,2,1
5,13.01,10.72,10.72,13.01,3,3,2,1
6,11.42,10.72,11.42,10.72,1,3,3,3
7,13.01,10.72,10.72,13.01,3,3,3,1
8,13.01,10.72,10.72,13.01,3,3,3,1
9,12.24,10.72,10.72,12.24,3,3,3,1
10,12.24,10.72,10.72,12.24,3,3,3,1
11,11.51,10.72,10.72,11.51,3,3,3,1
12,11.51,10.72,10.72,11.51,3,3,3,1
13,10.83,10.72,10.83,10.72,1,1,3,1
14,10.83,10.72,10.72,10.83,3,3,3,1
