time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
73939,0.00,0.02,253.27,0,0,0
73995,0.00,0.02,253.25,0,3,0
74051,0.00,0.02,253.23,0,3,0
74107,0.00,0.02,253.21,0,3,0
74163,0.00,0.02,253.20,0,3,0
74218,0.00,0.02,253.19,0,2,0
74274,0.00,0.02,253.18,0,3,0
74330,0.00,0.02,253.18,0,2,0
74386,0.00,0.02,253.18,0,2,0
74442,0.00,0.02,253.18,0,3,0
74497,0.00,0.02,253.18,0,2,0
74553,0.00,0.02,253.20,0,2,0
74609,0.00,0.02,253.21,0,3,0
74665,0.00,0.02,253.24,0,3,0
74721,0.00,0.02,253.27,0,2,0
74777,0.00,0.03,253.31,0,3,0
74832,0.00,0.03,253.35,0,2,0
74888,0.00,0.03,253.39,0,2,0
74944,0.00,0.04,253.43,0,2,0
75000,0.00,0.04,253.47,0,3,0
75056,0.00,0.04,253.50,0,2,0
75112,0.00,0.05,253.53,0,2,0
75167,0.00,0.05,253.56,0,2,0
75223,0.00,0.05,253.59,0,3,0
75279,0.00,0.06,253.63,0,3,0
75335,0.00,0.06,253.67,0,2,0
75391,0.00,0.06,253.71,0,2,0
75446,0.00,0.07,253.75,0,3,0
75502,0.00,0.07,253.80,0,3,0
75558,0.00,0.07,253.84,0,2,0
75614,0.00,0.08,253.89,0,3,0
75670,0.00,0.08,253.93,0,3,0
75726,0.00,0.09,253.98,0,2,0
75781,0.00,0.09,254.03,0,2,0
75837,0.00,0.10,254.08,0,3,0
75893,0.00,0.10,254.13,0,3,0
75949,0.00,0.10,254.18,0,2,0
76005,0.00,0.11,254.21,0,2,0
76060,0.00,0.11,254.25,0,2,0
76116,0.00,0.11,254.27,0,3,0
76172,0.00,0.11,254.28,0,2,0
76228,0.00,0.11,254.28,0,2,0
76284,0.00,0.11,254.27,0,2,0
76340,0.00,0.11,254.24,0,2,0
76395,0.00,0.11,254.21,0,2,0
76451,0.00,0.10,254.17,0,2,0
76507,0.00,0.10,254.13,0,3,0
76563,0.00,0.10,254.09,0,3,0
76619,0.00,0.09,254.04,0,2,0
