time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
-1,-0.09,-0.12,0.00,0
-1,-0.44,-0.49,0.00,0
-1,-0.82,-0.86,0.00,0
-1,-1.03,-1.05,0.00,0
-1,-1.08,-1.08,0.00,0
-1,-1.05,-1.04,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
21664,0.00,0.00,0.00,0,3
21694,0.00,0.00,0.00,0,3
21724,0.00,0.00,0.00,0,3
21753,0.00,0.00,0.00,0,5
21783,0.00,0.00,0.00,0,3
21813,0.00,0.00,0.00,0,5
21843,0.00,0.00,0.00,0,3
21872,0.00,0.00,0.00,0,3
21902,0.00,0.00,0.00,0,3
21932,0.00,0.00,0.00,0,5,0
21962,0.00,0.00,0.00,0,3
21991,0.00,0.00,0.00,0,3,0
22021,0.00,0.00,0.00,0,3
22051,0.00,0.00,0.00,0,5,0
22080,0.00,0.00,0.00,0,3
22110,0.00,0.00,0.00,0,3,0
22140,0.00,0.00,0.00,0,3
22170,0.00,0.00,0.00,0,3
22199,0.00,0.00,0.00,0,5
22229,0.00,0.00,0.00,0,5
22259,0.00,0.00,0.00,0,5
22289,0.00,0.00,0.00,0,3
22318,0.00,0.00,0.00,0,3
22348,0.00,0.00,0.00,0,5
22378,0.00,0.00,0.00,0,5
22407,0.00,0.00,0.00,0,3
22437,0.00,0.00,0.00,0,5
22467,0.00,0.00,0.00,0,3
22497,0.00,0.00,0.00,0,5
22526,0.00,0.00,0.00,0,5
22556,0.00,0.00,0.00,0,3,0
22586,0.00,0.00,0.00,0,3
22616,0.00,0.00,0.00,0,5,0
22645,0.00,0.00,0.00,0,3
22675,0.00,0.00,0.00,0,3,0
22705,0.00,0.00,0.00,0,5
22734,0.00,0.00,0.00,0,5,0
22764,0.00,0.00,0.00,0,3
22794,0.00,0.00,0.00,0,5
22824,0.00,0.00,0.00,0,5
22853,0.00,0.00,0.00,0,3
22883,0.00,0.00,0.00,0,5
22913,0.00,0.00,0.00,0,5
22943,0.00,0.00,0.00,0,5
22972,0.00,0.00,0.00,0,5
23002,0.00,0.00,0.00,0,3
23032,0.00,0.00,0.00,0,5
23061,0.00,0.00,0.00,0,3,0
23091,0.00,0.00,0.00,0,5
23121,0.00,0.00,0.00,0,3
23151,0.00,0.00,0.00,0,3
23180,0.00,0.00,0.00,0,3,0
23210,0.00,0.00,0.00,0,3
23240,0.00,0.00,0.00,0,3,0
23270,0.00,0.00,0.00,0,5
23299,0.00,0.00,0.00,0,3,0
23329,0.00,0.00,0.00,0,3
23359,0.00,0.00,0.00,0,5
23388,0.00,0.00,0.00,0,3
23418,0.00,0.00,0.00,0,3
23448,0.00,0.00,0.00,0,3
23478,0.00,0.00,0.00,0,5
23507,0.00,0.00,0.00,0,3
23537,0.00,0.00,0.00,0,3
23567,0.00,0.00,0.00,0,3
23597,0.00,0.00,0.00,0,3
23626,0.00,0.00,0.00,0,3
23656,0.00,0.00,0.00,0,3
23686,0.00,0.00,0.00,0,3,0
23715,0.00,0.00,0.00,0,3
23745,0.00,0.00,0.00,0,3,0
23775,0.00,0.00,0.00,0,5
23805,0.00,0.00,0.00,0,3,0
23834,0.00,0.00,0.00,0,3
23864,0.00,0.00,0.00,0,3,0
23894,0.00,0.00,0.00,0,5
23924,0.00,0.00,0.00,0,3,0
23953,0.00,0.00,0.00,0,3
23983,0.00,0.00,0.00,0,5,0
24013,0.00,0.00,0.00,0,3
24042,0.00,0.00,0.00,0,5
24072,0.00,0.00,0.00,0,3
24102,0.00,0.00,0.00,0,3
24132,0.00,0.00,0.00,0,3
24161,0.00,0.00,0.00,0,3
24191,0.00,0.00,0.00,0,3
24221,0.00,0.00,0.00,0,3
24250,0.00,0.00,0.00,0,3
24280,0.00,0.00,0.00,0,3
24310,0.00,0.00,0.00,0,5
24340,0.00,0.00,0.00,0,5
24369,0.00,0.00,0.00,0,5,0
24399,0.00,0.00,0.00,0,3
24429,0.00,0.00,0.00,0,3,0
24459,0.00,0.00,0.00,0,5
24488,0.00,0.00,0.00,0,5,0
24518,0.00,0.00,0.00,0,3
24548,0.00,0.00,0.00,0,5,0
24578,0.00,0.00,0.00,0,3
24607,0.00,0.00,0.00,0,3
24637,0.00,0.00,0.00,0,5
24667,0.00,0.00,0.00,0,3
24696,0.00,0.00,0.00,0,5
24726,0.00,0.00,0.00,0,5
24756,0.00,0.00,0.00,0,5
24786,0.00,0.00,0.00,0,6
24815,0.00,0.00,0.00,0,5
24845,0.00,0.00,0.00,0,5
24875,0.00,0.00,0.00,0,6
24904,0.00,0.00,0.00,0,5
24934,0.00,0.00,0.00,0,5
24964,0.00,0.00,0.00,0,5
24994,0.00,0.00,0.00,0,5,0
25023,0.00,0.00,0.00,0,5
25053,0.00,0.00,0.00,0,6,0
25083,0.00,0.00,0.00,0,5
25113,0.00,0.00,0.00,0,5,0
25142,0.00,0.00,0.00,0,5
25172,0.00,0.00,0.00,0,5,0
25202,0.00,0.00,0.00,0,5
25231,0.00,0.00,0.00,0,5,0
25261,0.00,0.00,0.00,0,5
25291,0.00,0.00,0.00,0,5
25321,0.00,0.00,0.00,0,5
25350,0.00,0.00,0.00,0,5
25380,0.00,0.00,0.00,0,5
25410,0.00,0.00,0.00,0,5
25440,0.00,0.00,0.00,0,5
