time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
-1,-0.09,-0.12,0.00,0
-1,-0.44,-0.49,0.00,0
-1,-0.82,-0.86,0.00,0
-1,-1.03,-1.05,0.00,0
-1,-1.08,-1.08,0.00,0
-1,-1.05,-1.04,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
25340,0.00,0.00,0.00,0,6
25370,0.00,0.00,0.00,0,6
25400,0.00,0.00,0.00,0,6
25430,0.00,0.00,0.00,0,6
25459,0.00,0.00,0.00,0,6
25489,0.00,0.00,0.00,0,6
25519,0.00,0.00,0.00,0,6
25548,0.00,0.00,0.00,0,6
25578,0.00,0.00,0.00,0,6
25608,0.00,0.00,0.00,0,5
25638,0.00,0.00,0.00,0,6
25667,0.00,0.00,0.00,0,5
25697,0.00,0.00,0.00,0,6,0
25727,0.00,0.00,0.00,0,6
25757,0.00,0.00,0.00,0,5,0
25786,0.00,0.00,0.00,0,5
25816,0.00,0.00,0.00,0,6,0
25846,0.00,0.00,0.00,0,5
25875,0.00,0.00,0.00,0,5,0
25905,0.00,0.00,0.00,0,6
25935,0.00,0.00,0.00,0,5
25965,0.00,0.00,0.00,0,6
25994,0.00,0.00,0.00,0,6
26024,0.00,0.00,0.00,0,6
26054,0.00,0.00,0.00,0,6
26084,0.00,0.00,0.00,0,6
26113,0.00,0.00,0.00,0,6
26143,0.00,0.00,0.00,0,6
26173,0.00,0.00,0.00,0,6
26202,0.00,0.00,0.00,0,6
26232,0.00,0.00,0.00,0,6
26262,0.00,0.00,0.00,0,6
26292,0.00,0.00,0.00,0,6
26321,0.00,0.00,0.00,0,6,0
26351,0.00,0.00,0.00,0,5
26381,0.00,0.00,0.00,0,5,0
26411,0.00,0.00,0.00,0,5
26440,0.00,0.00,0.00,0,5,0
26470,0.00,0.00,0.00,0,5
26500,0.00,0.00,0.00,0,6,0
26529,0.00,0.00,0.00,0,6
26559,0.00,0.00,0.00,0,6
26589,0.00,0.00,0.00,0,5
26619,0.00,0.00,0.00,0,6
26648,0.00,0.00,0.00,0,6
26678,0.00,0.00,0.00,0,6
26708,0.00,0.00,0.00,0,6
26738,0.00,0.00,0.00,0,6
26767,0.00,0.00,0.00,0,6
26797,0.00,0.00,0.00,0,6
26827,0.00,0.00,0.00,0,6
26856,0.00,0.00,0.00,0,6
26886,0.00,0.00,0.00,0,6
26916,0.00,0.00,0.00,0,6
26946,0.00,0.00,0.00,0,5,0
26975,0.00,0.00,0.00,0,6
27005,0.00,0.00,0.00,0,6,0
27035,0.00,0.00,0.00,0,6
27065,0.00,0.00,0.00,0,6,0
27094,0.00,0.00,0.00,0,6
27124,0.00,0.00,0.00,0,5,0
27154,0.00,0.00,0.00,0,6
27183,0.00,0.00,0.00,0,6
27213,0.00,0.00,0.00,0,5
27243,0.00,0.00,0.00,0,5
27273,0.00,0.00,0.00,0,6
27302,0.00,0.00,0.00,0,6
27332,0.00,0.00,0.00,0,6
27362,0.00,0.00,0.00,0,7
27392,0.00,0.00,0.00,0,6
27421,0.00,0.00,0.00,0,6
27451,0.00,0.00,0.00,0,5
27481,0.00,0.00,0.00,0,6
27510,0.00,0.00,0.00,0,5
27540,0.00,0.00,0.00,0,6
27570,0.00,0.00,0.00,0,6,0
27600,0.00,0.00,0.00,0,6
27629,0.00,0.00,0.00,0,5,0
