time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
-1,-0.09,-0.12,0.00,0
-1,-0.44,-0.49,0.00,0
-1,-0.82,-0.86,0.00,0
-1,-1.03,-1.05,0.00,0
-1,-1.08,-1.08,0.00,0
-1,-1.05,-1.04,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-0.99,-0.99,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
-1,-1.00,-1.00,0.00,0
23762,0.00,0.00,0.00,0,5
23792,0.00,0.00,0.00,0,5
23821,0.00,0.00,0.00,0,5
23851,0.00,0.00,0.00,0,5
23881,0.00,0.00,0.00,0,6
23910,0.00,0.00,0.00,0,5
23940,0.00,0.00,0.00,0,5
23970,0.00,0.00,0.00,0,5,0
24000,0.00,0.00,0.00,0,5
24029,0.00,0.00,0.00,0,5,0
24059,0.00,0.00,0.00,0,5
24089,0.00,0.00,0.00,0,5,0
24119,0.00,0.00,0.00,0,5
24148,0.00,0.00,0.00,0,5,0
24178,0.00,0.00,0.00,0,5
24208,0.00,0.00,0.00,0,5
24237,0.00,0.00,0.00,0,5
24267,0.00,0.00,0.00,0,5
24297,0.00,0.00,0.00,0,5
24327,0.00,0.00,0.00,0,5
24356,0.00,0.00,0.00,0,5
24386,0.00,0.00,0.00,0,5
24416,0.00,0.00,0.00,0,5
24445,0.00,0.00,0.00,0,5
24475,0.00,0.00,0.00,0,5
24505,0.00,0.00,0.00,0,5
24535,0.00,0.00,0.00,0,5
24564,0.00,0.00,0.00,0,5
24594,0.00,0.00,0.00,0,5,0
24624,0.00,0.00,0.00,0,5
24653,0.00,0.00,0.00,0,5,0
24683,0.00,0.00,0.00,0,5
24713,0.00,0.00,0.00,0,5,0
24743,0.00,0.00,0.00,0,5
24772,0.00,0.00,0.00,0,5,0
24802,0.00,0.00,0.00,0,5
24832,0.00,0.00,0.00,0,5
24862,0.00,0.00,0.00,0,5
24891,0.00,0.00,0.00,0,6
24921,0.00,0.00,0.00,0,5
24951,0.00,0.00,0.00,0,5
24981,0.00,0.00,0.00,0,5
25010,0.00,0.00,0.00,0,5
25040,0.00,0.00,0.00,0,5
25070,0.00,0.00,0.00,0,5
25099,0.00,0.00,0.00,0,5
25129,0.00,0.00,0.00,0,5
25159,0.00,0.00,0.00,0,5
25189,0.00,0.00,0.00,0,5
25218,0.00,0.00,0.00,0,5,0
25248,0.00,0.00,0.00,0,5
25278,0.00,0.00,0.00,0,5,0
25307,0.00,0.00,0.00,0,5
25337,0.00,0.00,0.00,0,5,0
25367,0.00,0.00,0.00,0,6
25397,0.00,0.00,0.00,0,5,0
25426,0.00,0.00,0.00,0,5
25456,0.00,0.00,0.00,0,3
25486,0.00,0.00,0.00,0,5
25516,0.00,0.00,0.00,0,5
25545,0.00,0.00,0.00,0,5
25575,0.00,0.00,0.00,0,5
25605,0.00,0.00,0.00,0,5
25634,0.00,0.00,0.00,0,5
25664,0.00,0.00,0.00,0,5
25694,0.00,0.00,0.00,0,5
25724,0.00,0.00,0.00,0,5
25753,0.00,0.00,0.00,0,5
25783,0.00,0.00,0.00,0,5
25813,0.00,0.00,0.00,0,5
25843,0.00,0.00,0.00,0,5,0
25872,0.00,0.00,0.00,0,5
25902,0.00,0.00,0.00,0,5,0
25932,0.00,0.00,0.00,0,5
25961,0.00,0.00,0.00,0,5,0
25991,0.00,0.00,0.00,0,5
26021,0.00,0.00,0.00,0,5,0
26051,0.00,0.00,0.00,0,6
26080,0.00,0.00,0.00,0,6
26110,0.00,0.00,0.00,0,5
26140,0.00,0.00,0.00,0,6
26170,0.00,0.00,0.00,0,5
26199,0.00,0.00,0.00,0,5
26229,0.00,0.00,0.00,0,5
26259,0.00,0.00,0.00,0,5
26288,0.00,0.00,0.00,0,5
26318,0.00,0.00,0.00,0,5
26348,0.00,0.00,0.00,0,5
26378,0.00,0.00,0.00,0,5
26407,0.00,0.00,0.00,0,5
26437,0.00,0.00,0.00,0,5
26467,0.00,0.00,0.00,0,5,0
26497,0.00,0.00,0.00,0,5
26526,0.00,0.00,0.00,0,5,0
26556,0.00,0.00,0.00,0,5
26586,0.00,0.00,0.00,0,5,0
26615,0.00,0.00,0.00,0,5
26645,0.00,0.00,0.00,0,5
26675,0.00,0.00,0.00,0,5
26705,0.00,0.00,0.00,0,5
26734,0.00,0.00,0.00,0,6
26764,0.00,0.00,0.00,0,5
26794,0.00,0.00,0.00,0,5
26824,0.00,0.00,0.00,0,6
26853,0.00,0.00,0.00,0,5
26883,0.00,0.00,0.00,0,6
26913,0.00,0.00,0.00,0,5
26942,0.00,0.00,0.00,0,5
26972,0.00,0.00,0.00,0,5
27002,0.00,0.00,0.00,0,5
27032,0.00,0.00,0.00,0,5
27061,0.00,0.00,0.00,0,6
27091,0.00,0.00,0.00,0,5,0
27121,0.00,0.00,0.00,0,5
27151,0.00,0.00,0.00,0,5,0
27180,0.00,0.00,0.00,0,5
27210,0.00,0.00,0.00,0,6,0
27240,0.00,0.00,0.00,0,5
27269,0.00,0.00,0.00,0,5
27299,0.00,0.00,0.00,0,5
27329,0.00,0.00,0.00,0,5
27359,0.00,0.00,0.00,0,5
27388,0.00,0.00,0.00,0,5
27418,0.00,0.00,0.00,0,5
27448,0.00,0.00,0.00,0,5
27478,0.00,0.00,0.00,0,5
27507,0.00,0.00,0.00,0,5
27537,0.00,0.00,0.00,0,5
27567,0.00,0.00,0.00,0,6
27596,0.00,0.00,0.00,0,5
27626,0.00,0.00,0.00,0,6
27656,0.00,0.00,0.00,0,5,0
27686,0.00,0.00,0.00,0,5
27715,0.00,0.00,0.00,0,5,0
27745,0.00,0.00,0.00,0,5
27775,0.00,0.00,0.00,0,5,0
27805,0.00,0.00,0.00,0,5
27834,0.00,0.00,0.00,0,5,0
27864,0.00,0.00,0.00,0,5
27894,0.00,0.00,0.00,0,5
27923,0.00,0.00,0.00,0,5
