time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.71,30.71,253.00,0
252,110.77,123.82,253.00,0
255,206.80,216.34,253.00,0
252,261.73,265.22,253.00,0
252,273.51,272.99,253.00,0
252,264.05,262.49,253.00,0
254,253.14,252.19,253.00,0
252,248.77,248.67,253.00,0
252,249.44,249.67,253.00,0
254,251.33,251.53,253.00,0
254,252.67,252.79,253.00,0
255,253.40,253.49,253.00,0
252,254.03,254.07,253.00,0
252,253.91,253.83,253.00,0
252,253.06,252.95,253.00,0
252,252.24,252.17,253.00,0
255,251.92,251.95,253.00,0
252,252.63,252.76,253.00,0
252,253.36,253.39,253.00,0
252,253.18,253.11,253.00,0
253,252.67,252.63,253.00,0
252,252.53,252.52,253.00,0
252,252.41,252.39,253.00,0
252,252.21,252.18,253.00,0
252,252.04,252.03,252.00,0
252,251.97,251.96,252.00,0
255,252.11,252.19,253.00,0
251,252.84,252.90,253.00,0
253,252.74,252.66,252.00,0
252,252.07,252.00,252.00,0
252,251.74,251.75,252.00,0
252,251.98,252.01,252.00,0
255,252.28,252.34,252.00,0
252,253.00,253.09,252.00,0
251,253.28,253.24,252.00,0
251,252.59,252.46,252.00,0
251,251.59,251.48,252.00,0
251,250.95,250.91,252.00,0
252,250.86,250.90,252.00,0
254,251.42,251.50,252.00,0
252,252.21,252.31,252.00,0
252,252.77,252.79,252.00,0
22725,0.00,0.00,252.00,0,1
22755,0.00,0.00,252.00,0,1
22786,0.00,0.00,252.00,0,0
22817,0.00,0.00,252.00,0,1
22848,0.00,0.00,252.00,0,1
22879,0.00,0.00,252.00,0,1
22909,0.00,0.00,252.00,0,1
22940,0.00,0.00,252.00,0,1
22971,0.00,0.00,252.00,0,1
23002,0.00,0.00,252.00,0,1,0
23033,0.00,0.00,252.00,0,1
23063,0.00,0.00,252.00,0,1,0
23094,0.00,0.00,252.00,0,1
23125,0.00,0.00,252.00,0,0
23156,0.00,0.00,252.00,0,1
23187,0.00,0.00,252.00,0,1
23217,0.00,0.00,252.00,0,1
23248,0.00,0.00,252.00,0,0
23279,0.00,0.00,252.00,0,1
23310,0.00,0.00,252.00,0,1
23341,0.00,0.00,252.00,0,1
23371,0.00,0.00,252.00,0,1
23402,0.00,0.00,252.00,0,1
23433,0.00,0.00,252.00,0,1
23464,0.00,0.00,252.00,0,1
23495,0.00,0.00,252.00,0,0
23525,0.00,0.00,252.00,0,1,0
23556,0.00,0.00,252.00,0,1
23587,0.00,0.00,252.00,0,1,0
23618,0.00,0.00,252.00,0,1
23649,0.00,0.00,252.00,0,1
23679,0.00,0.00,252.00,0,1
23710,0.00,0.00,252.00,0,0
23741,0.00,0.00,252.00,0,1
23772,0.00,0.00,252.00,0,1
23803,0.00,0.00,252.00,0,1
23833,0.00,0.00,252.00,0,1
23864,0.00,0.00,252.00,0,1
23895,0.00,0.00,252.00,0,1
23926,0.00,0.00,252.00,0,1
23957,0.00,0.00,252.00,0,0
23987,0.00,0.00,252.00,0,1
24018,0.00,0.00,252.00,0,1
24049,0.00,0.00,252.00,0,0,0
24080,0.00,0.00,252.00,0,1
24111,0.00,0.00,252.00,0,1,0
24142,0.00,0.00,252.00,0,1
24173,0.00,0.00,252.00,0,1
24203,0.00,0.00,252.00,0,1
24234,0.00,0.00,252.00,0,1
24265,0.00,0.00,252.00,0,1
24296,0.00,0.00,252.00,0,1
24327,0.00,0.00,252.00,0,1
24358,0.00,0.00,252.00,0,1
24389,0.00,0.00,252.00,0,1
24420,0.00,0.00,252.00,0,1
24450,0.00,0.00,252.00,0,0
24481,0.00,0.00,252.00,0,0
24512,0.00,0.00,252.00,0,1,0
24543,0.00,0.00,252.00,0,1
24574,0.00,0.00,252.00,0,1,0
24605,0.00,0.00,252.00,0,1
24636,0.00,0.00,252.00,0,1
24666,0.00,0.00,252.00,0,1
24697,0.00,0.00,252.00,0,1
24728,0.00,0.00,252.00,0,1
24759,0.00,0.00,252.00,0,1
24790,0.00,0.00,252.00,0,1
24821,0.00,0.00,252.00,0,1
24852,0.00,0.00,252.00,0,1
24882,0.00,0.00,252.00,0,1
24913,0.00,0.00,252.00,0,1
24944,0.00,0.00,252.00,0,1
24975,0.00,0.00,252.00,0,1,0
25006,0.00,0.00,252.00,0,1
25037,0.00,0.00,252.00,0,1,0
25068,0.00,0.00,252.00,0,1
25099,0.00,0.00,252.00,0,0
25129,0.00,0.00,252.00,0,0
25160,0.00,0.00,252.00,0,1
25191,0.00,0.00,252.00,0,0
25222,0.00,0.00,252.00,0,0
25253,0.00,0.00,252.00,0,1
25284,0.00,0.00,252.00,0,1
25315,0.00,0.00,252.00,0,1
25346,0.00,0.00,252.00,0,1
25376,0.00,0.00,252.00,0,1
25407,0.00,0.00,252.00,0,0
25438,0.00,0.00,252.00,0,1,0
25469,0.00,0.00,252.00,0,1
25500,0.00,0.00,252.00,0,1,0
25531,0.00,0.00,252.00,0,1
25562,0.00,0.00,252.00,0,1
25592,0.00,0.00,252.00,0,1
25623,0.00,0.09,253.00,0,1
25654,0.00,0.09,253.00,0,1
25685,0.00,0.09,253.00,0,1
25716,0.00,0.09,253.00,0,1
25747,0.00,0.09,253.00,0,0
25778,0.00,0.09,253.00,0,1
25809,0.00,0.09,253.00,0,1
25839,0.00,0.09,253.00,0,1
25870,0.00,0.09,253.00,0,1
25901,0.00,0.09,253.00,0,1
25932,0.00,0.09,253.00,0,1
25963,0.00,0.09,253.00,0,1,0
25994,0.00,0.09,253.00,0,0
26025,0.00,0.09,253.00,0,1,0
26056,0.00,0.09,253.00,0,0
26086,0.00,0.09,253.00,0,0
26117,0.00,0.09,253.00,0,1
26148,0.00,0.09,253.00,0,1
26179,0.00,0.09,253.00,0,1
26210,0.00,0.09,253.00,0,0
26241,0.00,0.09,253.00,0,1
26272,0.00,0.09,253.00,0,1
26302,0.00,0.09,253.00,0,1
26333,0.00,0.09,253.00,0,0
26364,0.00,0.09,253.00,0,1
26395,0.00,0.09,253.00,0,1
26426,0.00,0.09,253.00,0,1,0
26457,0.00,0.09,253.00,0,1
26488,0.00,0.09,253.00,0,1,0
26519,0.00,0.09,253.00,0,0
26549,0.00,0.09,253.00,0,1
26580,0.00,0.09,253.00,0,1
26611,0.00,0.09,253.00,0,1
26642,0.00,0.09,253.00,0,1
26673,0.00,0.09,253.00,0,0
26704,0.00,0.09,253.00,0,1
26735,0.00,0.00,252.00,0,1
26766,0.00,0.00,252.00,0,0
26796,0.00,0.00,252.00,0,1
26827,0.00,0.00,252.00,0,1
26858,0.00,0.00,252.00,0,1
26889,0.00,0.00,252.00,0,1,0
26920,0.00,0.00,252.00,0,1
26951,0.00,0.00,252.00,0,1,0
26982,0.00,0.00,252.00,0,1
27013,0.00,0.00,252.00,0,1
27043,0.00,0.00,252.00,0,1
27074,0.00,0.00,252.00,0,1
27105,0.00,0.00,252.00,0,1
27136,0.00,0.00,252.00,0,1
27167,0.00,0.00,252.00,0,1
27198,0.00,0.00,252.00,0,1
27229,0.00,0.00,252.00,0,1
27260,0.00,0.00,252.00,0,1
27290,0.00,0.00,252.00,0,0
27321,0.00,0.00,252.00,0,0
27352,0.00,0.00,252.00,0,1
27383,0.00,0.00,252.00,0,1
27414,0.00,0.00,252.00,0,1,0
27445,0.00,0.00,252.00,0,1
27476,0.00,0.00,252.00,0,0
27507,0.00,0.00,252.00,0,1
27537,0.00,0.00,252.00,0,1
27568,0.00,0.00,252.00,0,0
27599,0.00,0.00,252.00,0,0
27630,0.00,0.00,252.00,0,1
27661,0.00,0.00,252.00,0,1
27692,0.00,0.00,252.00,0,1
27723,0.00,0.00,252.00,0,0
27753,0.00,0.00,252.00,0,1
27784,0.00,0.00,252.00,0,1
27815,0.00,0.00,252.00,0,0,0
27846,0.00,0.09,253.00,0,1
27877,0.00,0.09,253.00,0,1,0
27908,0.00,0.09,253.00,0,1
27939,0.00,0.09,253.00,0,1
27969,0.00,0.09,253.00,0,0
28000,0.00,0.09,253.00,0,0
28031,0.00,0.09,253.00,0,1
28062,0.00,0.09,253.00,0,1
28093,0.00,0.09,253.00,0,0
28124,0.00,0.09,253.00,0,0
28155,0.00,0.09,253.00,0,0
28186,0.00,0.09,253.00,0,1
28216,0.00,0.09,253.00,0,1
28247,0.00,0.09,253.00,0,1
28278,0.00,0.09,253.00,0,1,0
28309,0.00,0.09,253.00,0,1
28340,0.00,0.09,253.00,0,1,0
28371,0.00,0.09,253.00,0,1
28402,0.00,0.09,253.00,0,1,0
28433,0.00,0.09,253.00,0,1
28463,0.00,0.09,253.00,0,0
28494,0.00,0.09,253.00,0,0
28525,0.00,0.09,253.00,0,1
28556,0.00,0.09,253.00,0,0
28587,0.00,0.09,253.00,0,1
28618,0.00,0.09,253.00,0,1
28649,0.00,0.09,253.00,0,1
28680,0.00,0.09,253.00,0,1
28710,0.00,0.09,253.00,0,0
28741,0.00,0.09,253.00,0,1
28772,0.00,0.09,253.00,0,0
28803,0.00,0.09,253.00,0,0,0
28834,0.00,0.09,253.00,0,1
28865,0.00,0.09,253.00,0,0,0
28896,0.00,0.09,253.00,0,1
28926,0.00,0.09,253.00,0,1
28957,0.00,0.09,253.00,0,1
28988,0.00,0.09,253.00,0,1
29019,0.00,0.09,253.00,0,1
29050,0.00,0.09,253.00,0,0
29081,0.00,0.09,253.00,0,1
29112,0.00,0.09,253.00,0,0
29143,0.00,0.09,253.00,0,1
29173,0.00,0.09,253.00,0,0
29204,0.00,0.09,253.00,0,1
29235,0.00,0.09,253.00,0,1
29266,0.00,0.09,253.00,0,1,0
29297,0.00,0.09,253.00,0,0
29328,0.00,0.09,253.00,0,1,0
29359,0.00,0.09,253.00,0,1
29390,0.00,0.09,253.00,0,1
29420,0.00,0.09,253.00,0,1
29451,0.00,0.09,253.00,0,1
29482,0.00,0.09,253.00,0,1
29513,0.00,0.09,253.00,0,1
29544,0.00,0.09,253.00,0,1
29575,0.00,0.09,253.00,0,1
29606,0.00,0.09,253.00,0,0
29636,0.00,0.09,253.00,0,0
29667,0.00,0.09,253.00,0,1
29698,0.00,0.09,253.00,0,1
29729,0.00,0.09,253.00,0,1,0
29760,0.00,0.09,253.00,0,1
29791,0.00,0.09,253.00,0,1,0
29822,0.00,0.09,253.00,0,0
29853,0.00,0.09,253.00,0,1
29883,0.00,0.09,253.00,0,0
29914,0.00,0.09,253.00,0,1
29945,0.00,0.09,253.00,0,1
29976,0.00,0.09,253.00,0,0
30007,0.00,0.09,253.00,0,1
30038,0.00,0.09,253.00,0,1
30069,0.00,0.09,253.00,0,1
30099,0.00,0.09,253.00,0,1
30130,0.00,0.09,253.00,0,1
30161,0.00,0.09,253.00,0,1
30192,0.00,0.09,253.00,0,1,0
30223,0.00,0.09,253.00,0,1
30254,0.00,0.09,253.00,0,1,0
30285,0.00,0.09,253.00,0,1
30316,0.00,0.09,253.00,0,0,0
30346,0.00,0.09,253.00,0,1
30377,0.00,0.09,253.00,0,1
30408,0.00,0.09,253.00,0,1
30439,0.00,0.09,253.00,0,1
30470,0.00,0.09,253.00,0,1
