time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
255,275.71,275.21,255.00,0
255,266.55,265.03,255.00,0
255,255.95,255.02,255.00,0
255,251.43,251.29,255.00,0
255,251.91,252.14,255.00,0
255,253.92,254.15,255.00,0
255,255.29,255.38,255.00,0
255,255.61,255.60,255.00,0
255,255.36,255.31,255.00,0
255,255.05,255.02,255.00,0
255,254.91,254.91,255.00,0
255,254.91,254.92,255.00,0
255,254.97,254.97,255.00,0
255,255.01,255.01,255.00,0
255,255.02,255.02,255.00,0
255,255.01,255.01,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
23769,0.00,0.00,255.00,0,1
23800,0.00,0.00,255.00,0,1,0
23831,0.00,0.00,255.00,0,1
23862,0.00,0.00,255.00,0,1
23893,0.00,0.00,255.00,0,1
23923,0.00,0.00,255.00,0,1
23954,0.00,0.00,255.00,0,1
23985,0.00,0.00,255.00,0,1
24016,0.00,0.00,255.00,0,2
24046,0.00,0.00,255.00,0,2
24077,0.00,0.00,255.00,0,2
24108,0.00,0.00,255.00,0,2
24139,0.00,0.00,255.00,0,1
24170,0.00,0.00,255.00,0,1
24200,0.00,0.00,255.00,0,2
24231,0.00,0.00,255.00,0,1
24262,0.00,0.00,255.00,0,1,0
24293,0.00,0.00,255.00,0,2
24324,0.00,0.00,255.00,0,2,0
24354,0.00,0.00,255.00,0,1
24385,0.00,0.00,255.00,0,1
24416,0.00,0.00,255.00,0,1
24447,0.00,0.00,255.00,0,1
24478,0.00,0.00,255.00,0,1
24508,0.00,0.00,255.00,0,1
24539,0.00,0.00,255.00,0,1
24570,0.00,0.00,255.00,0,1
24601,0.00,0.00,255.00,0,1
24631,0.00,0.00,255.00,0,1
24662,0.00,0.00,255.00,0,2
24693,0.00,0.00,255.00,0,2
24724,0.00,0.00,255.00,0,1
24755,0.00,0.00,255.00,0,1
24785,0.00,0.00,255.00,0,1,0
24816,0.00,0.00,255.00,0,2
24847,0.00,0.00,255.00,0,1,0
24878,0.00,0.00,255.00,0,1
