time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
255,275.71,275.21,255.00,0
255,266.55,265.03,255.00,0
255,255.95,255.02,255.00,0
255,251.43,251.29,255.00,0
255,251.91,252.14,255.00,0
255,253.92,254.15,255.00,0
255,255.29,255.38,255.00,0
255,255.61,255.60,255.00,0
255,255.36,255.31,255.00,0
255,255.05,255.02,255.00,0
255,254.91,254.91,255.00,0
255,254.91,254.92,255.00,0
255,254.97,254.97,255.00,0
255,255.01,255.01,255.00,0
255,255.02,255.02,255.00,0
255,255.01,255.01,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
36360,0.00,0.00,255.00,0,0
36391,0.00,0.00,255.00,0,0
36422,0.00,0.00,255.00,0,0
36452,0.00,0.00,255.00,0,0
36483,0.00,0.00,255.00,0,0
36514,0.00,0.00,255.00,0,0,0
36545,0.00,0.00,255.00,0,0
36576,0.00,0.00,255.00,0,0,0
36606,0.00,0.00,255.00,0,0
36637,0.00,0.00,255.00,0,0
36668,0.00,0.00,255.00,0,0
36699,0.00,0.00,255.00,0,0
36729,0.00,0.00,255.00,0,0
36760,0.00,0.00,255.00,0,0
36791,0.00,0.00,255.00,0,0
36822,0.00,0.00,255.00,0,0
36853,0.00,0.00,255.00,0,0
36883,0.00,0.00,255.00,0,0
36914,0.00,0.00,255.00,0,0
36945,0.00,0.00,255.00,0,0
36976,0.00,0.00,255.00,0,0
37007,0.00,0.00,255.00,0,0
37037,0.00,0.00,255.00,0,0,0
37068,0.00,0.00,255.00,0,0
37099,0.00,0.00,255.00,0,0,0
37130,0.00,0.00,255.00,0,0
37161,0.00,0.00,255.00,0,0
37191,0.00,0.00,255.00,0,0
37222,0.00,0.00,255.00,0,0
37253,0.00,0.00,255.00,0,0
37284,0.00,0.00,255.00,0,0
37314,0.00,0.00,255.00,0,0
37345,0.00,0.00,255.00,0,0
37376,0.00,0.00,255.00,0,0
37407,0.00,0.00,255.00,0,0
37438,0.00,0.00,255.00,0,0
37468,0.00,0.00,255.00,0,0
37499,0.00,0.00,255.00,0,0
37530,0.00,0.00,255.00,0,0
37561,0.00,0.00,255.00,0,0,0
37591,0.00,0.00,255.00,0,0
37622,0.00,0.00,255.00,0,0,0
37653,0.00,0.00,255.00,0,0
37684,0.00,0.00,255.00,0,0
37715,0.00,0.00,255.00,0,0
37745,0.00,0.00,255.00,0,0
37776,0.00,0.00,255.00,0,0
37807,0.00,0.00,255.00,0,0
37838,0.00,0.00,255.00,0,0
37869,0.00,0.00,255.00,0,0
37899,0.00,0.00,255.00,0,0
37930,0.00,0.00,255.00,0,0
37961,0.00,0.00,255.00,0,0
37992,0.00,0.00,255.00,0,0
38023,0.00,0.00,255.00,0,0
38053,0.00,0.00,255.00,0,0
38084,0.00,0.00,255.00,0,0,0
38115,0.00,0.00,255.00,0,0
38146,0.00,0.00,255.00,0,0,0
38177,0.00,0.00,255.00,0,0
38207,0.00,0.00,255.00,0,0,0
38238,0.00,0.00,255.00,0,0
38269,0.00,0.00,255.00,0,0
38300,0.00,0.00,255.00,0,0
38330,0.00,0.00,255.00,0,0
38361,0.00,0.00,255.00,0,0
38392,0.00,0.00,255.00,0,0
38423,0.00,0.00,255.00,0,0
38454,0.00,0.00,255.00,0,0
38484,0.00,0.00,255.00,0,0
38515,0.00,0.00,255.00,0,0
38546,0.00,0.00,255.00,0,0
38577,0.00,0.00,255.00,0,0
38608,0.00,0.00,255.00,0,0,0
38638,0.00,0.00,255.00,0,0
38669,0.00,0.00,255.00,0,0,0
38700,0.00,0.00,255.00,0,0
38731,0.00,0.00,255.00,0,0,0
38762,0.00,0.00,255.00,0,0
38792,0.00,0.00,255.00,0,0
38823,0.00,0.00,255.00,0,0
38854,0.00,0.00,255.00,0,0
38885,0.00,0.00,255.00,0,0
38915,0.00,0.00,255.00,0,0
38946,0.00,0.00,255.00,0,0
38977,0.00,0.00,255.00,0,0
39008,0.00,0.00,255.00,0,0
39039,0.00,0.00,255.00,0,0
39069,0.00,0.00,255.00,0,0
39100,0.00,0.00,255.00,0,0
39131,0.00,0.00,255.00,0,0
39162,0.00,0.00,255.00,0,0
39193,0.00,0.00,255.00,0,0,0
39223,0.00,0.00,255.00,0,0
39254,0.00,0.00,255.00,0,0,0
39285,0.00,0.00,255.00,0,0
39316,0.00,0.00,255.00,0,0
39347,0.00,0.00,255.00,0,0
39377,0.00,0.00,255.00,0,0
39408,0.00,0.00,255.00,0,0
39439,0.00,0.00,255.00,0,0
39470,0.00,0.00,255.00,0,0
39501,0.00,0.00,255.00,0,0
39531,0.00,0.00,255.00,0,0
39562,0.00,0.00,255.00,0,0
39593,0.00,0.00,255.00,0,0
39624,0.00,0.00,255.00,0,0
39654,0.00,0.00,255.00,0,0
39685,0.00,0.00,255.00,0,0
39716,0.00,0.00,255.00,0,0,0
39747,0.00,0.00,255.00,0,0
39778,0.00,0.00,255.00,0,0,0
39808,0.00,0.00,255.00,0,0
39839,0.00,0.00,255.00,0,0
39870,0.00,0.00,255.00,0,0
39901,0.00,0.00,255.00,0,0
39932,0.00,0.00,255.00,0,0
39962,0.00,0.00,255.00,0,0
39993,0.00,0.00,255.00,0,0
40024,0.00,0.00,255.00,0,0
40055,0.00,0.00,255.00,0,0
40086,0.00,0.00,255.00,0,0
40116,0.00,0.00,255.00,0,0
40147,0.00,0.00,255.00,0,0
40178,0.00,0.00,255.00,0,0
40209,0.00,0.00,255.00,0,0
40239,0.00,0.00,255.00,0,0,0
40270,0.00,0.00,255.00,0,0
40301,0.00,0.00,255.00,0,0,0
40332,0.00,0.00,255.00,0,0
40363,0.00,0.00,255.00,0,0,0
40393,0.00,0.00,255.00,0,0
40424,0.00,0.00,255.00,0,0
40455,0.00,0.00,255.00,0,0
40486,0.00,0.00,255.00,0,0
40517,0.00,0.00,255.00,0,0
40547,0.00,0.00,255.00,0,0
40578,0.00,0.00,255.00,0,0
40609,0.00,0.00,255.00,0,0
40640,0.00,0.00,255.00,0,0
40670,0.00,0.00,255.00,0,0
40701,0.00,0.00,255.00,0,0
40732,0.00,0.00,255.00,0,0
40763,0.00,0.00,255.00,0,0,0
40794,0.00,0.00,255.00,0,0
40824,0.00,0.00,255.00,0,0,0
40855,0.00,0.00,255.00,0,0
40886,0.00,0.00,255.00,0,0,0
40917,0.00,0.00,255.00,0,0
40948,0.00,0.00,255.00,0,0,0
40978,0.00,0.00,255.00,0,0
41009,0.00,0.00,255.00,0,0
41040,0.00,0.00,255.00,0,0
41071,0.00,0.00,255.00,0,0
41102,0.00,0.00,255.00,0,0
41132,0.00,0.00,255.00,0,0
41163,0.00,0.00,255.00,0,0
41194,0.00,0.00,255.00,0,0
41225,0.00,0.00,255.00,0,0
41255,0.00,0.00,255.00,0,0
41286,0.00,0.00,255.00,0,0
41317,0.00,0.00,255.00,0,0
41348,0.00,0.00,255.00,0,0,0
41379,0.00,0.00,255.00,0,0
41409,0.00,0.00,255.00,0,0,0
41440,0.00,0.00,255.00,0,0
41471,0.00,0.00,255.00,0,0
41502,0.00,0.00,255.00,0,0
41533,0.00,0.00,255.00,0,0
41563,0.00,0.00,255.00,0,0
41594,0.00,0.00,255.00,0,0
41625,0.00,0.00,255.00,0,0
41656,0.00,0.00,255.00,0,0
41687,0.00,0.00,255.00,0,0
41717,0.00,0.00,255.00,0,0
41748,0.00,0.00,255.00,0,0
41779,0.00,0.00,255.00,0,0
41810,0.00,0.00,255.00,0,0
41841,0.00,0.00,255.00,0,0
41871,0.00,0.00,255.00,0,0,0
41902,0.00,0.00,255.00,0,0
41933,0.00,0.00,255.00,0,0,0
41964,0.00,0.00,255.00,0,0
41994,0.00,0.00,255.00,0,0
42025,0.00,0.00,255.00,0,0
42056,0.00,0.00,255.00,0,0
42087,0.00,0.00,255.00,0,0
42118,0.00,0.00,255.00,0,0
42148,0.00,0.00,255.00,0,0
42179,0.00,0.00,255.00,0,0
42210,0.00,0.00,255.00,0,0
42241,0.00,0.00,255.00,0,0
42271,0.00,0.00,255.00,0,0
42302,0.00,0.00,255.00,0,0
42333,0.00,0.00,255.00,0,0
42364,0.00,0.00,255.00,0,0
42395,0.00,0.00,255.00,0,0,0
42426,0.00,0.00,255.00,0,0
42456,0.00,0.00,255.00,0,0,0
42487,0.00,0.00,255.00,0,0
42518,0.00,0.00,255.00,0,0,0
42549,0.00,0.00,255.00,0,0
42579,0.00,0.00,255.00,0,0
42610,0.00,0.00,255.00,0,0
42641,0.00,0.00,255.00,0,0
42672,0.00,0.00,255.00,0,0
42703,0.00,0.00,255.00,0,0
42733,0.00,0.00,255.00,0,0
42764,0.00,0.00,255.00,0,0
42795,0.00,0.00,255.00,0,0
42826,0.00,0.00,255.00,0,0
42856,0.00,0.00,255.00,0,0
42887,0.00,0.00,255.00,0,0
42918,0.00,0.00,255.00,0,0
42949,0.00,0.00,255.00,0,0
42980,0.00,0.00,255.00,0,0,0
43010,0.00,0.00,255.00,0,0
43041,0.00,0.00,255.00,0,0,0
43072,0.00,0.00,255.00,0,0
43103,0.00,0.00,255.00,0,0
43134,0.00,0.00,255.00,0,0
43164,0.00,0.00,255.00,0,0
43195,0.00,0.00,255.00,0,0
43226,0.00,0.00,255.00,0,0
43257,0.00,0.00,255.00,0,0
43288,0.00,0.00,255.00,0,0
43318,0.00,0.00,255.00,0,0
43349,0.00,0.00,255.00,0,0
43380,0.00,0.00,255.00,0,0
43411,0.00,0.00,255.00,0,0
43442,0.00,0.00,255.00,0,0
43472,0.00,0.00,255.00,0,0
43503,0.00,0.00,255.00,0,0,0
43534,0.00,0.00,255.00,0,0
43565,0.00,0.00,255.00,0,0,0
43595,0.00,0.00,255.00,0,0
43626,0.00,0.00,255.00,0,0
43657,0.00,0.00,255.00,0,0
43688,0.00,0.00,255.00,0,0
43719,0.00,0.00,255.00,0,0
43749,0.00,0.00,255.00,0,0
43780,0.00,0.00,255.00,0,0
43811,0.00,0.00,255.00,0,0
43842,0.00,0.00,255.00,0,0
43873,0.00,0.00,255.00,0,0
43903,0.00,0.00,255.00,0,0
43934,0.00,0.00,255.00,0,0
43965,0.00,0.00,255.00,0,0
43996,0.00,0.00,255.00,0,0
44027,0.00,0.00,255.00,0,0,0
44057,0.00,0.00,255.00,0,0
44088,0.00,0.00,255.00,0,0,0
44119,0.00,0.00,255.00,0,0
44150,0.00,0.00,255.00,0,0
44180,0.00,0.00,255.00,0,0
44211,0.00,0.00,255.00,0,0
44242,0.00,0.00,255.00,0,0
44273,0.00,0.00,255.00,0,0
44304,0.00,0.00,255.00,0,0
44334,0.00,0.00,255.00,0,0
44365,0.00,0.00,255.00,0,0
44396,0.00,0.00,255.00,0,0
44427,0.00,0.00,255.00,0,0
44458,0.00,0.00,255.00,0,0
44488,0.00,0.00,255.00,0,0
44519,0.00,0.00,255.00,0,0
44550,0.00,0.00,255.00,0,0,0
44581,0.00,0.00,255.00,0,0
44612,0.00,0.00,255.00,0,0,0
44642,0.00,0.00,255.00,0,0
44673,0.00,0.00,255.00,0,0
44704,0.00,0.00,255.00,0,0
44735,0.00,0.00,255.00,0,0
44765,0.00,0.00,255.00,0,0
44796,0.00,0.00,255.00,0,0
44827,0.00,0.00,255.00,0,0
44858,0.00,0.00,255.00,0,0
44889,0.00,0.00,255.00,0,0
44919,0.00,0.00,255.00,0,0
44950,0.00,0.00,255.00,0,0
44981,0.00,0.00,255.00,0,0
45012,0.00,0.00,255.00,0,0
45043,0.00,0.00,255.00,0,0
45073,0.00,0.00,255.00,0,0
45104,0.00,0.00,255.00,0,0
45135,0.00,0.00,255.00,0,0,0
45166,0.00,0.00,255.00,0,0
45196,0.00,0.00,255.00,0,0,0
45227,0.00,0.00,255.00,0,0
45258,0.00,0.00,255.00,0,0
45289,0.00,0.00,255.00,0,0
45320,0.00,0.00,255.00,0,0
45350,0.00,0.00,255.00,0,0
45381,0.00,0.00,255.00,0,0
45412,0.00,0.00,255.00,0,0
45443,0.00,0.00,255.00,0,0
45474,0.00,0.00,255.00,0,0
45504,0.00,0.00,255.00,0,0
45535,0.00,0.00,255.00,0,0
45566,0.00,0.00,255.00,0,0
45597,0.00,0.00,255.00,0,0
45628,0.00,0.00,255.00,0,0
45658,0.00,0.00,255.00,0,0,0
45689,0.00,0.00,255.00,0,0
45720,0.00,0.00,255.00,0,0,0
45751,0.00,0.00,255.00,0,0
45781,0.00,0.00,255.00,0,0
45812,0.00,0.00,255.00,0,0
45843,0.00,0.00,255.00,0,0
45874,0.00,0.00,255.00,0,0
45905,0.00,0.00,255.00,0,0
45935,0.00,0.00,255.00,0,0
45966,0.00,0.00,255.00,0,0
45997,0.00,0.00,255.00,0,0
46028,0.00,0.00,255.00,0,0
46059,0.00,0.00,255.00,0,0
46089,0.00,0.00,255.00,0,0
46120,0.00,0.00,255.00,0,0
46151,0.00,0.00,255.00,0,0
46182,0.00,0.00,255.00,0,0,0
46213,0.00,0.00,255.00,0,0
46243,0.00,0.00,255.00,0,0,0
46274,0.00,0.00,255.00,0,0
46305,0.00,0.00,255.00,0,0
46336,0.00,0.00,255.00,0,0
46367,0.00,0.00,255.00,0,0
46397,0.00,0.00,255.00,0,0
46428,0.00,0.00,255.00,0,0
46459,0.00,0.00,255.00,0,0
46490,0.00,0.00,255.00,0,0
46520,0.00,0.00,255.00,0,0
46551,0.00,0.00,255.00,0,0
46582,0.00,0.00,255.00,0,0
46613,0.00,0.00,255.00,0,0
46644,0.00,0.00,255.00,0,0
46674,0.00,0.00,255.00,0,0
46705,0.00,0.00,255.00,0,0,0
46736,0.00,0.00,255.00,0,0
46767,0.00,0.00,255.00,0,0,0
46798,0.00,0.00,255.00,0,0
46828,0.00,0.00,255.00,0,0
46859,0.00,0.00,255.00,0,0
46890,0.00,0.00,255.00,0,0
46921,0.00,0.00,255.00,0,0
46952,0.00,0.00,255.00,0,0
46982,0.00,0.00,255.00,0,0
47013,0.00,0.00,255.00,0,0
47044,0.00,0.00,255.00,0,0
47075,0.00,0.00,255.00,0,0
47106,0.00,0.00,255.00,0,0
47136,0.00,0.00,255.00,0,0
47167,0.00,0.00,255.00,0,0
47198,0.00,0.00,255.00,0,0
47229,0.00,0.00,255.00,0,0,0
47259,0.00,0.00,255.00,0,0
47290,0.00,0.00,255.00,0,0,0
47321,0.00,0.00,255.00,0,0
47352,0.00,0.00,255.00,0,0,0
47383,0.00,0.00,255.00,0,0
47413,0.00,0.00,255.00,0,0
47444,0.00,0.00,255.00,0,0
47475,0.00,0.00,255.00,0,0
47506,0.00,0.00,255.00,0,0
47537,0.00,0.00,255.00,0,0
47567,0.00,0.00,255.00,0,0
47598,0.00,0.00,255.00,0,0
47629,0.00,0.00,255.00,0,0
47660,0.00,0.00,255.00,0,0
47691,0.00,0.00,255.00,0,0
47721,0.00,0.00,255.00,0,0
47752,0.00,0.00,255.00,0,0
47783,0.00,0.00,255.00,0,0
47814,0.00,0.00,255.00,0,0,0
47844,0.00,0.00,255.00,0,0
47875,0.00,0.00,255.00,0,0,0
