time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
255,275.71,275.21,255.00,0
255,266.55,265.03,255.00,0
255,255.95,255.02,255.00,0
255,251.43,251.29,255.00,0
255,251.91,252.14,255.00,0
255,253.92,254.15,255.00,0
255,255.29,255.38,255.00,0
255,255.61,255.60,255.00,0
255,255.36,255.31,255.00,0
255,255.05,255.02,255.00,0
255,254.91,254.91,255.00,0
255,254.91,254.92,255.00,0
255,254.97,254.97,255.00,0
255,255.01,255.01,255.00,0
255,255.02,255.02,255.00,0
255,255.01,255.01,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
26755,8.70,0.00,255.00,413,369
26788,8.70,0.00,255.00,432,389
26821,8.70,0.00,255.00,451,408
26855,8.70,0.00,255.00,471,428
26888,8.70,0.00,255.00,490,446
26921,8.70,0.00,255.00,509,467
26955,8.70,0.00,255.00,528,483
26988,8.70,0.00,255.00,548,502
27021,8.70,0.00,255.00,567,522
27055,8.70,0.00,255.00,586,541
27088,8.70,0.00,255.00,605,564
27121,8.70,0.00,255.00,624,581
27155,8.70,0.00,255.00,644,600
27188,8.70,0.00,255.00,663,621
27221,8.70,0.00,255.00,682,638
27255,8.70,0.00,255.00,701,656
27288,8.70,0.00,255.00,720,676
27321,8.70,0.00,255.00,740,695
27355,8.70,0.00,255.00,759,716
27388,8.70,0.00,255.00,778,733
27421,8.70,0.00,255.00,797,753
27455,8.70,0.00,255.00,816,773
27488,8.70,0.00,255.00,836,792
27521,8.70,0.00,255.00,855,809
27555,8.70,0.00,255.00,874,831
27588,8.70,0.00,255.00,893,848
27621,8.70,0.00,255.00,912,868
27655,8.70,0.00,255.00,932,890
27688,8.70,0.00,255.00,951,908,0
27721,8.70,0.00,255.00,970,924
27755,8.70,0.00,255.00,989,946
27788,8.70,0.00,255.00,1008,965
27821,8.70,0.00,255.00,1028,985
27857,8.70,0.00,255.00,1047,1006
27892,8.70,0.00,255.00,1066,1024
27928,8.70,0.00,255.00,1085,1045,0
27963,8.70,0.00,255.00,1104,1064
