time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
255,275.71,275.21,255.00,0
255,266.55,265.03,255.00,0
255,255.95,255.02,255.00,0
255,251.43,251.29,255.00,0
255,251.91,252.14,255.00,0
255,253.92,254.15,255.00,0
255,255.29,255.38,255.00,0
255,255.61,255.60,255.00,0
255,255.36,255.31,255.00,0
255,255.05,255.02,255.00,0
255,254.91,254.91,255.00,0
255,254.91,254.92,255.00,0
255,254.97,254.97,255.00,0
255,255.01,255.01,255.00,0
255,255.02,255.02,255.00,0
255,255.01,255.01,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
18528,0.00,0.00,255.00,0,5
18558,0.00,0.00,255.00,0,5
18589,0.00,0.00,255.00,0,5
18620,0.00,0.00,255.00,0,5,0
18651,0.00,0.00,255.00,0,6
18681,0.00,0.00,255.00,0,6,0
18712,0.00,0.00,255.00,0,5
18743,0.00,0.00,255.00,0,6
18774,0.00,0.00,255.00,0,6
18805,0.00,0.00,255.00,0,5
18835,0.00,0.00,255.00,0,5
18866,0.00,0.00,255.00,0,5
18897,0.00,0.00,255.00,0,5
18928,0.00,0.00,255.00,0,5
18959,0.00,0.00,255.00,0,6
18989,0.00,0.00,255.00,0,5
19020,0.00,0.00,255.00,0,6
19051,0.00,0.00,255.00,0,5
19082,0.00,0.00,255.00,0,5
19112,0.00,0.00,255.00,0,6
19143,0.00,0.00,255.00,0,5,0
19174,0.00,0.00,255.00,0,6
19205,0.00,0.00,255.00,0,6,0
19236,0.00,0.00,255.00,0,6
19266,0.00,0.00,255.00,0,5
19297,0.00,0.00,255.00,0,5
19328,0.00,0.00,255.00,0,5
19359,0.00,0.00,255.00,0,5
19390,0.00,0.00,255.00,0,5
19420,0.00,0.00,255.00,0,6
19451,0.00,0.00,255.00,0,5
19482,0.00,0.00,255.00,0,6
19513,0.00,0.00,255.00,0,6
19544,0.00,0.00,255.00,0,6
19574,0.00,0.00,255.00,0,5
19605,0.00,0.00,255.00,0,5
19636,0.00,0.00,255.00,0,6
19667,0.00,0.00,255.00,0,5,0
19697,0.00,0.00,255.00,0,5
19728,0.00,0.00,255.00,0,5,0
19759,0.00,0.00,255.00,0,6
19790,0.00,0.00,255.00,0,5
19821,0.00,0.00,255.00,0,6
19851,0.00,0.00,255.00,0,5
19882,0.00,0.00,255.00,0,6
19913,0.00,0.00,255.00,0,5
19944,0.00,0.00,255.00,0,5
19975,0.00,0.00,255.00,0,6
20005,0.00,0.00,255.00,0,5
20036,0.00,0.00,255.00,0,5
20067,0.00,0.00,255.00,0,6
20098,0.00,0.00,255.00,0,5
20129,0.00,0.00,255.00,0,5
20159,0.00,0.00,255.00,0,6
20190,0.00,0.00,255.00,0,6,0
20221,0.00,0.00,255.00,0,5
20252,0.00,0.00,255.00,0,5,0
20282,0.00,0.00,255.00,0,5
20313,0.00,0.00,255.00,0,6,0
20344,0.00,0.00,255.00,0,5
20375,0.00,0.00,255.00,0,5
20406,0.00,0.00,255.00,0,5
20436,0.00,0.00,255.00,0,6
20467,0.00,0.00,255.00,0,5
20498,0.00,0.00,255.00,0,5
20529,0.00,0.00,255.00,0,5
20560,0.00,0.00,255.00,0,6
20590,0.00,0.00,255.00,0,5
20621,0.00,0.00,255.00,0,6
20652,0.00,0.00,255.00,0,6
20683,0.00,0.00,255.00,0,5
20713,0.00,0.00,255.00,0,5
20744,0.00,0.00,255.00,0,6
20775,0.00,0.00,255.00,0,6,0
20806,0.00,0.00,255.00,0,5
20837,0.00,0.00,255.00,0,5,0
20867,0.00,0.00,255.00,0,5
20898,0.00,0.00,255.00,0,5
20929,0.00,0.00,255.00,0,5
20960,0.00,0.00,255.00,0,5
20991,0.00,0.00,255.00,0,6
21021,0.00,0.00,255.00,0,5
21052,0.00,0.00,255.00,0,5
21083,0.00,0.00,255.00,0,5
21114,0.00,0.00,255.00,0,6
21144,0.00,0.00,255.00,0,5
21175,0.00,0.00,255.00,0,6
21206,0.00,0.00,255.00,0,5
21237,0.00,0.00,255.00,0,5
21268,0.00,0.00,255.00,0,6
21298,0.00,0.00,255.00,0,6,0
21329,0.00,0.00,255.00,0,5
21360,0.00,0.00,255.00,0,6,0
21391,0.00,0.00,255.00,0,5
21422,0.00,0.00,255.00,0,5
21452,0.00,0.00,255.00,0,5
21483,0.00,0.00,255.00,0,6
21514,0.00,0.00,255.00,0,5
21545,0.00,0.00,255.00,0,5
21576,0.00,0.00,255.00,0,5
21606,0.00,0.00,255.00,0,5
21637,0.00,0.00,255.00,0,6
21668,0.00,0.00,255.00,0,6
21699,0.00,0.00,255.00,0,5
21729,0.00,0.00,255.00,0,5
21760,0.00,0.00,255.00,0,5
