time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
255,275.71,275.21,255.00,0
255,266.55,265.03,255.00,0
255,255.95,255.02,255.00,0
255,251.43,251.29,255.00,0
255,251.91,252.14,255.00,0
255,253.92,254.15,255.00,0
255,255.29,255.38,255.00,0
255,255.61,255.60,255.00,0
255,255.36,255.31,255.00,0
255,255.05,255.02,255.00,0
255,254.91,254.91,255.00,0
255,254.91,254.92,255.00,0
255,254.97,254.97,255.00,0
255,255.01,255.01,255.00,0
255,255.02,255.02,255.00,0
255,255.01,255.01,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
255,255.00,255.00,255.00,0
21082,1.91,0.00,255.00,616,584
21116,1.91,0.00,255.00,632,597
21149,1.91,0.00,255.00,648,615,0
21182,1.91,0.00,255.00,663,627
21216,1.91,0.00,255.00,679,645
21249,1.91,0.00,255.00,694,658
21282,1.91,0.00,255.00,710,675
21316,1.91,0.00,255.00,726,691
21349,1.91,0.00,255.00,741,708
21382,1.91,0.00,255.00,757,718
21416,1.91,0.00,255.00,772,732
21449,1.91,0.00,255.00,788,750
21482,1.91,0.00,255.00,804,763
21516,1.91,0.00,255.00,819,782
21549,1.91,0.00,255.00,835,801
21582,1.91,0.00,255.00,850,814
21616,1.91,0.00,255.00,866,831
21649,1.91,0.00,255.00,882,846
21682,1.91,0.00,255.00,897,858
21716,1.91,0.00,255.00,913,872
21749,1.91,0.00,255.00,928,888
21782,1.91,0.00,255.00,944,907
21816,1.91,0.00,255.00,960,922
21849,1.91,0.00,255.00,975,942
21882,1.91,0.00,255.00,991,957
21916,1.91,0.00,255.00,1006,971
21949,1.91,0.00,255.00,1022,986
21984,1.91,0.00,255.00,1038,1005
22020,1.91,0.00,255.00,1053,1020
22055,1.91,0.00,255.00,1069,1037
22091,1.91,0.00,255.00,1085,1046
22126,1.91,0.00,255.00,1100,1059
22162,1.91,0.00,255.00,1116,1076
22197,1.91,0.00,255.00,1131,1095
22232,1.91,0.00,255.00,1147,1114
22268,1.91,0.00,255.00,1163,1130
22303,1.91,0.00,255.00,1178,1138
22339,1.91,0.00,255.00,1194,1154
22374,1.91,0.00,255.00,1209,1168
22409,1.91,0.00,255.00,1225,1188
22445,1.91,0.00,255.00,1241,1206
22480,1.91,0.00,255.00,1256,1224
22516,1.91,0.00,255.00,1272,1241
22551,1.91,0.00,255.00,1287,1256
22587,1.91,0.00,255.00,1303,1272
22622,1.91,0.00,255.00,1319,1284
22657,1.91,0.00,255.00,1334,1302
22693,1.91,0.00,255.00,1350,1305
22728,1.91,0.00,255.00,1365,1323
22764,1.91,0.00,255.00,1381,1341
22799,1.91,0.00,255.00,1397,1363,0
22834,1.91,0.00,255.00,1412,1369
22870,1.91,0.00,255.00,1428,1385
22905,1.91,0.00,255.00,1443,1404
22941,1.91,0.00,255.00,1459,1424
22976,1.91,0.00,255.00,1475,1441
23012,1.91,0.00,255.00,1490,1459
23047,1.91,0.00,255.00,1506,1463
23082,1.91,0.00,255.00,1521,1475
23118,1.91,0.00,255.00,1537,1495
23153,1.91,0.00,255.00,1553,1515
23189,1.91,0.00,255.00,1568,1534
23224,1.91,0.00,255.00,1584,1549
23259,1.91,0.00,255.00,1599,1566
23295,1.91,0.00,255.00,1615,1568
23330,1.91,0.00,255.00,1631,1581
23366,1.91,0.00,255.00,1646,1605
