time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.56,30.57,253.00,0
252,110.67,123.70,252.00,0
252,206.45,215.94,252.00,0
249,260.77,264.19,252.00,0
251,272.08,271.50,251.00,0
251,262.33,260.76,251.00,0
253,251.56,250.64,251.00,0
253,247.47,247.45,252.00,0
250,249.04,249.39,252.00,0
251,251.43,251.62,252.00,0
252,252.33,252.37,252.00,0
251,252.17,252.06,251.00,0
252,251.19,251.08,251.00,0
251,250.69,250.69,251.00,0
254,250.78,250.80,251.00,0
255,251.32,251.44,252.00,0
255,252.38,252.49,252.00,0
251,253.02,253.04,252.00,0
251,252.73,252.63,252.00,0
251,251.72,251.57,252.00,0
254,250.58,250.46,251.00,0
254,250.29,250.40,252.00,0
252,251.61,251.80,252.00,0
248,252.70,252.76,252.00,0
248,252.52,252.42,252.00,0
251,251.45,251.31,252.00,0
252,250.74,250.73,252.00,0
248,250.75,250.71,251.00,0
251,250.13,250.04,251.00,0
252,249.86,249.93,251.00,0
250,250.82,250.93,251.00,0
252,251.39,251.42,251.00,0
252,251.66,251.70,251.00,0
254,251.94,251.97,251.00,0
255,252.10,252.11,251.00,0
255,252.55,252.67,252.00,0
252,253.58,253.68,252.00,0
253,253.72,253.65,252.00,0
255,253.01,252.94,252.00,0
255,252.82,252.85,252.00,0
254,253.12,253.15,253.00,0
254,253.39,253.44,253.00,0
54195,0.00,0.00,253.00,0,4
54226,0.00,0.00,253.00,0,4
54257,0.00,0.00,253.00,0,4
54287,0.00,0.00,253.00,0,6
54318,0.00,0.00,253.00,0,4
54349,0.00,0.00,253.00,0,4
54380,0.00,0.00,253.00,0,4
54411,0.00,0.00,253.00,0,4,0
54442,0.00,0.00,253.00,0,4
54472,0.00,0.00,253.00,0,4,0
54503,0.00,0.00,253.00,0,4
54534,0.00,0.09,254.00,0,4
54565,0.00,0.09,254.00,0,4
54596,0.00,0.09,254.00,0,4
54627,0.00,0.09,254.00,0,4
54658,0.00,0.09,254.00,0,6
54688,0.00,0.09,254.00,0,4
54719,0.00,0.09,254.00,0,4
54750,0.00,0.09,254.00,0,4
54781,0.00,0.09,254.00,0,4
54812,0.00,0.09,254.00,0,4
54843,0.00,0.09,254.00,0,4
54873,0.00,0.09,254.00,0,6,0
54904,0.00,0.09,254.00,0,4
54935,0.00,0.09,254.00,0,6,0
54966,0.00,0.09,254.00,0,4
54997,0.00,0.09,254.00,0,4
55028,0.00,0.09,254.00,0,4
55059,0.00,0.09,254.00,0,4
55089,0.00,0.09,254.00,0,4
55120,0.00,0.09,254.00,0,4
55151,0.00,0.09,254.00,0,4
55182,0.00,0.09,254.00,0,4
55213,0.00,0.09,254.00,0,4
55244,0.00,0.09,254.00,0,4
55275,0.00,0.09,254.00,0,6
55305,0.00,0.09,254.00,0,4
