time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.63,30.65,254.00,0
256,111.37,124.59,255.00,0
256,209.07,218.81,255.00,0
256,264.98,268.54,256.00,0
256,277.33,276.87,256.00,0
256,268.35,266.86,256.00,0
256,257.94,257.02,256.00,0
256,253.33,253.15,256.00,0
256,253.44,253.62,256.00,0
256,255.09,255.28,256.00,0
256,256.34,256.46,256.00,0
256,256.96,256.98,256.00,0
256,256.88,256.85,256.00,0
256,256.58,256.56,257.00,0
256,256.54,256.54,257.00,0
256,256.46,256.44,256.00,0
256,256.25,256.23,256.00,0
258,256.15,256.17,256.00,0
256,256.56,256.65,257.00,0
256,257.12,257.15,257.00,0
257,257.12,257.09,257.00,0
256,256.96,256.97,257.00,0
257,256.98,256.96,257.00,0
255,256.75,256.70,257.00,0
258,256.24,256.19,257.00,0
256,256.25,256.30,257.00,0
256,256.62,256.64,257.00,0
254,256.65,256.63,257.00,0
257,256.22,256.15,257.00,0
258,256.00,256.02,257.00,0
258,256.50,256.61,257.00,0
258,257.30,257.37,257.00,0
256,257.58,257.57,257.00,0
256,257.20,257.12,257.00,0
256,256.52,256.44,257.00,0
258,256.02,255.99,257.00,0
257,256.10,256.16,257.00,0
258,256.75,256.84,257.00,0
258,257.39,257.46,257.00,0
258,257.80,257.81,257.00,0
258,257.68,257.64,257.00,0
256,257.30,257.24,257.00,0
22197,0.00,0.00,257.00,0,5
22228,0.00,0.00,257.00,0,5
22258,0.00,0.00,257.00,0,5
22289,0.00,0.00,257.00,0,5
22320,0.00,0.00,257.00,0,5
22351,0.00,0.00,257.00,0,5
22382,0.00,0.00,257.00,0,5
22412,0.00,0.00,257.00,0,6
22443,0.00,0.00,257.00,0,5
22474,0.00,0.00,257.00,0,6,0
22505,0.00,0.00,257.00,0,6
22535,0.00,0.00,257.00,0,5
22566,0.00,0.00,257.00,0,5
22597,0.00,0.00,257.00,0,6,0
22628,0.00,0.00,257.00,0,5
22659,0.00,0.00,257.00,0,5
22689,0.00,0.00,257.00,0,5
22720,0.00,0.00,257.00,0,5
22751,0.00,0.00,257.00,0,5
22782,0.00,0.00,257.00,0,5
22813,0.00,0.00,257.00,0,5
22843,0.00,0.00,257.00,0,5
22874,0.00,0.00,257.00,0,5
22905,0.00,0.00,257.00,0,5
22936,0.00,0.00,257.00,0,5
22966,0.00,0.00,257.00,0,5
22997,0.00,0.00,257.00,0,5
23028,0.00,0.00,257.00,0,5
23059,0.00,0.00,257.00,0,5,0
23090,0.00,0.00,257.00,0,5
23120,0.00,0.00,257.00,0,5,0
23151,0.00,0.00,257.00,0,5
23182,0.00,0.00,257.00,0,5
23213,0.00,0.00,257.00,0,5
23244,0.00,0.00,257.00,0,5
23275,0.00,0.00,257.00,0,5
23306,0.00,0.00,257.00,0,5
23336,0.00,0.00,257.00,0,5
23367,0.00,0.00,257.00,0,5
23398,0.00,0.00,257.00,0,5
23429,0.00,0.00,257.00,0,5
23460,0.00,0.00,257.00,0,5
23491,0.00,0.00,257.00,0,5
23521,0.00,0.00,257.00,0,5,0
23552,0.00,0.00,257.00,0,5
23583,0.00,0.00,257.00,0,5,0
23614,0.00,0.00,257.00,0,5
23645,0.00,0.00,257.00,0,5
23676,0.00,0.00,257.00,0,5
23707,0.00,0.00,257.00,0,5
23737,0.00,0.00,257.00,0,5
23768,0.00,0.00,257.00,0,5
23799,0.00,0.00,257.00,0,6
23830,0.00,0.00,257.00,0,5
23861,0.00,0.00,257.00,0,5
23892,0.00,0.00,257.00,0,5
23922,0.00,0.00,257.00,0,5
23953,0.00,0.00,257.00,0,3
23984,0.00,0.00,257.00,0,5
24015,0.00,0.00,257.00,0,5
24046,0.00,0.00,257.00,0,5,0
24077,0.00,0.09,258.00,0,6
24108,0.00,0.09,258.00,0,5,0
24138,0.00,0.09,258.00,0,5
24169,0.00,0.09,258.00,0,5
24200,0.00,0.09,258.00,0,5
24231,0.00,0.09,258.00,0,5
24262,0.00,0.09,258.00,0,5
24293,0.00,0.09,258.00,0,5
24323,0.00,0.09,258.00,0,5
24354,0.00,0.09,258.00,0,5
24385,0.00,0.09,258.00,0,5
24416,0.00,0.09,258.00,0,6
24447,0.00,0.09,258.00,0,5
24478,0.00,0.09,258.00,0,5
24509,0.00,0.09,258.00,0,5,0
24539,0.00,0.09,258.00,0,5
24570,0.00,0.09,258.00,0,6,0
24601,0.00,0.09,258.00,0,5
24632,0.00,0.09,258.00,0,5
24663,0.00,0.09,258.00,0,5
24694,0.00,0.09,258.00,0,5
24724,0.00,0.09,258.00,0,5
24755,0.00,0.09,258.00,0,5
24786,0.00,0.09,258.00,0,5
24817,0.00,0.09,258.00,0,5
24848,0.00,0.09,258.00,0,5
24879,0.00,0.09,258.00,0,3
24910,0.00,0.09,258.00,0,5
24940,0.00,0.09,258.00,0,5
24971,0.00,0.09,258.00,0,5
25002,0.00,0.09,258.00,0,5
25033,0.00,0.09,258.00,0,5
25064,0.00,0.09,258.00,0,5
25095,0.00,0.09,258.00,0,6,0
25125,0.00,0.09,258.00,0,5
25156,0.00,0.09,258.00,0,5
25187,0.00,0.09,258.00,0,5
25218,0.00,0.09,258.00,0,5
25249,0.00,0.09,258.00,0,5
25280,0.00,0.09,258.00,0,5
25311,0.00,0.09,258.00,0,5
25341,0.00,0.09,258.00,0,6
25372,0.00,0.09,258.00,0,5
25403,0.00,0.09,258.00,0,5
25434,0.00,0.09,258.00,0,5
25465,0.00,0.09,258.00,0,5
25496,0.00,0.09,258.00,0,5,0
25526,0.00,0.09,258.00,0,5
25557,0.00,0.00,257.00,0,5,0
25588,0.00,0.00,257.00,0,5
25619,0.00,0.00,257.00,0,5
25650,0.00,0.00,257.00,0,5
25681,0.00,0.00,257.00,0,5
25712,0.00,0.00,257.00,0,5
25742,0.00,0.00,257.00,0,5
25773,0.00,0.00,257.00,0,5
25804,0.00,0.00,257.00,0,5
25835,0.00,0.00,257.00,0,5
25866,0.00,0.00,257.00,0,5
25897,0.00,0.00,257.00,0,5
25928,0.00,0.00,257.00,0,5
25958,0.00,0.00,257.00,0,5,0
25989,0.00,0.00,257.00,0,5
26020,0.00,0.00,257.00,0,5,0
26051,0.00,0.00,257.00,0,5
26082,0.00,0.00,257.00,0,5,0
26113,0.00,0.00,257.00,0,5
26143,0.00,0.00,257.00,0,5
26174,0.00,0.00,257.00,0,5
26205,0.00,0.00,257.00,0,5
26236,0.00,0.00,257.00,0,5
26267,0.00,0.00,257.00,0,5
26298,0.00,0.00,257.00,0,5
26329,0.00,0.00,257.00,0,5
26359,0.00,0.00,257.00,0,5
26390,0.00,0.00,257.00,0,5
26421,0.00,0.00,257.00,0,5
26452,0.00,0.00,257.00,0,5
26483,0.00,0.00,257.00,0,5,0
26514,0.00,0.00,257.00,0,5
26544,0.00,0.00,257.00,0,5,0
26575,0.00,0.00,257.00,0,5
26606,0.00,0.00,257.00,0,5
26637,0.00,0.00,257.00,0,5
26668,0.00,0.00,257.00,0,5
26699,0.00,0.00,257.00,0,6
26730,0.00,0.00,257.00,0,5
26760,0.00,0.00,257.00,0,5
26791,0.00,0.00,257.00,0,5
26822,0.00,0.00,257.00,0,5
26853,0.00,0.00,257.00,0,5
26884,0.00,0.00,257.00,0,5
26915,0.00,0.00,257.00,0,5
26945,0.00,0.00,257.00,0,5,0
26976,0.00,0.00,257.00,0,6
27007,0.00,0.00,257.00,0,5,0
27038,0.00,0.00,257.00,0,5
27069,0.00,0.00,257.00,0,5,0
27100,0.00,0.00,257.00,0,5
27131,0.00,0.00,257.00,0,5
27161,0.00,0.00,257.00,0,5
27192,0.00,0.00,257.00,0,5
27223,0.00,0.00,257.00,0,5
27254,0.00,0.00,257.00,0,5
27285,0.00,0.00,257.00,0,5
27316,0.00,0.00,257.00,0,5
27347,0.00,0.00,257.00,0,5
27377,0.00,0.00,257.00,0,5
27408,0.00,0.00,257.00,0,5
27439,0.00,0.00,257.00,0,6
27470,0.00,0.00,257.00,0,5,0
27501,0.00,0.00,257.00,0,5
27532,0.00,0.00,257.00,0,6,0
27562,0.00,0.00,257.00,0,5
27593,0.00,0.00,257.00,0,5
27624,0.00,0.00,257.00,0,5
27655,0.00,0.00,257.00,0,5
27686,0.00,0.00,257.00,0,5
27717,0.00,0.00,257.00,0,5
27748,0.00,0.00,257.00,0,5
27778,0.00,0.00,257.00,0,5
27809,0.00,0.00,257.00,0,5
27840,0.00,0.00,257.00,0,5
