time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
255,111.62,124.79,255.00,0
255,208.63,218.27,255.00,0
255,263.87,267.36,255.00,0
252,275.70,275.18,255.00,0
252,266.09,264.48,254.00,0
252,254.68,253.64,254.00,0
255,249.34,249.11,254.00,0
255,249.62,249.91,254.00,0
255,252.35,252.66,254.00,0
255,254.29,254.44,254.00,0
252,255.06,255.08,254.00,0
253,254.65,254.56,254.00,0
255,253.95,253.89,254.00,0
252,253.79,253.80,254.00,0
252,253.68,253.63,254.00,0
252,253.04,252.94,253.00,0
253,252.36,252.32,253.00,0
255,252.37,252.44,254.00,0
255,253.20,253.32,254.00,0
255,254.09,254.18,254.00,0
252,254.70,254.74,254.00,0
252,254.48,254.38,254.00,0
254,253.62,253.51,253.00,0
255,253.08,253.08,254.00,0
255,253.36,253.40,254.00,0
255,253.76,253.82,254.00,0
255,254.32,254.38,254.00,0
255,254.54,254.52,254.00,0
252,254.20,254.15,254.00,0
255,253.84,253.83,254.00,0
255,253.95,254.00,254.00,0
253,254.44,254.50,254.00,0
255,254.64,254.61,254.00,0
255,254.32,254.29,254.00,0
252,254.09,254.03,254.00,0
252,253.41,253.30,254.00,0
252,252.67,252.61,254.00,0
255,252.46,252.49,254.00,0
255,253.09,253.22,254.00,0
255,254.14,254.26,254.00,0
252,254.83,254.85,254.00,0
16952,0.00,0.00,254.00,0,2
16982,0.00,0.00,254.00,0,2
17013,0.00,0.00,254.00,0,2
17044,0.00,0.00,254.00,0,2
17075,0.00,0.00,254.00,0,1
17106,0.00,-0.09,253.00,0,1
17137,0.00,-0.09,253.00,0,1
17168,0.00,-0.09,253.00,0,2,0
17199,0.00,-0.09,253.00,0,2
17230,0.00,-0.09,253.00,0,2
17260,0.00,-0.09,253.00,0,2
17291,0.00,-0.09,253.00,0,2
17322,0.00,-0.09,253.00,0,2
17353,0.00,-0.09,253.00,0,1
17384,0.00,-0.09,253.00,0,2
17415,0.00,-0.09,253.00,0,2
17446,0.00,-0.09,253.00,0,2
17477,0.00,-0.09,253.00,0,2
17508,0.00,-0.09,253.00,0,1
17539,0.00,-0.09,253.00,0,2
17569,0.00,-0.09,253.00,0,2
17600,0.00,-0.09,253.00,0,2
17631,0.00,-0.09,253.00,0,2,0
17662,0.00,-0.09,253.00,0,2
17693,0.00,-0.09,253.00,0,2
17724,0.00,-0.09,253.00,0,1
17755,0.00,-0.09,253.00,0,1
17786,0.00,0.00,254.00,0,2
17817,0.00,-0.09,253.00,0,2
17847,0.00,-0.09,253.00,0,1
17878,0.00,-0.09,253.00,0,2
17909,0.00,-0.09,253.00,0,2
17940,0.00,-0.09,253.00,0,2
17971,0.00,-0.09,253.00,0,1
18002,0.00,-0.09,253.00,0,2
18033,0.00,-0.09,253.00,0,2
