time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.81,30.88,255.00,0
251,111.60,124.75,254.00,0
251,207.92,217.39,253.00,0
252,261.63,264.94,253.00,0
255,272.63,272.11,253.00,0
252,263.74,262.30,253.00,0
252,253.67,252.78,253.00,0
255,249.27,249.12,253.00,0
255,249.93,250.24,253.00,0
255,252.64,252.94,253.00,0
252,254.49,254.59,253.00,0
251,254.57,254.48,253.00,0
254,253.37,253.17,253.00,0
255,252.19,252.13,253.00,0
252,252.35,252.44,253.00,0
252,253.03,253.11,253.00,0
254,253.34,253.33,253.00,0
252,253.06,253.00,253.00,0
252,252.52,252.44,253.00,0
252,251.94,251.89,253.00,0
252,251.72,251.71,253.00,0
255,251.80,251.83,253.00,0
255,252.32,252.42,253.00,0
252,253.15,253.24,253.00,0
255,253.58,253.58,253.00,0
253,253.52,253.52,253.00,0
254,253.42,253.39,253.00,0
252,253.11,253.06,253.00,0
255,252.80,252.80,253.00,0
252,253.01,253.06,253.00,0
252,253.24,253.23,253.00,0
252,252.93,252.87,253.00,0
255,252.70,252.72,253.00,0
255,253.17,253.26,253.00,0
255,253.96,254.06,253.00,0
252,254.67,254.71,253.00,0
251,254.34,254.18,253.00,0
254,252.85,252.67,253.00,0
252,252.03,252.03,253.00,0
252,252.25,252.28,253.00,0
252,252.50,252.55,253.00,0
252,252.74,252.74,253.00,0
19050,0.00,0.00,253.00,0,0
19080,0.00,0.00,253.00,0,0
19111,0.00,0.00,253.00,0,0
19142,0.00,0.00,253.00,0,0
19173,0.00,0.00,253.00,0,0
19204,0.00,0.00,253.00,0,0
19234,0.00,0.00,253.00,0,0
19265,0.00,0.00,253.00,0,0
19296,0.00,0.00,253.00,0,0
19327,0.00,0.00,253.00,0,0
19358,0.00,0.00,253.00,0,0
19388,0.00,0.00,253.00,0,0,0
19419,0.00,0.00,253.00,0,0
19450,0.00,0.00,253.00,0,0,0
19481,0.00,0.00,253.00,0,0
19511,0.00,0.00,253.00,0,0
19542,0.00,0.00,253.00,0,0
19573,0.00,0.00,253.00,0,0
19604,0.00,-0.09,252.00,0,0
19635,0.00,-0.09,252.00,0,0
19666,0.00,-0.09,252.00,0,0
19696,0.00,-0.09,252.00,0,0
19727,0.00,-0.09,252.00,0,0
19758,0.00,-0.09,252.00,0,0
19789,0.00,-0.09,252.00,0,0
19820,0.00,-0.09,252.00,0,0
19851,0.00,-0.09,252.00,0,0,0
19881,0.00,0.00,253.00,0,0
19912,0.00,0.00,253.00,0,0,0
19943,0.00,0.00,253.00,0,0
19974,0.00,0.00,253.00,0,0,0
20005,0.00,0.00,253.00,0,0
20035,0.00,0.00,253.00,0,0
20066,0.00,-0.09,252.00,0,0
20097,0.00,0.00,253.00,0,0
20128,0.00,0.00,253.00,0,0
20159,0.00,0.00,253.00,0,0
20189,0.00,0.00,253.00,0,0
20220,0.00,0.00,253.00,0,0
20251,0.00,0.00,253.00,0,0
20282,0.00,0.00,253.00,0,0
20313,0.00,0.00,253.00,0,0
20344,0.00,0.00,253.00,0,0
