time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.75,30.75,254.00,0
249,110.82,123.84,252.00,0
253,206.33,215.78,252.00,0
252,260.48,263.92,252.00,0
251,272.28,271.80,252.00,0
253,263.22,261.72,252.00,0
253,253.01,252.17,252.00,0
252,249.33,249.29,253.00,0
252,250.31,250.54,252.00,0
252,252.00,252.15,252.00,0
252,252.72,252.74,252.00,0
252,252.59,252.54,252.00,0
252,252.20,252.16,252.00,0
252,251.95,251.93,252.00,0
253,251.89,251.89,252.00,0
253,252.12,252.19,252.00,0
252,252.81,252.90,253.00,0
255,253.16,253.15,253.00,0
254,253.12,253.13,253.00,0
252,253.18,253.19,253.00,0
252,253.16,253.15,253.00,0
255,253.01,252.97,253.00,0
252,252.92,252.93,253.00,0
253,252.89,252.86,253.00,0
252,252.73,252.72,253.00,0
251,252.56,252.51,253.00,0
252,252.12,252.08,253.00,0
252,251.87,251.86,253.00,0
252,251.85,251.86,253.00,0
252,251.99,252.03,253.00,0
251,252.23,252.22,252.00,0
252,251.94,251.89,252.00,0
252,251.65,251.66,252.00,0
255,251.92,252.00,252.00,0
252,252.68,252.76,252.00,0
252,253.03,253.02,252.00,0
252,252.73,252.67,252.00,0
250,252.24,252.16,252.00,0
251,251.49,251.37,252.00,0
251,250.71,250.66,252.00,0
253,250.49,250.49,252.00,0
252,250.78,250.85,252.00,0
23770,0.00,0.00,252.00,0,0
23801,0.00,0.00,252.00,0,0,0
23832,0.00,0.00,252.00,0,0
23863,0.00,0.00,252.00,0,0,0
23894,0.00,0.00,252.00,0,0
23924,0.00,0.00,252.00,0,0
23955,0.00,0.00,252.00,0,0
23986,0.00,0.00,252.00,0,0
24017,0.00,0.00,252.00,0,0
24048,0.00,0.00,252.00,0,0
24078,0.00,0.00,252.00,0,0
24109,0.00,0.00,252.00,0,0
24140,0.00,0.00,252.00,0,0
24171,0.00,0.00,252.00,0,0
24201,0.00,0.00,252.00,0,0
24232,0.00,-0.09,251.00,0,0
24263,0.00,-0.09,251.00,0,0,0
24294,0.00,-0.09,251.00,0,0
24325,0.00,-0.09,251.00,0,0,0
24356,0.00,-0.09,251.00,0,0
24386,0.00,-0.09,251.00,0,0
24417,0.00,-0.09,251.00,0,0
24448,0.00,-0.09,251.00,0,0
24479,0.00,-0.09,251.00,0,0
24510,0.00,-0.09,251.00,0,0
24541,0.00,-0.09,251.00,0,0
24572,0.00,-0.09,251.00,0,0
24602,0.00,-0.09,251.00,0,0
24633,0.00,-0.09,251.00,0,0
24664,0.00,-0.09,251.00,0,0
24695,0.00,-0.09,251.00,0,0
24726,0.00,-0.09,251.00,0,0
24757,0.00,0.00,252.00,0,0
24787,0.00,0.00,252.00,0,0,0
24818,0.00,0.00,252.00,0,0
24849,0.00,0.00,252.00,0,0,0
24880,0.00,0.00,252.00,0,0
24911,0.00,0.00,252.00,0,0
24941,0.00,0.00,252.00,0,0
24972,0.00,0.00,252.00,0,0
25003,0.00,0.00,252.00,0,0
25034,0.00,0.00,252.00,0,0
25065,0.00,0.00,252.00,0,0
25096,0.00,0.00,252.00,0,0
25127,0.00,0.00,252.00,0,0
25158,0.00,0.00,252.00,0,0
25188,0.00,0.00,252.00,0,0
25219,0.00,0.00,252.00,0,0
25250,0.00,0.00,252.00,0,0,0
25281,0.00,0.00,252.00,0,0
25312,0.00,0.00,252.00,0,0,0
25343,0.00,0.00,252.00,0,0
25374,0.00,0.00,252.00,0,0
25405,0.00,0.00,252.00,0,0
25436,0.00,0.00,252.00,0,0
25466,0.00,0.00,252.00,0,0
25497,0.00,0.00,252.00,0,0
25528,0.00,0.00,252.00,0,0
25559,0.00,0.00,252.00,0,0
25590,0.00,0.00,252.00,0,0
25621,0.00,0.00,252.00,0,0
25652,0.00,0.00,252.00,0,0
25683,0.00,0.00,252.00,0,0
25713,0.00,0.00,252.00,0,0,0
25744,0.00,0.00,252.00,0,0
25775,0.00,0.00,252.00,0,0,0
25806,0.00,0.00,252.00,0,0
25837,0.00,0.00,252.00,0,0
25868,0.00,0.00,252.00,0,0
25899,0.00,0.00,252.00,0,0
25930,0.00,0.00,252.00,0,0
25960,0.00,0.00,252.00,0,0
25991,0.00,0.00,252.00,0,0
26022,0.00,0.00,252.00,0,0
26053,0.00,0.00,252.00,0,0
26084,0.00,0.00,252.00,0,0
26115,0.00,0.09,253.00,0,0
26146,0.00,0.00,252.00,0,0
26177,0.00,0.00,252.00,0,0,0
26208,0.00,0.00,252.00,0,0
26239,0.00,0.00,252.00,0,0,0
26269,0.00,0.00,252.00,0,0
26300,0.00,0.00,252.00,0,0
26331,0.00,0.00,252.00,0,0
26362,0.00,0.00,252.00,0,0
26393,0.00,0.00,252.00,0,0
26424,0.00,0.00,252.00,0,0
26455,0.00,0.00,252.00,0,0
26486,0.00,0.00,252.00,0,0
26517,0.00,0.00,252.00,0,0
26547,0.00,0.00,252.00,0,0
26578,0.00,0.00,252.00,0,0
26609,0.00,0.00,252.00,0,0
26640,0.00,0.00,252.00,0,0
26671,0.00,0.00,252.00,0,0
26702,0.00,0.00,252.00,0,0,0
26733,0.00,0.00,252.00,0,0
26764,0.00,0.00,252.00,0,0
26795,0.00,0.00,252.00,0,0
26825,0.00,0.00,252.00,0,0
