time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
253,22.70,30.72,253.00,0
254,110.93,124.00,253.00,0
255,207.26,216.82,253.00,0
256,262.32,265.88,254.00,0
255,275.13,274.77,254.00,0
255,266.83,265.37,254.00,0
253,256.35,255.38,254.00,0
255,251.28,251.05,254.00,0
255,251.27,251.48,254.00,0
255,253.31,253.55,254.00,0
254,254.64,254.71,254.00,0
253,254.78,254.76,254.00,0
255,254.57,254.55,254.00,0
255,254.43,254.41,255.00,0
252,254.38,254.36,255.00,0
255,253.89,253.79,254.00,0
256,253.26,253.23,254.00,0
256,253.63,253.76,254.00,0
256,254.80,254.95,254.00,0
255,255.71,255.74,254.00,0
253,255.51,255.43,254.00,0
253,254.61,254.46,254.00,0
253,253.50,253.42,254.00,0
252,253.06,253.02,254.00,0
252,252.70,252.65,254.00,0
254,252.31,252.27,254.00,0
255,252.17,252.19,254.00,0
255,252.73,252.86,254.00,0
252,253.84,253.95,254.00,0
255,254.20,254.20,254.00,0
254,254.29,254.34,254.00,0
255,254.68,254.71,254.00,0
254,254.80,254.79,254.00,0
253,254.63,254.61,254.00,0
252,254.31,254.22,254.00,0
255,253.48,253.40,254.00,0
255,253.32,253.37,254.00,0
255,253.93,253.99,254.00,0
255,254.32,254.36,254.00,0
255,254.63,254.66,254.00,0
255,254.87,254.90,254.00,0
255,255.01,255.02,255.00,0
18525,0.00,-0.09,254.00,0,0
18556,0.00,-0.09,254.00,0,0
18587,0.00,-0.09,254.00,0,0
18618,0.00,-0.09,254.00,0,0
18649,0.00,-0.09,254.00,0,0
18680,0.00,-0.09,254.00,0,0
18710,0.00,-0.09,254.00,0,0
18741,0.00,-0.09,254.00,0,0,0
18772,0.00,-0.09,254.00,0,0
18803,0.00,-0.09,254.00,0,0,0
18834,0.00,-0.09,254.00,0,0
18865,0.00,-0.09,254.00,0,0
18896,0.00,-0.09,254.00,0,0
18927,0.00,-0.09,254.00,0,0
18958,0.00,-0.09,254.00,0,0
18989,0.00,-0.09,254.00,0,0
19019,0.00,-0.09,254.00,0,0
19050,0.00,-0.09,254.00,0,0
19081,0.00,-0.09,254.00,0,0
19112,0.00,-0.09,254.00,0,0
19143,0.00,-0.09,254.00,0,0
19174,0.00,-0.09,254.00,0,0
19205,0.00,-0.09,254.00,0,0,0
19236,0.00,-0.09,254.00,0,0
19267,0.00,-0.09,254.00,0,0,0
19297,0.00,-0.09,254.00,0,0
19328,0.00,-0.09,254.00,0,0
19359,0.00,-0.09,254.00,0,0
19390,0.00,-0.09,254.00,0,0
19421,0.00,-0.09,254.00,0,0
19452,0.00,-0.09,254.00,0,0
19483,0.00,-0.09,254.00,0,0
19514,0.00,-0.09,254.00,0,0
19545,0.00,-0.09,254.00,0,0
19576,0.00,-0.09,254.00,0,0
19607,0.00,-0.09,254.00,0,0
19638,0.00,-0.09,254.00,0,0
19669,0.00,-0.09,254.00,0,0,0
19699,0.00,-0.09,254.00,0,0
19730,0.00,-0.09,254.00,0,0
19761,0.00,-0.09,254.00,0,0
19792,0.00,-0.09,254.00,0,0
19823,0.00,-0.09,254.00,0,0
19854,0.00,-0.09,254.00,0,0
19885,0.00,-0.09,254.00,0,0
19916,0.00,-0.09,254.00,0,0
19947,0.00,-0.09,254.00,0,0
19977,0.00,-0.09,254.00,0,0
20008,0.00,-0.09,254.00,0,0
20039,0.00,-0.09,254.00,0,0
20070,0.00,-0.09,254.00,0,0
20101,0.00,-0.09,254.00,0,0
20132,0.00,-0.09,254.00,0,0,0
20163,0.00,-0.09,254.00,0,0
20194,0.00,-0.09,254.00,0,0
20225,0.00,-0.09,254.00,0,0
20256,0.00,-0.09,254.00,0,0
20287,0.00,-0.09,254.00,0,0
20318,0.00,-0.09,254.00,0,0
20349,0.00,-0.09,254.00,0,0
20380,0.00,-0.09,254.00,0,0
20410,0.00,-0.09,254.00,0,0
20441,0.00,-0.18,253.00,0,0
20472,0.00,-0.09,254.00,0,0
20503,0.00,-0.09,254.00,0,0
20534,0.00,-0.09,254.00,0,0,0
20565,0.00,-0.09,254.00,0,0
20596,0.00,-0.09,254.00,0,0,0
20627,0.00,-0.09,254.00,0,0
20658,0.00,-0.09,254.00,0,0
20689,0.00,-0.09,254.00,0,0
20720,0.00,-0.09,254.00,0,0
20751,0.00,-0.09,254.00,0,0
20782,0.00,-0.09,254.00,0,0
20812,0.00,-0.09,254.00,0,0
20843,0.00,-0.09,254.00,0,0
20874,0.00,-0.09,254.00,0,0
20905,0.00,-0.09,254.00,0,0
20936,0.00,-0.09,254.00,0,0
20967,0.00,-0.09,254.00,0,0
20998,0.00,-0.09,254.00,0,0,0
21029,0.00,-0.09,254.00,0,0
21060,0.00,-0.09,254.00,0,0
21091,0.00,-0.09,254.00,0,0
21122,0.00,-0.09,254.00,0,0
21153,0.00,-0.09,254.00,0,0
21184,0.00,-0.09,254.00,0,0
21215,0.00,-0.09,254.00,0,0
21246,0.00,-0.09,254.00,0,0
21276,0.00,-0.09,254.00,0,0
21307,0.00,-0.09,254.00,0,0
21338,0.00,-0.09,254.00,0,0
21369,0.00,-0.09,254.00,0,0
21400,0.00,-0.09,254.00,0,0
21431,0.00,-0.09,254.00,0,0
21462,0.00,-0.09,254.00,0,0,0
21493,0.00,-0.09,254.00,0,0
21523,0.00,-0.09,254.00,0,0
21554,0.00,-0.09,254.00,0,0
21585,0.00,-0.09,254.00,0,0
21616,0.00,-0.09,254.00,0,0
21647,0.00,-0.09,254.00,0,0
21678,0.00,-0.09,254.00,0,0
21709,0.00,-0.09,254.00,0,0
21740,0.00,-0.09,254.00,0,0
21771,0.00,-0.09,254.00,0,0
21802,0.00,-0.09,254.00,0,0
21832,0.00,-0.09,254.00,0,0
21863,0.00,-0.09,254.00,0,0,0
21894,0.00,-0.09,254.00,0,0
21925,0.00,-0.09,254.00,0,0,0
21956,0.00,-0.09,254.00,0,0
21987,0.00,-0.09,254.00,0,0
22018,0.00,-0.09,254.00,0,0
22049,0.00,-0.09,254.00,0,0
22080,0.00,-0.09,254.00,0,0
22111,0.00,-0.09,254.00,0,0
22142,0.00,-0.09,254.00,0,0
22173,0.00,-0.09,254.00,0,0
22204,0.00,-0.09,254.00,0,0
22235,0.00,-0.09,254.00,0,0
22266,0.00,-0.09,254.00,0,0
22296,0.00,-0.09,254.00,0,0
22327,0.00,-0.09,254.00,0,0,0
22358,0.00,-0.09,254.00,0,0
22389,0.00,-0.09,254.00,0,0
22420,0.00,-0.09,254.00,0,0
22451,0.00,-0.09,254.00,0,0
22482,0.00,-0.09,254.00,0,0
22513,0.00,-0.09,254.00,0,0
22544,0.00,-0.09,254.00,0,0
22575,0.00,-0.09,254.00,0,0
22606,0.00,-0.09,254.00,0,0
22637,0.00,-0.09,254.00,0,0
22667,0.00,-0.09,254.00,0,0
22698,0.00,-0.09,254.00,0,0
22729,0.00,-0.09,254.00,0,0
22760,0.00,-0.09,254.00,0,0
22791,0.00,-0.09,254.00,0,0,0
22822,0.00,-0.09,254.00,0,0
22853,0.00,-0.09,254.00,0,0
22884,0.00,-0.09,254.00,0,0
22914,0.00,-0.09,254.00,0,0
22945,0.00,-0.09,254.00,0,0
22976,0.00,-0.09,254.00,0,0
23007,0.00,-0.09,254.00,0,0
23038,0.00,-0.09,254.00,0,0
23069,0.00,-0.09,254.00,0,0
23100,0.00,-0.09,254.00,0,0
23131,0.00,-0.09,254.00,0,0
23161,0.00,-0.09,254.00,0,0
23192,0.00,-0.09,254.00,0,0
23223,0.00,-0.09,254.00,0,0
23254,0.00,-0.09,254.00,0,0,0
23285,0.00,-0.09,254.00,0,0
23316,0.00,-0.09,254.00,0,0
23347,0.00,-0.09,254.00,0,0
23378,0.00,-0.09,254.00,0,0
23409,0.00,-0.09,254.00,0,0
23440,0.00,-0.09,254.00,0,0
23471,0.00,-0.09,254.00,0,0
23502,0.00,-0.09,254.00,0,0
23533,0.00,-0.09,254.00,0,0
23563,0.00,-0.09,254.00,0,0
23594,0.00,-0.09,254.00,0,0
23625,0.00,-0.09,254.00,0,0
23656,0.00,-0.09,254.00,0,0,0
23687,0.00,-0.09,254.00,0,0
23718,0.00,-0.09,254.00,0,0,0
23749,0.00,-0.09,254.00,0,0
23780,0.00,-0.09,254.00,0,0
23811,0.00,-0.09,254.00,0,0
23842,0.00,-0.09,254.00,0,0
23873,0.00,-0.09,254.00,0,0
23904,0.00,-0.09,254.00,0,0
23935,0.00,-0.09,254.00,0,0
23966,0.00,-0.09,254.00,0,0
23996,0.00,-0.09,254.00,0,0
24027,0.00,-0.09,254.00,0,0
24058,0.00,-0.09,254.00,0,0
24089,0.00,-0.09,254.00,0,0
24120,0.00,-0.09,254.00,0,0,0
24151,0.00,-0.09,254.00,0,0
24182,0.00,-0.09,254.00,0,0,0
24213,0.00,-0.09,254.00,0,0
24244,0.00,-0.09,254.00,0,0
24275,0.00,-0.09,254.00,0,0
24306,0.00,-0.09,254.00,0,0
24337,0.00,-0.09,254.00,0,0
24368,0.00,-0.09,254.00,0,0
24399,0.00,-0.09,254.00,0,0
24429,0.00,-0.09,254.00,0,0
24460,0.00,-0.09,254.00,0,0
24491,0.00,-0.09,254.00,0,0
24522,0.00,-0.09,254.00,0,0,0
24553,0.00,-0.09,254.00,0,0
24584,0.00,-0.09,254.00,0,0,0
24615,0.00,-0.09,254.00,0,0
24646,0.00,0.00,255.00,0,0
24677,0.00,0.00,255.00,0,0
24708,0.00,0.00,255.00,0,0
24739,0.00,0.00,255.00,0,0
24769,0.00,0.00,255.00,0,0
24800,0.00,0.00,255.00,0,0
