time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.73,30.78,254.00,0
255,111.46,124.63,255.00,0
255,208.51,218.16,255.00,0
255,263.82,267.32,255.00,0
253,275.60,275.06,255.00,0
255,265.92,264.32,254.00,0
255,254.87,253.93,254.00,0
255,250.53,250.44,255.00,0
255,251.49,251.78,255.00,0
256,253.92,254.19,255.00,0
256,255.69,255.83,255.00,0
256,256.39,256.41,255.00,0
256,256.36,256.33,255.00,0
256,256.12,256.09,255.00,0
255,255.85,255.81,255.00,0
255,255.44,255.38,255.00,0
257,255.09,255.06,255.00,0
256,255.12,255.15,255.00,0
256,255.52,255.58,256.00,0
256,255.91,255.94,256.00,0
256,256.09,256.09,256.00,0
255,256.07,256.05,256.00,0
255,255.75,255.70,256.00,0
255,255.31,255.26,256.00,0
255,255.01,254.98,255.00,0
258,254.91,254.91,255.00,0
256,255.17,255.24,256.00,0
256,255.68,255.74,256.00,0
256,256.03,256.05,256.00,0
255,256.12,256.12,256.00,0
255,255.96,255.92,256.00,0
255,255.53,255.47,256.00,0
255,255.03,254.97,255.00,0
255,254.64,254.62,255.00,0
255,254.62,254.62,255.00,0
253,254.56,254.55,255.00,0
255,254.34,254.30,255.00,0
256,254.15,254.18,255.00,0
256,254.69,254.79,255.00,0
252,255.48,255.54,255.00,0
255,255.43,255.37,255.00,0
255,254.97,254.93,255.00,0
34261,0.00,0.00,255.00,0,0
34292,0.00,0.00,255.00,0,0
34323,0.00,0.00,255.00,0,0,0
34353,0.00,0.00,255.00,0,0
34384,0.00,0.00,255.00,0,0,0
34415,0.00,0.00,255.00,0,0
34446,0.00,0.00,255.00,0,0
34477,0.00,0.00,255.00,0,0
34507,0.00,0.00,255.00,0,0
34538,0.00,0.00,255.00,0,0
34569,0.00,0.00,255.00,0,0
34600,0.00,0.00,255.00,0,0
34631,0.00,0.00,255.00,0,0
34661,0.00,0.00,255.00,0,0
34692,0.00,0.00,255.00,0,0
34723,0.00,0.00,255.00,0,0
34754,0.00,0.00,255.00,0,0
34785,0.00,0.00,255.00,0,0
34816,0.00,0.00,255.00,0,0
34846,0.00,0.00,255.00,0,0,0
34877,0.00,0.00,255.00,0,0
34908,0.00,0.00,255.00,0,0,0
34939,0.00,0.00,255.00,0,0
34970,0.00,0.00,255.00,0,0
35001,0.00,0.00,255.00,0,0
35031,0.00,0.00,255.00,0,0
35062,0.00,0.00,255.00,0,0
35093,0.00,0.00,255.00,0,0
35124,0.00,0.00,255.00,0,0
35155,0.00,0.00,255.00,0,0
35185,0.00,0.00,255.00,0,0
35216,0.00,0.00,255.00,0,0
35247,0.00,0.00,255.00,0,0
35278,0.00,0.00,255.00,0,0
35309,0.00,0.00,255.00,0,0
35339,0.00,0.00,255.00,0,0
35370,0.00,0.00,255.00,0,0,0
35401,0.00,0.00,255.00,0,0
35432,0.00,0.00,255.00,0,0,0
35463,0.00,0.00,255.00,0,0
35494,0.00,0.00,255.00,0,0
35524,0.00,0.00,255.00,0,0
35555,0.00,0.00,255.00,0,0
35586,0.00,0.00,255.00,0,0
35617,0.00,0.00,255.00,0,0
35648,0.00,0.00,255.00,0,0
35678,0.00,0.00,255.00,0,0
35709,0.00,0.00,255.00,0,0
35740,0.00,0.00,255.00,0,0
35771,0.00,0.00,255.00,0,0
35802,0.00,0.00,255.00,0,0
35833,0.00,0.00,255.00,0,0
35863,0.00,0.00,255.00,0,0
35894,0.00,0.00,255.00,0,0,0
35925,0.00,0.00,255.00,0,0
35956,0.00,0.00,255.00,0,0,0
35987,0.00,0.00,255.00,0,0
36017,0.00,0.00,255.00,0,0
36048,0.00,0.00,255.00,0,0
36079,0.00,0.00,255.00,0,0
36110,0.00,0.00,255.00,0,0
36141,0.00,0.00,255.00,0,0
36171,0.00,0.00,255.00,0,0
36202,0.00,0.00,255.00,0,0
36233,0.00,0.00,255.00,0,0
36264,0.00,0.00,255.00,0,0
36295,0.00,0.00,255.00,0,0
36326,0.00,0.00,255.00,0,0
36356,0.00,0.00,255.00,0,0,0
36387,0.00,0.00,255.00,0,0
36418,0.00,0.00,255.00,0,0,0
36449,0.00,0.00,255.00,0,0
36480,0.00,0.00,255.00,0,0,0
36510,0.00,0.00,255.00,0,0
36541,0.00,0.00,255.00,0,0
36572,0.00,0.00,255.00,0,0
36603,0.00,0.00,255.00,0,0
36634,0.00,0.00,255.00,0,0
36665,0.00,0.00,255.00,0,0
36695,0.00,0.00,255.00,0,0
36726,0.00,0.00,255.00,0,0
36757,0.00,0.00,255.00,0,0
36788,0.00,0.00,255.00,0,0
36819,0.00,0.00,255.00,0,0
36849,0.00,0.00,255.00,0,0
36880,0.00,0.00,255.00,0,0,0
36911,0.00,0.00,255.00,0,0
36942,0.00,0.00,255.00,0,0,0
36973,0.00,0.00,255.00,0,0
37003,0.00,0.00,255.00,0,0,0
37034,0.00,0.00,255.00,0,0
37065,0.00,0.00,255.00,0,0
37096,0.00,0.00,255.00,0,0
37127,0.00,0.00,255.00,0,0
37158,0.00,0.00,255.00,0,0
37188,0.00,0.00,255.00,0,0
37219,0.00,0.00,255.00,0,0
37250,0.00,0.00,255.00,0,0
37281,0.00,0.00,255.00,0,0
37312,0.00,0.00,255.00,0,0
37342,0.00,0.00,255.00,0,0
37373,0.00,0.00,255.00,0,0
37404,0.00,0.00,255.00,0,0,0
37435,0.00,0.00,255.00,0,0
37466,0.00,0.00,255.00,0,0,0
37496,0.00,0.00,255.00,0,0
37527,0.00,0.00,255.00,0,0
37558,0.00,0.00,255.00,0,0
37589,0.00,0.00,255.00,0,0
37620,0.00,0.00,255.00,0,0
37651,0.00,0.00,255.00,0,0
37681,0.00,0.00,255.00,0,0
37712,0.00,0.00,255.00,0,0
37743,0.00,0.00,255.00,0,0
37774,0.00,0.00,255.00,0,0
37805,0.00,0.00,255.00,0,0
37835,0.00,0.00,255.00,0,0
37866,0.00,0.00,255.00,0,0
37897,0.00,0.09,256.00,0,0
37928,0.00,0.09,256.00,0,0,0
37959,0.00,0.09,256.00,0,0
37989,0.00,0.09,256.00,0,0,0
38020,0.00,0.09,256.00,0,0
38051,0.00,0.09,256.00,0,0
38082,0.00,0.09,256.00,0,0
38113,0.00,0.09,256.00,0,0
38144,0.00,0.09,256.00,0,0
38175,0.00,0.09,256.00,0,0
38206,0.00,0.09,256.00,0,0
38237,0.00,0.09,256.00,0,0
38268,0.00,0.09,256.00,0,0
38299,0.00,0.09,256.00,0,0
38329,0.00,0.09,256.00,0,0
38360,0.00,0.09,256.00,0,0
38391,0.00,0.09,256.00,0,0,0
38422,0.00,0.09,256.00,0,0
38453,0.00,0.09,256.00,0,0,0
38484,0.00,0.09,256.00,0,0
38515,0.00,0.09,256.00,0,0
38546,0.00,0.09,256.00,0,0
38577,0.00,0.09,256.00,0,0
38607,0.00,0.09,256.00,0,0
38638,0.00,0.09,256.00,0,0
38669,0.00,0.09,256.00,0,0
38700,0.00,0.09,256.00,0,0
38731,0.00,0.09,256.00,0,0
38762,0.00,0.09,256.00,0,0
38792,0.00,0.09,256.00,0,0
38823,0.00,0.09,256.00,0,0
38854,0.00,0.09,256.00,0,0,0
38885,0.00,0.09,256.00,0,0
38916,0.00,0.09,256.00,0,0,0
38947,0.00,0.09,256.00,0,0
38977,0.00,0.09,256.00,0,0,0
39008,0.00,0.09,256.00,0,0
39039,0.00,0.09,256.00,0,0
39070,0.00,0.09,256.00,0,0
39101,0.00,0.09,256.00,0,0
39131,0.00,0.09,256.00,0,0
39162,0.00,0.09,256.00,0,0
39193,0.00,0.09,256.00,0,0
39224,0.00,0.09,256.00,0,0
39255,0.00,0.00,255.00,0,0
39286,0.00,0.00,255.00,0,0
39316,0.00,0.00,255.00,0,0
39347,0.00,0.00,255.00,0,0
39378,0.00,0.00,255.00,0,0,0
39409,0.00,0.00,255.00,0,0
39440,0.00,0.00,255.00,0,0,0
39470,0.00,0.00,255.00,0,0
39501,0.00,0.00,255.00,0,0
39532,0.00,0.00,255.00,0,0
39563,0.00,0.00,255.00,0,0
39594,0.00,0.00,255.00,0,0
39625,0.00,0.00,255.00,0,0
39655,0.00,0.00,255.00,0,0
39686,0.00,0.00,255.00,0,0
39717,0.00,0.00,255.00,0,0
39748,0.00,0.00,255.00,0,0
