trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.45,4.63,1.45,4.63,3,3,0,1,1,0
1,2.3,4.63,4.63,2.3,1,1,0,1,2,0
2,3.65,4.63,4.63,3.65,1,1,0,1,3,0
3,5.78,4.63,4.63,5.78,3,3,1,3,4,0
4,3.65,4.63,4.63,3.65,1,1,1,1,5,0
5,4.6,4.63,4.63,4.6,1,1,1,1,6,0
6,5.79,4.63,4.63,5.79,3,3,2,3,7,0
7,4.6,4.63,4.6,4.63,3,1,3,3,7,1
8,4.6,4.63,4.63,4.6,1,1,3,1,8,1
9,4.87,4.63,4.63,4.87,3,3,4,3,9,1
10,4.6,4.63,4.6,4.63,3,1,5,3,9,2
11,4.87,4.63,4.63,4.87,3,3,6,3,10,2
12,4.6,4.63,4.63,4.6,1,3,7,3,10,3
13,4.87,4.63,4.63,4.87,3,3,8,3,11,3
14,4.6,4.63,4.6,4.63,3,1,9,3,11,4
