trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.01,3.14,3.14,1.01,1,1,0,1,1,0
1,1.6,3.14,3.14,1.6,1,1,0,1,2,0
2,2.54,3.14,2.54,3.14,3,3,0,1,3,0
3,4.03,3.14,3.14,4.03,3,3,1,3,4,0
4,2.54,3.14,2.54,3.14,3,3,1,1,5,0
5,3.2,3.14,3.14,3.2,3,2,1,2,5,1
6,3.2,3.14,3.14,3.2,3,3,2,3,6,1
7,2.54,3.14,2.54,3.14,3,3,2,1,7,1
8,2.85,3.14,3.14,2.85,1,1,2,1,8,1
9,3.2,3.14,3.2,3.14,1,1,3,3,9,1
10,2.85,3.14,3.14,2.85,1,1,3,1,10,1
11,3.02,3.14,3.14,3.02,1,3,4,3,10,2
12,2.85,3.14,3.14,2.85,1,2,4,2,10,3
13,2.93,3.14,2.93,3.14,3,3,4,1,11,3
