trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong,r
1,0.55,3.14,3.14,0.55,1,1,0,1,1,0,1
2,0.69,3.14,0.69,3.14,3,3,0,1,2,0,0
3,0.87,3.14,3.14,0.87,1,1,0,1,3,0,1
4,1.1,3.14,1.1,3.14,3,3,0,1,4,0,0
5,1.38,3.14,3.14,1.38,1,1,0,1,5,0,1
6,1.74,3.14,3.14,1.74,1,1,0,1,6,0,1
7,2.19,3.14,2.19,3.14,3,3,0,1,7,0,0
8,2.76,3.14,2.76,3.14,3,3,0,1,8,0,0
9,3.47,3.14,3.14,3.47,3,3,0,3,9,0,1
10,3.47,3.14,3.47,3.14,1,1,1,3,10,0,0
11,2.76,3.14,2.76,3.14,3,3,1,1,11,0,0
12,3.1,3.14,3.1,3.14,3,1,1,3,11,1,0
13,3.1,3.14,3.14,3.1,1,3,2,3,11,2,1
14,2.76,3.14,2.76,3.14,3,1,2,3,11,3,0
15,2.76,3.14,3.14,2.76,1,3,3,3,11,4,1
16,2.42,3.14,2.42,3.14,3,3,3,1,12,4,0
17,2.49,3.14,3.14,2.49,1,1,3,1,13,4,1
