time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.68,30.69,253.00,0
250,110.77,123.80,252.00,0
248,206.33,215.73,251.00,0
255,259.64,262.94,251.00,0
253,270.86,270.43,252.00,0
255,262.69,261.34,252.00,0
254,253.46,252.66,252.00,0
255,249.66,249.56,252.00,0
252,250.37,250.59,252.00,0
254,252.06,252.25,252.00,0
252,253.24,253.32,252.00,0
249,253.40,253.35,252.00,0
251,252.56,252.42,252.00,0
252,251.65,251.62,252.00,0
252,251.83,251.89,252.00,0
252,252.31,252.37,253.00,0
250,252.58,252.58,253.00,0
251,252.14,252.03,252.00,0
251,251.27,251.18,252.00,0
251,250.77,250.74,252.00,0
251,250.65,250.66,252.00,0
251,250.77,250.79,252.00,0
251,250.93,250.95,251.00,0
251,251.03,251.03,251.00,0
253,251.29,251.39,252.00,0
254,252.29,252.42,252.00,0
252,253.29,253.41,252.00,0
253,253.99,254.02,252.00,0
252,253.91,253.85,252.00,0
254,253.14,253.03,252.00,0
255,252.61,252.61,252.00,0
255,253.02,253.13,253.00,0
252,253.98,254.08,253.00,0
252,254.23,254.17,253.00,0
255,253.47,253.39,253.00,0
255,253.20,253.24,254.00,0
255,253.82,253.91,254.00,0
252,254.29,254.28,254.00,0
252,253.73,253.61,253.00,0
253,252.72,252.61,253.00,0
252,252.07,252.02,253.00,0
252,251.88,251.88,253.00,0
20070,0.00,0.00,253.00,0,2
20101,0.00,0.00,253.00,0,2,0
20132,0.00,0.00,253.00,0,2
20162,0.00,0.00,253.00,0,2,0
20193,0.00,0.00,253.00,0,2
20224,0.00,0.00,253.00,0,2
20255,0.00,0.00,253.00,0,2
20286,0.00,-0.09,252.00,0,2
20317,0.00,-0.09,252.00,0,2
20348,0.00,-0.09,252.00,0,2
20378,0.00,-0.09,252.00,0,2
20409,0.00,-0.09,252.00,0,2
20440,0.00,-0.09,252.00,0,2
20471,0.00,-0.09,252.00,0,2
20502,0.00,-0.09,252.00,0,2
20533,0.00,-0.09,252.00,0,2
20564,0.00,-0.09,252.00,0,2,0
20595,0.00,-0.09,252.00,0,2
20626,0.00,-0.09,252.00,0,2
20657,0.00,-0.09,252.00,0,2
20688,0.00,-0.09,252.00,0,2
20719,0.00,-0.09,252.00,0,2
20750,0.00,-0.09,252.00,0,2
20781,0.00,-0.09,252.00,0,2
20812,0.00,-0.09,252.00,0,2
20843,0.00,-0.09,252.00,0,2
20874,0.00,-0.09,252.00,0,2
20904,0.00,-0.09,252.00,0,2
20935,0.00,-0.09,252.00,0,2
20966,0.00,-0.09,252.00,0,2,0
20997,0.00,-0.09,252.00,0,2
21028,0.00,-0.09,252.00,0,2,0
21059,0.00,-0.09,252.00,0,2
21090,0.00,-0.09,252.00,0,2
21121,0.00,-0.09,252.00,0,2
21152,0.00,-0.09,252.00,0,2
21183,0.00,-0.09,252.00,0,2
21214,0.00,-0.09,252.00,0,3
21245,0.00,-0.09,252.00,0,2
21276,0.00,-0.09,252.00,0,2
21307,0.00,-0.09,252.00,0,2
21338,0.00,-0.09,252.00,0,2
21368,0.00,-0.09,252.00,0,2
21399,0.00,-0.09,252.00,0,2
21430,0.00,-0.09,252.00,0,2,0
21461,0.00,-0.09,252.00,0,2
21492,0.00,-0.09,252.00,0,2
21523,0.00,-0.09,252.00,0,2
21554,0.00,-0.09,252.00,0,2
21585,0.00,-0.09,252.00,0,1
21616,0.00,-0.09,252.00,0,2
21647,0.00,-0.09,252.00,0,2
21678,0.00,-0.09,252.00,0,2
21709,0.00,-0.09,252.00,0,1
21740,0.00,-0.09,252.00,0,2
21771,0.00,-0.09,252.00,0,2
21802,0.00,-0.09,252.00,0,2
21833,0.00,-0.09,252.00,0,2,0
21864,0.00,-0.09,252.00,0,2
21895,0.00,-0.09,252.00,0,3,0
21925,0.00,-0.09,252.00,0,2
21956,0.00,-0.09,252.00,0,2
21987,0.00,-0.09,252.00,0,2
22018,0.00,-0.09,252.00,0,1
22049,0.00,-0.09,252.00,0,2
22080,0.00,-0.09,252.00,0,2
22111,0.00,-0.09,252.00,0,2
22142,0.00,-0.09,252.00,0,2
22173,0.00,-0.09,252.00,0,2
22204,0.00,-0.09,252.00,0,1
22235,0.00,-0.09,252.00,0,2
22266,0.00,-0.09,252.00,0,2
22297,0.00,-0.09,252.00,0,2,0
22328,0.00,-0.09,252.00,0,2
22359,0.00,-0.09,252.00,0,2
22390,0.00,-0.09,252.00,0,2
22421,0.00,-0.18,251.00,0,2
22451,0.00,-0.18,251.00,0,1
22482,0.00,-0.18,251.00,0,2
22513,0.00,-0.18,251.00,0,2
22544,0.00,-0.18,251.00,0,2
22575,0.00,-0.18,251.00,0,2
22606,0.00,-0.18,251.00,0,2
22637,0.00,-0.18,251.00,0,2
22667,0.00,-0.18,251.00,0,2
22698,0.00,-0.18,251.00,0,2
22729,0.00,-0.18,251.00,0,2
22760,0.00,-0.18,251.00,0,2,0
22791,0.00,-0.18,251.00,0,2
22822,0.00,-0.18,251.00,0,2
22853,0.00,-0.18,251.00,0,2
22883,0.00,-0.18,251.00,0,2
22914,0.00,-0.18,251.00,0,2
22945,0.00,-0.18,251.00,0,2
22976,0.00,-0.18,251.00,0,1
23007,0.00,-0.18,251.00,0,2
23038,0.00,-0.18,251.00,0,2
23069,0.00,-0.18,251.00,0,2
23100,0.00,-0.18,251.00,0,2
23130,0.00,-0.18,251.00,0,2
23161,0.00,-0.18,251.00,0,2
23192,0.00,-0.18,251.00,0,1
23223,0.00,-0.18,251.00,0,2,0
23254,0.00,-0.18,251.00,0,2
23285,0.00,-0.18,251.00,0,2
23316,0.00,-0.18,251.00,0,2
23346,0.00,-0.18,251.00,0,2
23377,0.00,-0.18,251.00,0,2
23408,0.00,-0.18,251.00,0,2
23439,0.00,-0.18,251.00,0,2
23470,0.00,-0.18,251.00,0,2
23501,0.00,-0.09,252.00,0,2
23532,0.00,-0.09,252.00,0,2
23563,0.00,-0.09,252.00,0,2
23594,0.00,-0.09,252.00,0,2
23624,0.00,-0.09,252.00,0,2
23655,0.00,-0.09,252.00,0,2
23686,0.00,-0.09,252.00,0,2,0
23717,0.00,-0.09,252.00,0,2
23748,0.00,-0.09,252.00,0,2
23779,0.00,-0.09,252.00,0,2
23810,0.00,-0.09,252.00,0,2
23841,0.00,-0.09,252.00,0,2
23872,0.00,-0.09,252.00,0,2
23903,0.00,-0.09,252.00,0,2
23934,0.00,-0.09,252.00,0,2
23965,0.00,-0.09,252.00,0,2
23996,0.00,-0.09,252.00,0,3
24027,0.00,-0.09,252.00,0,2
24058,0.00,-0.09,252.00,0,2
24089,0.00,-0.09,252.00,0,3,0
24120,0.00,-0.09,252.00,0,2
24151,0.00,-0.09,252.00,0,2
24181,0.00,-0.09,252.00,0,2
24212,0.00,0.00,253.00,0,2
24243,0.00,0.00,253.00,0,2
24274,0.00,0.00,253.00,0,2
24305,0.00,0.00,253.00,0,2
24336,0.00,0.00,253.00,0,2
24367,0.00,0.00,253.00,0,3
24398,0.00,0.00,253.00,0,2
24428,0.00,0.00,253.00,0,2
24459,0.00,0.00,253.00,0,3
24490,0.00,0.00,253.00,0,2
24521,0.00,0.00,253.00,0,2
24552,0.00,0.00,253.00,0,3,0
24583,0.00,0.00,253.00,0,2
24614,0.00,0.00,253.00,0,2,0
24644,0.00,0.00,253.00,0,3
24675,0.00,0.00,253.00,0,2
24706,0.00,0.00,253.00,0,2
24737,0.00,0.00,253.00,0,2
24768,0.00,0.00,253.00,0,2
24799,0.00,0.00,253.00,0,2
24830,0.00,0.00,253.00,0,2
24861,0.00,0.00,253.00,0,2
24891,0.00,0.00,253.00,0,2
24922,0.00,0.00,253.00,0,2
24953,0.00,0.00,253.00,0,3
24984,0.00,0.00,253.00,0,2
25015,0.00,0.00,253.00,0,2
25046,0.00,0.00,253.00,0,2
25077,0.00,0.00,253.00,0,2,0
25107,0.00,0.00,253.00,0,2
25138,0.00,0.00,253.00,0,3,0
25169,0.00,0.00,253.00,0,2
25200,0.00,0.00,253.00,0,2
25231,0.00,0.00,253.00,0,2
25262,0.00,0.00,253.00,0,2
25293,0.00,-0.09,252.00,0,2
25324,0.00,-0.09,252.00,0,2
25355,0.00,-0.09,252.00,0,2
25385,0.00,-0.09,252.00,0,2
25416,0.00,-0.09,252.00,0,2
25447,0.00,-0.09,252.00,0,2
25478,0.00,-0.09,252.00,0,2,0
25509,0.00,-0.09,252.00,0,2
25540,0.00,-0.09,252.00,0,2,0
25571,0.00,-0.09,252.00,0,2
25602,0.00,-0.09,252.00,0,2
25633,0.00,-0.09,252.00,0,2
25664,0.00,-0.09,252.00,0,2
25695,0.00,-0.09,252.00,0,2
25726,0.00,-0.09,252.00,0,2
25757,0.00,-0.09,252.00,0,2
25788,0.00,-0.09,252.00,0,2
25818,0.00,-0.09,252.00,0,2
25849,0.00,-0.09,252.00,0,2
25880,0.00,-0.18,251.00,0,3
25911,0.00,-0.18,251.00,0,2
25942,0.00,-0.18,251.00,0,2,0
25973,0.00,-0.18,251.00,0,2
26004,0.00,-0.18,251.00,0,2,0
26035,0.00,-0.18,251.00,0,2
26065,0.00,-0.18,251.00,0,3
26096,0.00,-0.18,251.00,0,2
26127,0.00,-0.18,251.00,0,2
26158,0.00,-0.18,251.00,0,2
26189,0.00,-0.18,251.00,0,3
26220,0.00,-0.18,251.00,0,2
26251,0.00,-0.18,251.00,0,2
26281,0.00,-0.18,251.00,0,2
26312,0.00,-0.18,251.00,0,3
26343,0.00,-0.18,251.00,0,2
26374,0.00,-0.18,251.00,0,2
26405,0.00,-0.18,251.00,0,3,0
26436,0.00,-0.18,251.00,0,3
26467,0.00,-0.18,251.00,0,2,0
26498,0.00,-0.18,251.00,0,3
26528,0.00,-0.18,251.00,0,2
26559,0.00,-0.18,251.00,0,2
26590,0.00,-0.18,251.00,0,2
26621,0.00,-0.18,251.00,0,2
26652,0.00,-0.18,251.00,0,2
26683,0.00,-0.18,251.00,0,2
26714,0.00,-0.18,251.00,0,2
26744,0.00,-0.18,251.00,0,2
26775,0.00,-0.18,251.00,0,2
26806,0.00,-0.18,251.00,0,2
26837,0.00,-0.18,251.00,0,2
26868,0.00,-0.18,251.00,0,2
26899,0.00,-0.18,251.00,0,2
26930,0.00,-0.26,250.00,0,2,0
26961,0.00,-0.26,250.00,0,2
26991,0.00,-0.26,250.00,0,3
27022,0.00,-0.26,250.00,0,3
27053,0.00,-0.26,250.00,0,2
27084,0.00,-0.26,250.00,0,1
27115,0.00,-0.26,250.00,0,2
27146,0.00,-0.26,250.00,0,2
27177,0.00,-0.26,250.00,0,2
27208,0.00,-0.26,250.00,0,2
27238,0.00,-0.26,250.00,0,2
27269,0.00,-0.26,250.00,0,2
27300,0.00,-0.26,250.00,0,3
27331,0.00,-0.26,250.00,0,3
27362,0.00,-0.18,251.00,0,2
27393,0.00,-0.18,251.00,0,2,0
27424,0.00,-0.18,251.00,0,2
27454,0.00,-0.18,251.00,0,2
27485,0.00,-0.18,251.00,0,2
27516,0.00,-0.18,251.00,0,2
27547,0.00,-0.18,251.00,0,3
27578,0.00,-0.18,251.00,0,3
27609,0.00,-0.18,251.00,0,2
27640,0.00,-0.18,251.00,0,2
27670,0.00,-0.18,251.00,0,2
27701,0.00,-0.18,251.00,0,2
27732,0.00,-0.18,251.00,0,2
27763,0.00,-0.18,251.00,0,2
27794,0.00,-0.18,251.00,0,3
27825,0.00,-0.18,251.00,0,3
27856,0.00,-0.18,251.00,0,3,0
27887,0.00,-0.18,251.00,0,2
27917,0.00,-0.18,251.00,0,2
27948,0.00,-0.18,251.00,0,3
27979,0.00,-0.18,251.00,0,2
28010,0.00,-0.18,251.00,0,2
28041,0.00,-0.18,251.00,0,2
28072,0.00,-0.18,251.00,0,2
28103,0.00,-0.18,251.00,0,2
28133,0.00,-0.18,251.00,0,2
28164,0.00,-0.18,251.00,0,2
28195,0.00,-0.18,251.00,0,2
28226,0.00,-0.18,251.00,0,2
28257,0.00,-0.18,251.00,0,2
28288,0.00,-0.18,251.00,0,2
28319,0.00,-0.18,251.00,0,2,0
28350,0.00,-0.18,251.00,0,3
28380,0.00,-0.18,251.00,0,2
28411,0.00,-0.18,251.00,0,3
28442,0.00,-0.18,251.00,0,0
28473,0.00,-0.18,251.00,0,0
28504,0.00,-0.18,251.00,0,2
28535,0.00,-0.18,251.00,0,2
28566,0.00,-0.18,251.00,0,2
28596,0.00,-0.18,251.00,0,1
28627,0.00,-0.18,251.00,0,1
28658,0.00,-0.18,251.00,0,1
28689,0.00,-0.18,251.00,0,2
28720,0.00,-0.18,251.00,0,1
28751,0.00,-0.18,251.00,0,2
28782,0.00,-0.18,251.00,0,2,0
28813,0.00,-0.18,251.00,0,2
28843,0.00,-0.18,251.00,0,2,0
28874,0.00,-0.18,251.00,0,2
28905,0.00,-0.18,251.00,0,2
28936,0.00,-0.18,251.00,0,1
28967,0.00,-0.18,251.00,0,2
28998,0.00,-0.18,251.00,0,2
29029,0.00,-0.18,251.00,0,2
29059,0.00,-0.18,251.00,0,2
29090,0.00,-0.18,251.00,0,2
29121,0.00,-0.18,251.00,0,2
29152,0.00,-0.18,251.00,0,3
29183,0.00,-0.18,251.00,0,2
29214,0.00,-0.18,251.00,0,2
29245,0.00,-0.18,251.00,0,2
29276,0.00,-0.18,251.00,0,2
29306,0.00,-0.18,251.00,0,2,0
29337,0.00,-0.18,251.00,0,2
29368,0.00,-0.18,251.00,0,2
29399,0.00,-0.18,251.00,0,2
29430,0.00,-0.18,251.00,0,2
29461,0.00,-0.18,251.00,0,2
29492,0.00,-0.18,251.00,0,2
29522,0.00,-0.18,251.00,0,2
29553,0.00,-0.18,251.00,0,2
29584,0.00,-0.18,251.00,0,2
29615,0.00,-0.18,251.00,0,2
29646,0.00,-0.18,251.00,0,2
29677,0.00,-0.18,251.00,0,2
29708,0.00,-0.18,251.00,0,2
29738,0.00,-0.18,251.00,0,2
29769,0.00,-0.18,251.00,0,2,0
29800,0.00,-0.18,251.00,0,2
29831,0.00,-0.18,251.00,0,2
29862,0.00,-0.18,251.00,0,2
29893,0.00,-0.18,251.00,0,2
29924,0.00,-0.18,251.00,0,2
29955,0.00,-0.18,251.00,0,2
29985,0.00,-0.18,251.00,0,2
30016,0.00,-0.18,251.00,0,3
30047,0.00,-0.18,251.00,0,5
30078,0.00,-0.18,251.00,0,5
30109,0.00,-0.18,251.00,0,6
30140,0.00,-0.18,251.00,0,6
30171,0.00,-0.18,251.00,0,5
30201,0.00,-0.18,251.00,0,3
30232,0.00,-0.09,252.00,0,3,0
30263,0.00,-0.09,252.00,0,5
30294,0.00,-0.09,252.00,0,5
30325,0.00,-0.09,252.00,0,5
30356,0.00,-0.09,252.00,0,6
30387,0.00,-0.18,251.00,0,5
30418,0.00,-0.18,251.00,0,3
30449,0.00,-0.18,251.00,0,3
30480,0.00,-0.18,251.00,0,3
30510,0.00,-0.18,251.00,0,3
30541,0.00,-0.18,251.00,0,3
30572,0.00,-0.18,251.00,0,3
30603,0.00,-0.18,251.00,0,3
30634,0.00,-0.18,251.00,0,3
30665,0.00,-0.18,251.00,0,3
30696,0.00,-0.18,251.00,0,3,0
30726,0.00,-0.18,251.00,0,3
30757,0.00,-0.18,251.00,0,3
30788,0.00,-0.18,251.00,0,3
30819,0.00,-0.18,251.00,0,3
30850,0.00,-0.18,251.00,0,3
30881,0.00,-0.18,251.00,0,3
30912,0.00,-0.18,251.00,0,3
30943,0.00,-0.18,251.00,0,3
30973,0.00,-0.18,251.00,0,2
31004,0.00,-0.18,251.00,0,3
31035,0.00,-0.18,251.00,0,3
31066,0.00,-0.18,251.00,0,2
31097,0.00,-0.18,251.00,0,2
31128,0.00,-0.18,251.00,0,3
31159,0.00,-0.18,251.00,0,3,0
31189,0.00,-0.18,251.00,0,2
31220,0.00,-0.18,251.00,0,2,0
31251,0.00,-0.18,251.00,0,2
31282,0.00,-0.18,251.00,0,3
31313,0.00,-0.18,251.00,0,2
31344,0.00,-0.18,251.00,0,3
31375,0.00,-0.18,251.00,0,2
31405,0.00,-0.18,251.00,0,2
31436,0.00,-0.18,251.00,0,2
31467,0.00,-0.18,251.00,0,2
31498,0.00,-0.18,251.00,0,3
31529,0.00,-0.18,251.00,0,2
31560,0.00,-0.18,251.00,0,2
31591,0.00,-0.18,251.00,0,3
31622,0.00,-0.18,251.00,0,3
31652,0.00,-0.18,251.00,0,2
31683,0.00,-0.18,251.00,0,2,0
31714,0.00,-0.18,251.00,0,3
31745,0.00,-0.18,251.00,0,3
31776,0.00,-0.18,251.00,0,2
31807,0.00,-0.18,251.00,0,3
31838,0.00,-0.18,251.00,0,2
31869,0.00,-0.18,251.00,0,3
31899,0.00,-0.18,251.00,0,3
31930,0.00,-0.18,251.00,0,3
31961,0.00,-0.18,251.00,0,3
31992,0.00,-0.18,251.00,0,3
32023,0.00,-0.18,251.00,0,2
32054,0.00,-0.18,251.00,0,2
32085,0.00,-0.18,251.00,0,2
32115,0.00,-0.18,251.00,0,3
32146,0.00,-0.18,251.00,0,2,0
32177,0.00,-0.18,251.00,0,3
32208,0.00,-0.18,251.00,0,2
32239,0.00,-0.18,251.00,0,2
32270,0.00,-0.18,251.00,0,3
32301,0.00,-0.18,251.00,0,3
32332,0.00,-0.18,251.00,0,3
32362,0.00,-0.18,251.00,0,3
32393,0.00,-0.18,251.00,0,2
32424,0.00,-0.18,251.00,0,3
32455,0.00,-0.18,251.00,0,3
32486,0.00,-0.18,251.00,0,3
32517,0.00,-0.18,251.00,0,3
32548,0.00,-0.18,251.00,0,3
32578,0.00,-0.18,251.00,0,3
32609,0.00,-0.18,251.00,0,3,0
32640,0.00,-0.18,251.00,0,3
32671,0.00,-0.18,251.00,0,3
32702,0.00,-0.18,251.00,0,3
32733,0.00,-0.18,251.00,0,3
32764,0.00,-0.18,251.00,0,3
32795,0.00,-0.18,251.00,0,3
32825,0.00,-0.18,251.00,0,3
32856,0.00,-0.18,251.00,0,2
32887,0.00,-0.18,251.00,0,2
32918,0.00,-0.18,251.00,0,3
32949,0.00,-0.18,251.00,0,3
32980,0.00,-0.18,251.00,0,3
33011,0.00,-0.18,251.00,0,2
33042,0.00,-0.18,251.00,0,2
33072,0.00,-0.18,251.00,0,2,0
33103,0.00,-0.18,251.00,0,2
33134,0.00,-0.18,251.00,0,2
33165,0.00,-0.18,251.00,0,3
33196,0.00,-0.18,251.00,0,3
33227,0.00,-0.18,251.00,0,3
33258,0.00,-0.18,251.00,0,2
33288,0.00,-0.18,251.00,0,3
33319,0.00,-0.18,251.00,0,2
33350,0.00,-0.18,251.00,0,3
33381,0.00,-0.18,251.00,0,2
33412,0.00,-0.18,251.00,0,3
33443,0.00,-0.18,251.00,0,2
33474,0.00,-0.18,251.00,0,3
33505,0.00,-0.18,251.00,0,3
33535,0.00,-0.18,251.00,0,3,0
33566,0.00,-0.18,251.00,0,2
33597,0.00,-0.18,251.00,0,3,0
33628,0.00,-0.18,251.00,0,3
33659,0.00,-0.18,251.00,0,3
33690,0.00,-0.18,251.00,0,2
33721,0.00,-0.18,251.00,0,2
33751,0.00,-0.18,251.00,0,3
33782,0.00,-0.18,251.00,0,3
