time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.73,30.78,254.00,0
252,111.39,124.52,254.00,0
252,207.89,217.43,253.00,0
255,262.18,265.56,253.00,0
252,273.67,273.20,253.00,0
252,264.63,263.10,253.00,0
253,253.81,252.85,253.00,0
255,249.33,249.23,253.00,0
253,250.27,250.57,253.00,0
252,252.66,252.88,253.00,0
255,253.77,253.84,253.00,0
252,254.04,254.01,253.00,0
252,253.45,253.34,253.00,0
253,252.58,252.50,253.00,0
252,252.26,252.25,253.00,0
252,252.21,252.21,253.00,0
252,252.15,252.14,253.00,0
252,252.06,252.05,253.00,0
252,252.01,252.00,253.00,0
252,251.99,252.00,253.00,0
252,252.20,252.25,253.00,0
252,252.57,252.59,252.00,0
252,252.54,252.51,252.00,0
252,252.27,252.23,252.00,0
252,252.17,252.20,252.00,0
252,252.40,252.42,252.00,0
252,252.42,252.41,252.00,0
251,252.32,252.27,252.00,0
251,251.64,251.55,252.00,0
251,250.99,250.92,252.00,0
251,250.54,250.51,252.00,0
251,250.51,250.54,252.00,0
252,250.95,251.07,252.00,0
254,252.15,252.31,252.00,0
255,253.29,253.40,252.00,0
252,253.98,254.00,252.00,0
252,253.85,253.80,252.00,0
252,253.23,253.13,252.00,0
252,252.48,252.39,252.00,0
254,252.07,252.06,252.00,0
255,252.35,252.46,253.00,0
252,253.25,253.33,253.00,0
27413,0.00,0.00,253.00,0,3
27444,0.00,0.00,253.00,0,3
27475,0.00,0.00,253.00,0,3
27505,0.00,0.00,253.00,0,3
27536,0.00,0.00,253.00,0,2
27567,0.00,0.00,253.00,0,2
27598,0.00,0.00,253.00,0,2
27629,0.00,0.00,253.00,0,3
27659,0.00,0.00,253.00,0,3
27690,0.00,0.00,253.00,0,2
27721,0.00,0.00,253.00,0,3,0
27752,0.00,0.00,253.00,0,3
27783,0.00,0.00,253.00,0,2,0
27814,0.00,0.00,253.00,0,3
27844,0.00,0.00,253.00,0,3
27875,0.00,0.00,253.00,0,3
27906,0.00,0.00,253.00,0,3
27937,0.00,0.00,253.00,0,3
27968,0.00,0.00,253.00,0,3
27998,0.00,0.00,253.00,0,3
28029,0.00,0.00,253.00,0,3
28060,0.00,0.00,253.00,0,2
28091,0.00,0.00,253.00,0,3
28122,0.00,0.00,253.00,0,3
28153,0.00,0.00,253.00,0,3
28183,0.00,0.00,253.00,0,3
28214,0.00,0.00,253.00,0,3
28245,0.00,0.00,253.00,0,2,0
28276,0.00,0.00,253.00,0,2
28307,0.00,0.00,253.00,0,3,0
28338,0.00,0.00,253.00,0,2
28368,0.00,0.00,253.00,0,3
28399,0.00,0.00,253.00,0,3
28430,0.00,0.00,253.00,0,3
28461,0.00,0.00,253.00,0,3
28492,0.00,0.00,253.00,0,3
28522,0.00,0.00,253.00,0,3
28553,0.00,0.00,253.00,0,3
28584,0.00,0.00,253.00,0,3
28615,0.00,0.00,253.00,0,3
28646,0.00,0.00,253.00,0,2
28677,0.00,0.00,253.00,0,3
28707,0.00,0.00,253.00,0,3,0
28738,0.00,0.00,253.00,0,3
28769,0.00,0.00,253.00,0,3,0
28800,0.00,0.00,253.00,0,3
28831,0.00,0.00,253.00,0,3,0
28862,0.00,0.00,253.00,0,3
28892,0.00,0.00,253.00,0,3
28923,0.00,0.00,253.00,0,3
28954,0.00,0.00,253.00,0,3
28985,0.00,0.00,253.00,0,3
29016,0.00,0.00,253.00,0,2
29047,0.00,0.00,253.00,0,3
29077,0.00,0.00,253.00,0,3
29108,0.00,0.00,253.00,0,3
29139,0.00,0.00,253.00,0,2
29170,0.00,0.00,253.00,0,3
29201,0.00,-0.09,252.00,0,3
29232,0.00,-0.09,252.00,0,2,0
29263,0.00,-0.09,252.00,0,3
29293,0.00,-0.09,252.00,0,3
29324,0.00,0.00,253.00,0,3
29355,0.00,-0.09,252.00,0,3
29386,0.00,-0.09,252.00,0,3
29417,0.00,-0.09,252.00,0,2
29448,0.00,0.00,253.00,0,2
29479,0.00,0.00,253.00,0,3
29510,0.00,0.00,253.00,0,3
29540,0.00,0.00,253.00,0,3
29571,0.00,0.00,253.00,0,3
29602,0.00,0.00,253.00,0,3
29633,0.00,0.00,253.00,0,3
29664,0.00,0.00,253.00,0,3
29695,0.00,0.00,253.00,0,3,0
29725,0.00,0.00,253.00,0,3
29756,0.00,0.00,253.00,0,3,0
29787,0.00,0.00,253.00,0,3
29818,0.00,0.00,253.00,0,3,0
29849,0.00,0.00,253.00,0,2
29879,0.00,0.00,253.00,0,3
29910,0.00,0.00,253.00,0,3
29941,0.00,0.00,253.00,0,3
29972,0.00,0.00,253.00,0,3
30003,0.00,0.00,253.00,0,2
30034,0.00,0.00,253.00,0,2
30064,0.00,0.00,253.00,0,3
30095,0.00,0.00,253.00,0,2
30126,0.00,0.00,253.00,0,2
30157,0.00,0.00,253.00,0,3
30188,0.00,0.00,253.00,0,3
30219,0.00,0.00,253.00,0,2,0
30249,0.00,0.00,253.00,0,3
30280,0.00,0.00,253.00,0,2,0
30311,0.00,0.00,253.00,0,3
30342,0.00,0.00,253.00,0,3
30373,0.00,0.00,253.00,0,2
30403,0.00,0.00,253.00,0,2
30434,0.00,0.00,253.00,0,2
30465,0.00,0.00,253.00,0,3
30496,0.00,0.00,253.00,0,2
30527,0.00,0.00,253.00,0,3
30558,0.00,0.00,253.00,0,3
30588,0.00,0.00,253.00,0,2
30619,0.00,0.00,253.00,0,3
30650,0.00,0.00,253.00,0,2
30681,0.00,0.00,253.00,0,3
30712,0.00,0.00,253.00,0,3
30743,0.00,0.00,253.00,0,2,0
30773,0.00,0.00,253.00,0,3
30804,0.00,0.00,253.00,0,3,0
30835,0.00,0.00,253.00,0,3
30866,0.00,0.00,253.00,0,3
30897,0.00,0.00,253.00,0,2
30928,0.00,0.00,253.00,0,2
30958,0.00,0.00,253.00,0,3
30989,0.00,0.00,253.00,0,3
31020,0.00,0.00,253.00,0,2
31051,0.00,0.00,253.00,0,2
31082,0.00,0.00,253.00,0,2
31112,0.00,0.00,253.00,0,2
31143,0.00,0.00,253.00,0,2
31174,0.00,0.00,253.00,0,3
31205,0.00,0.00,253.00,0,3,0
31236,0.00,0.00,253.00,0,3
31267,0.00,0.00,253.00,0,2,0
31297,0.00,0.00,253.00,0,2
31328,0.00,0.00,253.00,0,3,0
31359,0.00,0.00,253.00,0,3
31390,0.00,0.00,253.00,0,3
31421,0.00,0.00,253.00,0,2
31452,0.00,0.00,253.00,0,2
31482,0.00,0.00,253.00,0,3
31513,0.00,0.00,253.00,0,2
31544,0.00,0.00,253.00,0,3
31575,0.00,0.00,253.00,0,3
31606,0.00,0.00,253.00,0,2
31637,0.00,0.00,253.00,0,2
31667,0.00,0.00,253.00,0,3
31698,0.00,0.00,253.00,0,3
31729,0.00,0.00,253.00,0,3,0
31760,0.00,0.00,253.00,0,3
31791,0.00,0.00,253.00,0,3,0
31821,0.00,0.00,253.00,0,3
31852,0.00,0.00,253.00,0,3
31883,0.00,0.00,253.00,0,3
31914,0.00,0.00,253.00,0,3
31945,0.00,0.00,253.00,0,2
31976,0.00,0.00,253.00,0,2
32006,0.00,0.00,253.00,0,2
32037,0.00,0.00,253.00,0,2
32068,0.00,0.00,253.00,0,3
32099,0.00,0.00,253.00,0,3
32130,0.00,0.00,253.00,0,2
32161,0.00,0.00,253.00,0,2
32191,0.00,0.00,253.00,0,2
32222,0.00,0.00,253.00,0,3
32253,0.00,0.00,253.00,0,2,0
32284,0.00,0.00,253.00,0,3
32315,0.00,0.00,253.00,0,3,0
32346,0.00,0.00,253.00,0,2
32376,0.00,0.00,253.00,0,2
32407,0.00,0.00,253.00,0,2
32438,0.00,0.00,253.00,0,2
32469,0.00,0.00,253.00,0,2
32500,0.00,0.00,253.00,0,2
32531,0.00,0.00,253.00,0,3
32561,0.00,0.00,253.00,0,3
32592,0.00,0.00,253.00,0,2
32623,0.00,0.00,253.00,0,2
32654,0.00,0.00,253.00,0,2
32685,0.00,0.00,253.00,0,2
32716,0.00,0.00,253.00,0,3
32746,0.00,0.00,253.00,0,2
32777,0.00,0.00,253.00,0,3,0
32808,0.00,0.00,253.00,0,2
32839,0.00,0.00,253.00,0,2,0
32870,0.00,0.00,253.00,0,2
32901,0.00,0.00,253.00,0,3
32931,0.00,0.00,253.00,0,3
32962,0.00,0.00,253.00,0,3
32993,0.00,0.00,253.00,0,3
33024,0.00,0.00,253.00,0,2
33055,0.00,0.00,253.00,0,2
33085,0.00,0.00,253.00,0,3
33116,0.00,0.00,253.00,0,2
33147,0.00,-0.09,252.00,0,3
33178,0.00,-0.09,252.00,0,2
33209,0.00,-0.09,252.00,0,3
33240,0.00,-0.09,252.00,0,3,0
33271,0.00,-0.09,252.00,0,2
33302,0.00,-0.09,252.00,0,3
33333,0.00,-0.09,252.00,0,3
33364,0.00,-0.09,252.00,0,3
33395,0.00,-0.09,252.00,0,3
33425,0.00,-0.09,252.00,0,3
33456,0.00,-0.09,252.00,0,3
33487,0.00,-0.09,252.00,0,3
33518,0.00,-0.09,252.00,0,3
33549,0.00,-0.09,252.00,0,2
33580,0.00,0.00,253.00,0,3
33611,0.00,0.00,253.00,0,2
33642,0.00,0.00,253.00,0,3
33673,0.00,0.00,253.00,0,3
33703,0.00,0.00,253.00,0,2,0
33734,0.00,0.00,253.00,0,3
33765,0.00,0.00,253.00,0,2,0
33796,0.00,0.00,253.00,0,2
33827,0.00,0.00,253.00,0,2
33858,0.00,0.00,253.00,0,3
33888,0.00,0.00,253.00,0,3
33919,0.00,-0.09,252.00,0,2
33950,0.00,-0.09,252.00,0,2
33981,0.00,-0.09,252.00,0,2
34012,0.00,-0.09,252.00,0,3
34043,0.00,-0.09,252.00,0,2
34074,0.00,-0.09,252.00,0,2
34105,0.00,-0.09,252.00,0,3
34136,0.00,-0.09,252.00,0,2
34167,0.00,-0.09,252.00,0,2,0
34198,0.00,-0.09,252.00,0,2
34228,0.00,-0.09,252.00,0,2
34259,0.00,-0.09,252.00,0,3
34290,0.00,-0.09,252.00,0,2
34321,0.00,-0.09,252.00,0,2
34352,0.00,-0.09,252.00,0,3
34383,0.00,-0.09,252.00,0,2
34414,0.00,-0.09,252.00,0,3
34445,0.00,-0.09,252.00,0,2
34476,0.00,-0.09,252.00,0,3
34507,0.00,-0.09,252.00,0,3
34538,0.00,-0.09,252.00,0,3
34569,0.00,-0.09,252.00,0,2,0
34600,0.00,-0.09,252.00,0,2
34630,0.00,-0.09,252.00,0,3,0
34661,0.00,-0.09,252.00,0,3
34692,0.00,-0.09,252.00,0,3
34723,0.00,-0.09,252.00,0,2
34754,0.00,-0.09,252.00,0,2
34785,0.00,-0.09,252.00,0,2
34816,0.00,-0.09,252.00,0,2
34847,0.00,-0.09,252.00,0,2
34878,0.00,-0.09,252.00,0,3
34909,0.00,-0.09,252.00,0,2
34940,0.00,-0.09,252.00,0,3
34971,0.00,-0.09,252.00,0,2
35002,0.00,-0.09,252.00,0,2
35032,0.00,-0.09,252.00,0,2,0
35063,0.00,-0.09,252.00,0,3
35094,0.00,-0.09,252.00,0,2
35125,0.00,-0.09,252.00,0,3
35156,0.00,-0.09,252.00,0,3
35187,0.00,-0.09,252.00,0,3
35218,0.00,-0.09,252.00,0,3
35249,0.00,-0.09,252.00,0,2
35280,0.00,-0.09,252.00,0,3
35311,0.00,-0.09,252.00,0,3
35342,0.00,-0.09,252.00,0,2
35373,0.00,-0.09,252.00,0,3
35404,0.00,-0.09,252.00,0,3
35434,0.00,-0.09,252.00,0,3
35465,0.00,-0.09,252.00,0,2
35496,0.00,-0.09,252.00,0,2,0
35527,0.00,-0.09,252.00,0,3
35558,0.00,-0.09,252.00,0,3
35589,0.00,-0.09,252.00,0,3
35620,0.00,-0.09,252.00,0,3
35651,0.00,-0.09,252.00,0,2
35682,0.00,-0.09,252.00,0,2
35713,0.00,-0.09,252.00,0,2
35744,0.00,-0.09,252.00,0,3
35775,0.00,-0.09,252.00,0,2
35806,0.00,-0.09,252.00,0,3
35837,0.00,-0.09,252.00,0,2
35867,0.00,-0.09,252.00,0,2
35898,0.00,-0.09,252.00,0,3,0
35929,0.00,-0.09,252.00,0,2
35960,0.00,-0.09,252.00,0,3
35991,0.00,-0.09,252.00,0,2
36022,0.00,-0.09,252.00,0,2
36053,0.00,-0.09,252.00,0,3
36084,0.00,-0.09,252.00,0,3
36115,0.00,-0.09,252.00,0,2
36146,0.00,-0.09,252.00,0,2
36177,0.00,-0.09,252.00,0,3
36208,0.00,-0.09,252.00,0,2
36239,0.00,-0.09,252.00,0,3
36270,0.00,-0.09,252.00,0,3
36300,0.00,-0.09,252.00,0,2
36331,0.00,-0.09,252.00,0,3
36362,0.00,-0.09,252.00,0,3,0
36393,0.00,-0.09,252.00,0,2
36424,0.00,-0.09,252.00,0,3
36455,0.00,-0.09,252.00,0,2
36486,0.00,-0.09,252.00,0,3
36517,0.00,-0.09,252.00,0,3
36548,0.00,-0.09,252.00,0,2
36579,0.00,-0.09,252.00,0,3
36610,0.00,-0.09,252.00,0,2
36641,0.00,-0.09,252.00,0,2
36672,0.00,-0.18,251.00,0,2
36703,0.00,-0.18,251.00,0,2
36733,0.00,-0.18,251.00,0,2
36764,0.00,-0.18,251.00,0,2,0
36795,0.00,-0.18,251.00,0,3
36826,0.00,-0.18,251.00,0,3,0
36857,0.00,-0.18,251.00,0,2
36888,0.00,-0.18,251.00,0,2
36919,0.00,-0.18,251.00,0,2
36950,0.00,-0.18,251.00,0,2
36981,0.00,-0.18,251.00,0,2
37012,0.00,-0.18,251.00,0,2
37043,0.00,-0.18,251.00,0,3
37074,0.00,-0.18,251.00,0,3
37105,0.00,-0.18,251.00,0,3
37136,0.00,-0.18,251.00,0,2
37166,0.00,-0.18,251.00,0,2
37197,0.00,-0.18,251.00,0,3
37228,0.00,-0.18,251.00,0,3,0
37259,0.00,-0.18,251.00,0,3
37290,0.00,-0.18,251.00,0,3
37321,0.00,-0.18,251.00,0,3
37352,0.00,-0.18,251.00,0,3
37383,0.00,-0.18,251.00,0,2
37414,0.00,-0.18,251.00,0,3
37445,0.00,-0.09,252.00,0,2
37476,0.00,-0.09,252.00,0,2
37507,0.00,-0.09,252.00,0,3
37537,0.00,-0.09,252.00,0,2
37568,0.00,-0.09,252.00,0,3
37599,0.00,-0.09,252.00,0,2
37630,0.00,-0.09,252.00,0,2,0
