time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.70,30.73,254.00,0
255,111.36,124.53,255.00,0
255,208.35,217.97,254.00,0
256,263.54,267.06,255.00,0
252,275.72,275.25,255.00,0
255,266.49,264.94,255.00,0
252,255.56,254.57,254.00,0
253,250.35,250.11,254.00,0
252,250.11,250.27,254.00,0
252,251.74,251.97,254.00,0
252,253.41,253.56,254.00,0
254,253.96,253.93,254.00,0
252,253.46,253.37,254.00,0
255,252.77,252.73,254.00,0
254,252.91,252.96,254.00,0
255,253.39,253.47,254.00,0
255,254.07,254.13,254.00,0
255,254.50,254.54,254.00,0
252,254.71,254.71,254.00,0
255,254.54,254.51,254.00,0
255,254.24,254.20,254.00,0
255,253.98,253.97,254.00,0
255,254.04,254.05,254.00,0
255,254.20,254.24,254.00,0
255,254.55,254.59,254.00,0
253,254.73,254.73,254.00,0
255,254.59,254.57,254.00,0
253,254.52,254.53,254.00,0
253,254.38,254.31,254.00,0
256,253.80,253.78,254.00,0
252,254.08,254.18,254.00,0
254,254.55,254.53,254.00,0
255,254.20,254.16,254.00,0
255,254.14,254.16,254.00,0
255,254.47,254.50,254.00,0
255,254.64,254.65,254.00,0
255,254.76,254.78,254.00,0
255,254.72,254.68,254.00,0
255,254.42,254.40,254.00,0
255,254.46,254.49,254.00,0
255,254.73,254.76,255.00,0
253,254.89,254.90,255.00,0
18001,0.00,0.00,255.00,0,0
18031,0.00,0.00,255.00,0,0
18062,0.00,-0.09,254.00,0,0
18093,0.00,0.00,255.00,0,0
18124,0.00,0.00,255.00,0,0
18155,0.00,0.00,255.00,0,0
18186,0.00,0.00,255.00,0,0
18216,0.00,0.00,255.00,0,0
18247,0.00,0.00,255.00,0,0
18278,0.00,0.00,255.00,0,0,0
18309,0.00,0.00,255.00,0,0
18340,0.00,0.00,255.00,0,0,0
18370,0.00,0.00,255.00,0,0
18401,0.00,-0.09,254.00,0,0
18432,0.00,-0.09,254.00,0,0
18463,0.00,-0.09,254.00,0,0
18494,0.00,-0.09,254.00,0,0
18525,0.00,-0.09,254.00,0,0
18556,0.00,-0.09,254.00,0,0
18587,0.00,-0.09,254.00,0,0
18618,0.00,-0.09,254.00,0,0
18648,0.00,-0.09,254.00,0,0
18679,0.00,-0.09,254.00,0,0
18710,0.00,-0.09,254.00,0,0
18741,0.00,-0.09,254.00,0,0,0
18772,0.00,-0.09,254.00,0,0
18803,0.00,-0.09,254.00,0,0
18834,0.00,-0.09,254.00,0,0
18865,0.00,-0.09,254.00,0,0
18896,0.00,-0.09,254.00,0,0
18927,0.00,-0.09,254.00,0,0
18957,0.00,-0.09,254.00,0,0
18988,0.00,-0.09,254.00,0,0
19019,0.00,-0.09,254.00,0,0
19050,0.00,-0.09,254.00,0,0
19081,0.00,-0.09,254.00,0,0
19112,0.00,-0.09,254.00,0,0
19143,0.00,-0.09,254.00,0,0
19174,0.00,-0.09,254.00,0,0
19205,0.00,-0.09,254.00,0,0
19236,0.00,-0.09,254.00,0,0
19266,0.00,-0.09,254.00,0,0
19297,0.00,-0.09,254.00,0,0
19328,0.00,-0.09,254.00,0,0
19359,0.00,-0.09,254.00,0,0
19390,0.00,-0.09,254.00,0,0
19421,0.00,-0.09,254.00,0,0
19452,0.00,-0.09,254.00,0,0
19483,0.00,-0.09,254.00,0,0
19514,0.00,-0.09,254.00,0,0
19545,0.00,-0.09,254.00,0,0
19575,0.00,-0.09,254.00,0,0
19606,0.00,-0.09,254.00,0,0
19637,0.00,-0.09,254.00,0,0
19668,0.00,-0.09,254.00,0,0,0
19699,0.00,-0.09,254.00,0,0
19730,0.00,-0.09,254.00,0,0
19761,0.00,-0.09,254.00,0,0
19792,0.00,-0.09,254.00,0,0
19823,0.00,-0.09,254.00,0,0
19854,0.00,-0.09,254.00,0,0
19884,0.00,-0.09,254.00,0,0
19915,0.00,-0.09,254.00,0,0
19946,0.00,-0.09,254.00,0,0
19977,0.00,-0.09,254.00,0,0
20008,0.00,-0.09,254.00,0,0
20039,0.00,-0.09,254.00,0,0
20070,0.00,-0.09,254.00,0,0,0
20101,0.00,-0.09,254.00,0,0
20132,0.00,-0.09,254.00,0,0,0
20163,0.00,-0.09,254.00,0,0
20193,0.00,-0.09,254.00,0,0,0
20224,0.00,-0.09,254.00,0,0
20255,0.00,-0.09,254.00,0,0
20286,0.00,-0.09,254.00,0,0
20317,0.00,-0.09,254.00,0,0
20348,0.00,-0.09,254.00,0,0
20379,0.00,-0.09,254.00,0,0
20410,0.00,-0.09,254.00,0,0
20441,0.00,-0.09,254.00,0,0
20472,0.00,-0.09,254.00,0,0
20502,0.00,-0.09,254.00,0,0
20533,0.00,-0.09,254.00,0,0,0
20564,0.00,-0.09,254.00,0,0
20595,0.00,-0.09,254.00,0,0
20626,0.00,-0.09,254.00,0,0
20657,0.00,-0.09,254.00,0,0
20688,0.00,-0.09,254.00,0,0
20719,0.00,-0.09,254.00,0,0
20750,0.00,-0.09,254.00,0,0
20780,0.00,-0.09,254.00,0,0
20811,0.00,-0.09,254.00,0,0
20842,0.00,-0.09,254.00,0,0
20873,0.00,-0.09,254.00,0,0
20904,0.00,-0.09,254.00,0,0
20935,0.00,-0.09,254.00,0,0
20966,0.00,-0.09,254.00,0,0
20997,0.00,-0.09,254.00,0,0,0
21028,0.00,-0.09,254.00,0,0
21059,0.00,-0.09,254.00,0,0
21089,0.00,-0.09,254.00,0,0
21120,0.00,-0.09,254.00,0,0
21151,0.00,-0.09,254.00,0,0
21182,0.00,-0.09,254.00,0,0
21213,0.00,-0.09,254.00,0,0
21244,0.00,-0.09,254.00,0,0
21275,0.00,-0.09,254.00,0,0
21306,0.00,-0.09,254.00,0,0
21337,0.00,-0.09,254.00,0,0
21368,0.00,-0.09,254.00,0,0
21399,0.00,-0.09,254.00,0,0
21429,0.00,-0.09,254.00,0,0
21460,0.00,-0.09,254.00,0,0,0
21491,0.00,-0.09,254.00,0,0
21522,0.00,-0.09,254.00,0,0
21553,0.00,-0.09,254.00,0,0
21584,0.00,-0.09,254.00,0,0
21615,0.00,-0.09,254.00,0,0
21646,0.00,-0.09,254.00,0,0
21677,0.00,-0.09,254.00,0,0
21708,0.00,-0.09,254.00,0,0
21738,0.00,-0.09,254.00,0,0
21769,0.00,-0.09,254.00,0,0
21800,0.00,-0.09,254.00,0,0
21831,0.00,-0.09,254.00,0,0
21862,0.00,-0.09,254.00,0,0
21893,0.00,-0.09,254.00,0,0
21924,0.00,-0.09,254.00,0,0,0
21955,0.00,-0.09,254.00,0,0
21986,0.00,-0.09,254.00,0,0
22017,0.00,-0.09,254.00,0,0
22048,0.00,-0.09,254.00,0,0
22079,0.00,-0.09,254.00,0,0
22109,0.00,-0.09,254.00,0,0
22140,0.00,-0.09,254.00,0,0
22171,0.00,-0.18,253.00,0,0
22202,0.00,-0.18,253.00,0,0
22233,0.00,-0.18,253.00,0,0
22264,0.00,-0.18,253.00,0,0
22295,0.00,-0.18,253.00,0,0
22326,0.00,-0.18,253.00,0,0,0
22357,0.00,-0.18,253.00,0,0
22388,0.00,-0.18,253.00,0,0,0
22418,0.00,-0.18,253.00,0,0
22449,0.00,-0.18,253.00,0,0
22480,0.00,-0.18,253.00,0,0
22511,0.00,-0.18,253.00,0,0
22542,0.00,-0.18,253.00,0,0
22573,0.00,-0.18,253.00,0,0
22604,0.00,-0.18,253.00,0,0
22635,0.00,-0.18,253.00,0,0
22666,0.00,-0.18,253.00,0,0
22697,0.00,-0.18,253.00,0,0
22728,0.00,-0.18,253.00,0,0
22758,0.00,-0.18,253.00,0,0
22789,0.00,-0.18,253.00,0,0,0
22820,0.00,-0.18,253.00,0,0
22851,0.00,-0.18,253.00,0,0,0
22882,0.00,-0.18,253.00,0,0
22913,0.00,-0.18,253.00,0,0
22944,0.00,-0.18,253.00,0,0
22975,0.00,-0.18,253.00,0,0
23006,0.00,-0.18,253.00,0,0
23037,0.00,-0.18,253.00,0,0
23068,0.00,-0.18,253.00,0,0
23098,0.00,-0.18,253.00,0,0
23129,0.00,-0.18,253.00,0,0
23160,0.00,-0.18,253.00,0,0
23191,0.00,-0.18,253.00,0,0
23222,0.00,-0.18,253.00,0,0
23253,0.00,-0.18,253.00,0,0,0
23284,0.00,-0.18,253.00,0,0
23315,0.00,-0.18,253.00,0,0
23346,0.00,-0.18,253.00,0,0
23377,0.00,-0.18,253.00,0,0
23408,0.00,-0.18,253.00,0,0
23438,0.00,-0.18,253.00,0,0
23469,0.00,-0.18,253.00,0,0
23500,0.00,-0.18,253.00,0,0
23531,0.00,-0.18,253.00,0,0
23562,0.00,-0.18,253.00,0,0
23593,0.00,-0.18,253.00,0,0
23624,0.00,-0.18,253.00,0,0
23655,0.00,-0.18,253.00,0,0
23686,0.00,-0.18,253.00,0,0
23717,0.00,-0.18,253.00,0,0,0
23747,0.00,-0.18,253.00,0,0
23778,0.00,-0.18,253.00,0,0
23809,0.00,-0.18,253.00,0,0
23840,0.00,-0.18,253.00,0,0
23871,0.00,-0.18,253.00,0,0
23902,0.00,-0.18,253.00,0,0
23933,0.00,-0.18,253.00,0,0
23964,0.00,-0.18,253.00,0,0
23995,0.00,-0.18,253.00,0,0
24026,0.00,-0.18,253.00,0,0
24057,0.00,-0.18,253.00,0,0
24088,0.00,-0.18,253.00,0,0
24118,0.00,-0.18,253.00,0,0,0
24149,0.00,-0.18,253.00,0,0
24180,0.00,-0.18,253.00,0,0,0
24211,0.00,-0.18,253.00,0,0
24242,0.00,-0.18,253.00,0,0
24273,0.00,-0.18,253.00,0,0
24304,0.00,-0.18,253.00,0,0
24335,0.00,-0.18,253.00,0,0
24366,0.00,-0.18,253.00,0,0
24397,0.00,-0.18,253.00,0,0
24427,0.00,-0.18,253.00,0,0
24458,0.00,-0.18,253.00,0,0
24489,0.00,-0.18,253.00,0,0
24520,0.00,-0.18,253.00,0,0
24551,0.00,-0.18,253.00,0,0
24582,0.00,-0.18,253.00,0,0,0
24613,0.00,-0.18,253.00,0,0
24644,0.00,-0.18,253.00,0,0
24675,0.00,-0.18,253.00,0,0
24706,0.00,-0.18,253.00,0,0
24737,0.00,-0.18,253.00,0,0
24767,0.00,-0.18,253.00,0,0
24798,0.00,-0.18,253.00,0,0
24829,0.00,-0.18,253.00,0,0
24860,0.00,-0.18,253.00,0,0
24891,0.00,-0.18,253.00,0,0
24922,0.00,-0.18,253.00,0,0
24953,0.00,-0.18,253.00,0,0
24984,0.00,-0.18,253.00,0,0
25015,0.00,-0.18,253.00,0,0
25046,0.00,-0.18,253.00,0,0,0
25077,0.00,-0.18,253.00,0,0
25108,0.00,-0.18,253.00,0,0
25138,0.00,-0.18,253.00,0,0
25169,0.00,-0.18,253.00,0,0
25200,0.00,-0.18,253.00,0,0
25231,0.00,-0.18,253.00,0,0
25262,0.00,-0.18,253.00,0,0
25293,0.00,-0.18,253.00,0,0
25324,0.00,-0.18,253.00,0,0
25355,0.00,-0.18,253.00,0,0
25386,0.00,-0.18,253.00,0,0
25417,0.00,-0.18,253.00,0,0
25447,0.00,-0.18,253.00,0,0,0
25478,0.00,-0.18,253.00,0,0
25509,0.00,-0.18,253.00,0,0,0
