time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.64,30.64,254.00,0
253,110.99,124.10,254.00,0
252,207.40,216.95,253.00,0
252,262.01,265.44,253.00,0
252,273.52,273.01,253.00,0
255,264.49,263.03,253.00,0
255,254.51,253.67,254.00,0
252,250.53,250.41,253.00,0
254,250.76,250.90,253.00,0
252,252.01,252.15,253.00,0
252,252.76,252.79,253.00,0
255,252.75,252.75,253.00,0
252,252.93,252.95,253.00,0
252,252.91,252.88,253.00,0
252,252.61,252.56,253.00,0
252,252.37,252.36,253.00,0
252,252.44,252.50,253.00,0
255,252.90,252.94,253.00,0
252,253.20,253.24,253.00,0
252,253.33,253.32,253.00,0
252,253.04,252.98,253.00,0
251,252.48,252.41,253.00,0
254,251.99,251.99,253.00,0
252,252.30,252.35,253.00,0
252,252.56,252.57,253.00,0
252,252.44,252.41,253.00,0
252,252.17,252.14,253.00,0
253,252.12,252.16,253.00,0
252,252.62,252.68,253.00,0
255,252.97,252.98,253.00,0
252,252.94,252.92,252.00,0
252,252.63,252.58,252.00,0
252,252.24,252.20,252.00,0
252,251.99,251.97,252.00,0
252,251.97,252.00,252.00,0
252,252.22,252.24,252.00,0
252,252.28,252.27,252.00,0
252,252.17,252.16,252.00,0
252,252.08,252.08,252.00,0
252,252.07,252.07,252.00,0
251,251.92,251.86,252.00,0
252,251.38,251.33,252.00,0
20623,0.00,0.00,252.00,0,2
20654,0.00,0.00,252.00,0,1
20685,0.00,0.00,252.00,0,1
20716,0.00,0.00,252.00,0,2
20746,0.00,0.00,252.00,0,2
20777,0.00,0.00,252.00,0,2
20808,0.00,0.00,252.00,0,2
20839,0.00,0.00,252.00,0,1
20870,0.00,0.00,252.00,0,1
20900,0.00,0.00,252.00,0,2,0
20931,0.00,0.00,252.00,0,2
20962,0.00,0.00,252.00,0,2,0
20993,0.00,0.00,252.00,0,2
21024,0.00,0.00,252.00,0,2
21054,0.00,0.00,252.00,0,2
21085,0.00,0.00,252.00,0,1
21116,0.00,0.00,252.00,0,1
21147,0.00,0.00,252.00,0,1
21178,0.00,0.00,252.00,0,1
21208,0.00,0.00,252.00,0,2
21239,0.00,0.00,252.00,0,1
21270,0.00,0.00,252.00,0,1
21301,0.00,0.00,252.00,0,2
21332,0.00,0.00,252.00,0,2
21362,0.00,0.00,252.00,0,1
21393,0.00,0.00,252.00,0,1
21424,0.00,0.00,252.00,0,1,0
21455,0.00,0.00,252.00,0,2
21486,0.00,0.00,252.00,0,1,0
21516,0.00,0.00,252.00,0,1
21547,0.00,0.00,252.00,0,2
21578,0.00,0.00,252.00,0,1
21609,0.00,0.00,252.00,0,2
21640,0.00,0.00,252.00,0,1
21670,0.00,0.00,252.00,0,2
21701,0.00,0.00,252.00,0,1
21732,0.00,0.00,252.00,0,1
