time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.55,30.51,252.00,0
252,110.35,123.38,252.00,0
250,206.44,215.98,252.00,0
251,260.88,264.27,252.00,0
252,272.11,271.58,252.00,0
252,262.92,261.45,252.00,0
252,252.91,252.09,252.00,0
252,249.19,249.10,252.00,0
252,249.78,249.98,252.00,0
252,251.49,251.68,252.00,0
252,252.59,252.67,252.00,0
252,252.85,252.83,252.00,0
252,252.56,252.52,252.00,0
251,252.37,252.35,252.00,0
251,252.04,251.98,252.00,0
251,251.43,251.35,252.00,0
251,250.89,250.85,252.00,0
252,250.74,250.75,252.00,0
255,251.04,251.12,252.00,0
252,251.82,251.91,252.00,0
254,252.37,252.40,252.00,0
252,252.59,252.61,252.00,0
252,252.72,252.77,252.00,0
252,253.03,253.04,252.00,0
252,252.96,252.94,252.00,0
252,252.74,252.72,252.00,0
252,252.62,252.62,252.00,0
254,252.83,252.89,253.00,0
255,253.37,253.46,253.00,0
252,254.04,254.07,253.00,0
253,253.84,253.75,253.00,0
255,253.03,252.94,253.00,0
255,252.75,252.80,253.00,0
253,253.46,253.59,253.00,0
252,254.26,254.30,253.00,0
255,254.09,254.02,253.00,0
253,253.56,253.52,253.00,0
255,253.48,253.51,254.00,0
255,253.93,254.01,254.00,0
252,254.37,254.36,254.00,0
254,253.98,253.93,254.00,0
255,253.80,253.82,254.00,0
88811,0.00,0.00,254.00,0,2
88842,0.00,0.00,254.00,0,2
88873,0.00,0.00,254.00,0,2,0
88904,0.00,0.00,254.00,0,2
88935,0.00,0.00,254.00,0,2,0
88965,0.00,0.00,254.00,0,2
88996,0.00,0.00,254.00,0,2
89027,0.00,0.00,254.00,0,3
89058,0.00,0.00,254.00,0,2
89089,0.00,0.00,254.00,0,3
89120,0.00,0.00,254.00,0,3
89150,0.00,0.00,254.00,0,2
89181,0.00,0.00,254.00,0,2
89212,0.00,0.00,254.00,0,2
89243,0.00,0.00,254.00,0,2
89274,0.00,0.00,254.00,0,1
89304,0.00,0.00,254.00,0,2
89335,0.00,0.00,254.00,0,2
89366,0.00,0.00,254.00,0,2
89397,0.00,0.00,254.00,0,2,0
89428,0.00,0.00,254.00,0,2
89458,0.00,0.00,254.00,0,2,0
89489,0.00,0.00,254.00,0,2
89520,0.00,0.00,254.00,0,2
89551,0.00,0.00,254.00,0,2
89582,0.00,0.00,254.00,0,2
89612,0.00,0.00,254.00,0,2
89643,0.00,0.00,254.00,0,3
89674,0.00,0.00,254.00,0,2
89705,0.00,0.00,254.00,0,2
89736,0.00,0.00,254.00,0,2
89766,0.00,0.00,254.00,0,2
89797,0.00,0.00,254.00,0,3
89828,0.00,-0.09,253.00,0,2
89859,0.00,-0.09,253.00,0,2
89890,0.00,-0.09,253.00,0,2
89920,0.00,0.00,254.00,0,2,0
89951,0.00,0.00,254.00,0,2
89982,0.00,0.00,254.00,0,2,0
90013,0.00,0.00,254.00,0,2
90044,0.00,0.00,254.00,0,2
90074,0.00,0.00,254.00,0,2
90105,0.00,0.00,254.00,0,2
90136,0.00,0.00,254.00,0,2
90167,0.00,0.00,254.00,0,2
90198,0.00,0.00,254.00,0,2
90229,0.00,0.00,254.00,0,2
90259,0.00,-0.09,253.00,0,2
90290,0.00,-0.09,253.00,0,2
90321,0.00,0.00,254.00,0,2
90352,0.00,0.00,254.00,0,2
90383,0.00,0.00,254.00,0,2
90414,0.00,0.00,254.00,0,2
90445,0.00,0.00,254.00,0,2,0
90475,0.00,0.00,254.00,0,2
90506,0.00,0.00,254.00,0,2,0
90537,0.00,0.00,254.00,0,2
90568,0.00,0.00,254.00,0,2
90599,0.00,0.00,254.00,0,3
90629,0.00,0.00,254.00,0,2
90660,0.00,0.00,254.00,0,2
90691,0.00,0.00,254.00,0,2
90722,0.00,0.00,254.00,0,2
90753,0.00,0.00,254.00,0,2
90784,0.00,0.00,254.00,0,2
90814,0.00,0.00,254.00,0,2
90845,0.00,0.00,254.00,0,2
90876,0.00,0.00,254.00,0,2
90907,0.00,0.00,254.00,0,2,0
90938,0.00,0.00,254.00,0,2
90969,0.00,0.00,254.00,0,2,0
90999,0.00,0.00,254.00,0,2
91030,0.00,0.00,254.00,0,2
91061,0.00,0.00,254.00,0,2
91092,0.00,0.00,254.00,0,3
91123,0.00,0.00,254.00,0,2
91154,0.00,0.00,254.00,0,2
91184,0.00,0.00,254.00,0,2
91215,0.00,0.00,254.00,0,2
91246,0.00,0.00,254.00,0,2
91277,0.00,0.00,254.00,0,2
91308,0.00,0.00,254.00,0,3
91339,0.00,-0.09,253.00,0,2
91369,0.00,-0.09,253.00,0,2
91400,0.00,-0.09,253.00,0,2
91431,0.00,-0.09,253.00,0,2,0
91462,0.00,-0.09,253.00,0,2
91493,0.00,-0.09,253.00,0,2
91524,0.00,-0.09,253.00,0,2
91555,0.00,-0.09,253.00,0,2
91586,0.00,-0.09,253.00,0,2
91617,0.00,-0.09,253.00,0,2
91648,0.00,-0.09,253.00,0,2
91679,0.00,-0.09,253.00,0,2
91710,0.00,-0.09,253.00,0,2
91741,0.00,-0.09,253.00,0,2
91771,0.00,-0.09,253.00,0,2
91802,0.00,-0.09,253.00,0,2
91833,0.00,-0.09,253.00,0,2,0
91864,0.00,-0.09,253.00,0,2
91895,0.00,-0.09,253.00,0,2
91926,0.00,-0.09,253.00,0,2
91957,0.00,-0.09,253.00,0,2
91988,0.00,-0.09,253.00,0,2
92019,0.00,-0.09,253.00,0,2
92050,0.00,-0.09,253.00,0,2
92081,0.00,-0.09,253.00,0,1
92112,0.00,-0.09,253.00,0,2
92142,0.00,-0.09,253.00,0,2
92173,0.00,-0.09,253.00,0,2
92204,0.00,-0.09,253.00,0,2
92235,0.00,-0.09,253.00,0,2
92266,0.00,-0.09,253.00,0,2
92297,0.00,-0.09,253.00,0,2,0
92328,0.00,-0.09,253.00,0,2
92359,0.00,-0.09,253.00,0,2
92390,0.00,-0.09,253.00,0,2
92421,0.00,-0.09,253.00,0,2
92452,0.00,-0.09,253.00,0,1
92483,0.00,-0.09,253.00,0,2
92514,0.00,-0.09,253.00,0,2
92544,0.00,-0.09,253.00,0,2
92575,0.00,-0.09,253.00,0,2
92606,0.00,-0.09,253.00,0,3
92637,0.00,-0.09,253.00,0,2
92668,0.00,-0.09,253.00,0,2
92699,0.00,-0.09,253.00,0,2
92730,0.00,-0.09,253.00,0,2
92761,0.00,-0.09,253.00,0,2,0
92792,0.00,-0.09,253.00,0,2
92823,0.00,-0.09,253.00,0,2
92854,0.00,-0.09,253.00,0,2
92885,0.00,-0.09,253.00,0,2
92915,0.00,-0.09,253.00,0,2
92946,0.00,-0.09,253.00,0,2
92977,0.00,-0.09,253.00,0,2
93008,0.00,-0.09,253.00,0,2
93039,0.00,-0.09,253.00,0,2
93070,0.00,0.00,254.00,0,2
93101,0.00,0.00,254.00,0,2
93132,0.00,0.00,254.00,0,2
93163,0.00,0.00,254.00,0,2,0
93193,0.00,0.00,254.00,0,2
93224,0.00,0.00,254.00,0,2,0
93255,0.00,0.00,254.00,0,2
93286,0.00,0.00,254.00,0,2,0
93317,0.00,0.00,254.00,0,1
93348,0.00,0.00,254.00,0,2
93378,0.00,0.00,254.00,0,2
93409,0.00,0.00,254.00,0,2
93440,0.00,0.00,254.00,0,2
93471,0.00,0.00,254.00,0,2
93502,0.00,0.00,254.00,0,3
93532,0.00,0.00,254.00,0,1
93563,0.00,0.00,254.00,0,2
93594,0.00,0.00,254.00,0,2
93625,0.00,0.00,254.00,0,2
93656,0.00,0.00,254.00,0,2
93687,0.00,0.00,254.00,0,2,0
93717,0.00,0.00,254.00,0,2
93748,0.00,0.00,254.00,0,2,0
93779,0.00,0.00,254.00,0,2
93810,0.00,0.00,254.00,0,2
93841,0.00,0.00,254.00,0,2
93872,0.00,0.00,254.00,0,2
93902,0.00,0.00,254.00,0,2
93933,0.00,0.00,254.00,0,2
93964,0.00,0.00,254.00,0,2
93995,0.00,0.00,254.00,0,2
94026,0.00,0.00,254.00,0,2
94057,0.00,0.00,254.00,0,2
94087,0.00,0.00,254.00,0,2
94118,0.00,0.00,254.00,0,2
94149,0.00,0.00,254.00,0,2
94180,0.00,0.00,254.00,0,2
94211,0.00,0.00,254.00,0,2,0
94242,0.00,0.00,254.00,0,2
94272,0.00,0.00,254.00,0,2,0
94303,0.00,0.00,254.00,0,2
94334,0.00,0.00,254.00,0,2
94365,0.00,0.00,254.00,0,2
94396,0.00,0.00,254.00,0,2
94426,0.00,0.00,254.00,0,2
94457,0.00,0.00,254.00,0,2
94488,0.00,0.00,254.00,0,2
94519,0.00,0.00,254.00,0,2
