time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
253,22.71,30.75,254.00,0
254,111.28,124.41,254.00,0
252,207.91,217.48,254.00,0
252,262.43,265.83,253.00,0
252,273.64,273.08,253.00,0
255,264.09,262.57,253.00,0
255,253.90,253.08,254.00,0
255,250.41,250.39,254.00,0
255,251.61,251.86,254.00,0
255,253.65,253.87,254.00,0
255,254.88,254.94,254.00,0
253,254.93,254.89,254.00,0
254,254.33,254.22,254.00,0
255,253.48,253.40,254.00,0
254,253.02,252.99,254.00,0
255,253.00,253.02,254.00,0
255,253.39,253.46,254.00,0
255,253.99,254.06,254.00,0
252,254.48,254.53,254.00,0
255,254.54,254.51,254.00,0
255,254.40,254.41,254.00,0
255,254.54,254.56,254.00,0
255,254.66,254.68,254.00,0
255,254.78,254.79,254.00,0
255,254.80,254.79,254.00,0
255,254.73,254.73,254.00,0
255,254.78,254.79,255.00,0
256,254.96,255.00,255.00,0
252,255.30,255.30,255.00,0
254,254.78,254.66,255.00,0
255,253.87,253.81,255.00,0
255,253.80,253.84,255.00,0
252,254.25,254.28,255.00,0
255,254.13,254.07,254.00,0
255,253.79,253.79,254.00,0
255,254.05,254.11,254.00,0
255,254.45,254.47,254.00,0
255,254.52,254.53,254.00,0
252,254.65,254.67,254.00,0
252,254.59,254.56,254.00,0
255,254.19,254.14,254.00,0
253,254.02,254.04,254.00,0
17467,4.60,0.26,257.00,991,941
17500,4.60,0.26,257.00,1029,968
17533,4.60,0.26,257.00,1055,983
17569,4.60,0.35,258.00,1063,1012
17604,4.60,0.35,258.00,1100,1046
17640,4.60,0.35,258.00,1126,1063
17675,4.60,0.44,259.00,1133,1087
17710,4.60,0.44,259.00,1169,1113
17746,4.60,0.44,259.00,1195,1129
17781,4.60,0.53,260.00,1202,1157
17817,4.60,0.53,260.00,1237,1185
17852,4.60,0.53,260.00,1262,1202
17887,4.60,0.62,261.00,1269,1221
17923,4.60,0.62,261.00,1304,1245
17958,4.60,0.70,262.00,1309,1264
17994,4.60,0.70,262.00,1344,1291
18029,4.60,0.79,263.00,1349,1308
18065,4.60,0.79,263.00,1383,1326
18100,4.60,0.88,264.00,1388,1338
18135,4.60,0.88,264.00,1421,1369
18171,4.60,0.97,265.00,1425,1387
18206,4.60,0.97,265.00,1458,1404
18242,4.60,1.05,266.00,1462,1417
18277,4.60,1.05,266.00,1494,1443,0
18312,4.60,1.14,267.00,1497,1461
18348,4.60,1.23,268.00,1511,1477
18383,4.60,1.23,268.00,1542,1490
18419,4.60,1.32,269.00,1544,1506,0
18454,4.60,1.32,269.00,1575,1531
18490,4.60,1.41,270.00,1576,1543
18525,4.60,1.49,271.00,1588,1557
18560,4.60,1.49,271.00,1617,1570
18596,4.60,1.58,272.00,1618,1584
18631,4.60,1.67,273.00,1628,1607
18667,4.60,1.67,273.00,1657,1617
18702,4.60,1.76,274.00,1656,1618
18737,4.60,1.76,274.00,1684,1638
18773,4.60,1.85,275.00,1683,1656
18808,4.60,1.93,276.00,1692,1665
18844,4.60,1.93,276.00,1719,1676
18879,4.60,2.02,277.00,1717,1691
18915,4.60,2.11,278.00,1724,1712
18950,4.60,2.11,278.00,1750,1720
18985,4.60,2.20,279.00,1747,1720
19021,4.60,2.20,279.00,1772,1731
19056,4.60,2.29,280.00,1768,1743
19092,4.60,2.37,281.00,1775,1764
19127,4.60,2.37,281.00,1799,1765
19162,4.60,2.46,282.00,1794,1766
19198,4.60,2.46,282.00,1818,1783
19233,4.60,2.55,283.00,1812,1792
19269,4.60,2.55,283.00,1835,1799
19304,4.60,2.64,284.00,1829,1805,0
19340,4.60,2.64,284.00,1852,1826
19375,4.60,2.72,285.00,1845,1830
19410,4.60,2.81,286.00,1849,1833
19446,4.60,2.81,286.00,1871,1840,0
19481,4.60,2.90,287.00,1863,1849
19517,4.60,2.90,287.00,1884,1851
19552,4.60,2.99,288.00,1876,1853
19587,4.60,2.99,288.00,1896,1873
19623,4.60,3.08,289.00,1888,1873
19658,4.60,3.16,290.00,1889,1874
19694,4.60,3.16,290.00,1908,1883
19729,4.60,3.25,291.00,1899,1888
19765,4.60,3.25,291.00,1917,1889
19800,4.60,3.34,292.00,1907,1892
19835,4.60,3.34,292.00,1925,1909
19871,4.60,3.43,293.00,1915,1911
19906,4.60,3.43,293.00,1932,1911
19942,4.60,3.43,293.00,1940,1911
19977,4.60,3.52,294.00,1928,1916
20012,4.60,3.52,294.00,1945,1926
20048,4.60,3.60,295.00,1933,1926
20083,4.60,3.60,295.00,1950,1928
20119,4.60,3.60,295.00,1956,1930
20154,4.60,3.69,296.00,1944,1941
20190,4.60,3.69,296.00,1960,1955
20225,4.60,3.78,297.00,1947,1945
20260,4.60,3.78,297.00,1963,1942
20296,4.60,3.78,297.00,1968,1945
20331,4.60,3.87,298.00,1954,1946
20367,4.60,3.87,298.00,1969,1956
20402,4.60,3.87,298.00,1974,1957
20437,4.60,3.96,299.00,1960,1956
20473,4.60,3.96,299.00,1974,1960,0
20508,4.60,3.96,299.00,1978,1960
20544,4.60,4.04,300.00,1963,1960
20579,4.60,4.04,300.00,1977,1970
20615,4.60,4.04,300.00,1981,1962,0
20650,4.60,4.04,300.00,1984,1962
20685,4.60,4.13,301.00,1969,1971
20721,4.60,4.13,301.00,1983,1981
20756,4.60,4.13,301.00,1986,1970
20792,4.60,4.13,301.00,1988,1969
20827,4.60,4.22,302.00,1973,1976
20862,4.60,4.22,302.00,1986,1995
20898,4.60,4.22,302.00,1988,1973
20933,4.60,4.22,302.00,1990,1971
20969,4.60,4.22,302.00,1993,1978
21004,4.60,4.31,303.00,1976,1989
21040,4.60,4.31,303.00,1989,1987
21075,4.60,4.31,303.00,1991,1979
21110,4.60,4.31,303.00,1992,1978
21146,4.60,4.39,304.00,1976,1982
21181,4.60,4.39,304.00,1987,1990
21217,4.60,4.39,304.00,1989,1980
21252,4.60,4.39,304.00,1990,1979
21287,4.60,4.39,304.00,1991,1982
21323,4.60,4.39,304.00,1993,1984
21358,4.60,4.39,304.00,1994,1990
21394,4.60,4.39,304.00,1995,1989
21429,4.60,4.39,304.00,1996,1988
21465,4.60,4.39,304.00,1998,1986
21500,4.60,4.39,304.00,1999,1988,0
21535,4.60,4.48,305.00,1981,1994
21571,4.60,4.48,305.00,1993,1995
21606,4.60,4.48,305.00,1994,1984
21642,4.60,4.48,305.00,1994,1981
21677,4.60,4.48,305.00,1995,1984
21712,4.60,4.48,305.00,1996,1992
21748,4.60,4.48,305.00,1996,1990
21783,4.60,4.48,305.00,1997,1990
21819,4.60,4.48,305.00,1998,1990
21854,4.60,4.48,305.00,1999,1990
21890,4.60,4.48,305.00,1999,1990
21925,4.60,4.48,305.00,2000,1991
21960,4.60,4.48,305.00,2001,1996
21996,4.60,4.48,305.00,2001,1995
22031,4.60,4.48,305.00,2002,1994
22067,4.60,4.48,305.00,2003,1994
22102,4.60,4.48,305.00,2004,1992
22137,4.60,4.48,305.00,2004,1995
22173,4.60,4.48,305.00,2005,1998
22208,4.60,4.48,305.00,2006,2001
22244,4.60,4.48,305.00,2007,2000
22279,4.60,4.48,305.00,2007,2000
