time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.76,30.81,254.00,0
252,111.20,124.30,254.00,0
255,207.68,217.29,254.00,0
255,262.87,266.37,254.00,0
252,274.87,274.37,254.00,0
255,265.45,263.88,254.00,0
255,254.57,253.61,254.00,0
255,250.04,249.92,254.00,0
255,250.82,251.11,254.00,0
255,253.34,253.63,254.00,0
254,254.93,255.00,254.00,0
255,254.87,254.81,254.00,0
253,254.51,254.49,254.00,0
252,254.40,254.40,254.00,0
254,254.30,254.30,254.00,0
255,254.31,254.32,254.00,0
255,254.43,254.43,254.00,0
255,254.32,254.29,254.00,0
255,254.21,254.23,254.00,0
255,254.44,254.47,254.00,0
255,254.49,254.48,254.00,0
255,254.29,254.25,254.00,0
255,254.12,254.13,254.00,0
255,254.38,254.43,254.00,0
252,254.58,254.54,254.00,0
255,254.05,254.00,254.00,0
252,253.91,253.92,254.00,0
253,253.89,253.88,254.00,0
253,253.84,253.84,254.00,0
255,253.69,253.65,254.00,0
254,253.50,253.51,254.00,0
255,253.72,253.74,254.00,0
255,253.94,253.99,254.00,0
254,254.18,254.18,254.00,0
253,253.94,253.87,254.00,0
255,253.28,253.21,254.00,0
255,252.99,253.01,254.00,0
255,253.50,253.60,254.00,0
255,254.19,254.23,254.00,0
255,254.41,254.44,254.00,0
255,254.55,254.56,254.00,0
253,254.60,254.58,254.00,0
78293,0.00,0.00,254.00,0,2
78324,0.00,0.00,254.00,0,2,0
78354,0.00,0.00,254.00,0,2
78385,0.00,0.00,254.00,0,3,0
78416,0.00,0.00,254.00,0,3
78447,0.00,0.00,254.00,0,2
78478,0.00,0.00,254.00,0,3
78509,0.00,0.00,254.00,0,2
78539,0.00,0.00,254.00,0,3
78570,0.00,0.00,254.00,0,2
78601,0.00,0.00,254.00,0,2
78632,0.00,0.00,254.00,0,2
78663,0.00,0.00,254.00,0,3
78693,0.00,0.00,254.00,0,2
78724,0.00,0.00,254.00,0,2
78755,0.00,0.00,254.00,0,2
78786,0.00,0.00,254.00,0,3
78817,0.00,0.00,254.00,0,2
78847,0.00,0.00,254.00,0,3,0
78878,0.00,0.00,254.00,0,3
78909,0.00,0.00,254.00,0,3,0
78940,0.00,0.00,254.00,0,3
78971,0.00,0.00,254.00,0,2
79001,0.00,0.00,254.00,0,2
79032,0.00,0.00,254.00,0,3
79063,0.00,0.00,254.00,0,2
79094,0.00,0.00,254.00,0,2
79125,0.00,0.00,254.00,0,2
79155,0.00,0.00,254.00,0,2
79186,0.00,0.00,254.00,0,2
79217,0.00,0.00,254.00,0,2
79248,0.00,0.00,254.00,0,2
79279,0.00,0.00,254.00,0,2
79309,0.00,0.00,254.00,0,2
79340,0.00,0.00,254.00,0,2
79371,0.00,0.00,254.00,0,2,0
79402,0.00,0.00,254.00,0,2
79433,0.00,0.00,254.00,0,2,0
79463,0.00,0.00,254.00,0,2
79494,0.00,0.00,254.00,0,2
79525,0.00,0.00,254.00,0,2
79556,0.00,0.00,254.00,0,2
79587,0.00,0.00,254.00,0,3
79617,0.00,0.00,254.00,0,2
79648,0.00,0.00,254.00,0,2
79679,0.00,0.00,254.00,0,2
79710,0.00,0.00,254.00,0,3
79741,0.00,0.00,254.00,0,2
79771,0.00,0.00,254.00,0,3
79802,0.00,0.00,254.00,0,3
79833,0.00,0.00,254.00,0,2
79864,0.00,0.00,254.00,0,3
79895,0.00,0.00,254.00,0,3,0
79926,0.00,0.00,254.00,0,2
79957,0.00,0.00,254.00,0,2,0
79987,0.00,0.00,254.00,0,2
80018,0.00,0.00,254.00,0,2
80049,0.00,0.00,254.00,0,2
80080,0.00,0.00,254.00,0,3
80111,0.00,0.00,254.00,0,2
80142,0.00,0.00,254.00,0,3
80173,0.00,0.00,254.00,0,3
80203,0.00,0.00,254.00,0,3
80234,0.00,0.00,254.00,0,2
80265,0.00,0.00,254.00,0,3
80296,0.00,0.00,254.00,0,2
80327,0.00,0.00,254.00,0,2
80358,0.00,0.00,254.00,0,3,0
80389,0.00,0.00,254.00,0,3
80419,0.00,-0.09,253.00,0,3
80450,0.00,-0.09,253.00,0,2
80481,0.00,-0.09,253.00,0,2
80512,0.00,-0.09,253.00,0,3
80543,0.00,-0.09,253.00,0,3
80574,0.00,-0.09,253.00,0,3
80605,0.00,-0.09,253.00,0,2
80636,0.00,-0.09,253.00,0,2
80667,0.00,-0.09,253.00,0,3
80698,0.00,-0.09,253.00,0,2
80729,0.00,-0.09,253.00,0,3
80760,0.00,-0.09,253.00,0,3,0
80791,0.00,-0.09,253.00,0,2
80822,0.00,-0.09,253.00,0,3,0
80853,0.00,-0.09,253.00,0,5
80884,0.00,-0.09,253.00,0,3
80915,0.00,-0.09,253.00,0,3
80946,0.00,-0.09,253.00,0,3
80977,0.00,-0.09,253.00,0,3
81008,0.00,-0.09,253.00,0,2
81038,0.00,-0.09,253.00,0,2
81069,0.00,-0.09,253.00,0,2
81100,0.00,-0.09,253.00,0,2
81131,0.00,-0.09,253.00,0,2
81162,0.00,-0.09,253.00,0,2
81193,0.00,-0.09,253.00,0,2
81224,0.00,-0.09,253.00,0,3,0
81255,0.00,-0.09,253.00,0,3
81286,0.00,-0.09,253.00,0,3
81317,0.00,-0.09,253.00,0,3
81348,0.00,-0.09,253.00,0,3
81379,0.00,-0.09,253.00,0,2
81410,0.00,-0.09,253.00,0,3
81440,0.00,-0.09,253.00,0,3
81471,0.00,-0.09,253.00,0,2
81502,0.00,-0.09,253.00,0,3
81533,0.00,-0.09,253.00,0,3
81564,0.00,-0.09,253.00,0,3
81595,0.00,-0.09,253.00,0,3
81626,0.00,-0.09,253.00,0,2,0
81657,0.00,-0.09,253.00,0,2
81688,0.00,-0.09,253.00,0,3,0
81719,0.00,-0.09,253.00,0,3
81750,0.00,-0.09,253.00,0,2
81781,0.00,-0.09,253.00,0,3
81812,0.00,-0.09,253.00,0,3
81842,0.00,-0.09,253.00,0,3
81873,0.00,-0.09,253.00,0,3
81904,0.00,-0.09,253.00,0,3
81935,0.00,-0.09,253.00,0,2
81966,0.00,-0.09,253.00,0,3
81997,0.00,-0.09,253.00,0,3
82028,0.00,-0.09,253.00,0,3
82059,0.00,-0.09,253.00,0,3
82090,0.00,-0.09,253.00,0,2,0
82121,0.00,-0.09,253.00,0,2
82152,0.00,-0.09,253.00,0,3
82183,0.00,-0.09,253.00,0,2
82214,0.00,-0.09,253.00,0,3
82244,0.00,-0.09,253.00,0,3
82275,0.00,-0.09,253.00,0,3
82306,0.00,-0.09,253.00,0,3
82337,0.00,-0.09,253.00,0,3
82368,0.00,-0.09,253.00,0,3
82399,0.00,-0.09,253.00,0,2
82430,0.00,-0.09,253.00,0,2
82461,0.00,-0.09,253.00,0,3
82492,0.00,-0.09,253.00,0,3,0
82523,0.00,-0.09,253.00,0,2
82554,0.00,-0.09,253.00,0,3,0
82585,0.00,-0.09,253.00,0,3
82616,0.00,-0.09,253.00,0,3
82647,0.00,-0.09,253.00,0,3
82678,0.00,-0.09,253.00,0,3
82709,0.00,-0.09,253.00,0,3
82739,0.00,-0.18,252.00,0,3
82770,0.00,-0.09,253.00,0,3
82801,0.00,-0.09,253.00,0,3
82832,0.00,-0.09,253.00,0,2
82863,0.00,-0.09,253.00,0,2
82894,0.00,-0.09,253.00,0,2
82925,0.00,-0.09,253.00,0,2
82956,0.00,-0.09,253.00,0,3,0
82987,0.00,-0.09,253.00,0,2
83018,0.00,-0.09,253.00,0,3
83049,0.00,-0.09,253.00,0,3
83080,0.00,-0.09,253.00,0,3
83111,0.00,-0.09,253.00,0,3
83142,0.00,-0.18,252.00,0,2
83173,0.00,-0.18,252.00,0,3
83204,0.00,-0.18,252.00,0,2
83234,0.00,-0.09,253.00,0,3
83265,0.00,-0.09,253.00,0,3
83296,0.00,-0.09,253.00,0,3
83327,0.00,-0.09,253.00,0,3
83358,0.00,-0.09,253.00,0,3,0
83389,0.00,-0.09,253.00,0,3
83420,0.00,-0.09,253.00,0,3,0
83451,0.00,-0.09,253.00,0,2
83482,0.00,-0.09,253.00,0,3
83513,0.00,-0.09,253.00,0,3
83544,0.00,-0.09,253.00,0,2
83575,0.00,-0.09,253.00,0,3
83606,0.00,-0.09,253.00,0,3
83637,0.00,-0.09,253.00,0,3
83668,0.00,-0.09,253.00,0,2
83698,0.00,-0.09,253.00,0,3
83729,0.00,-0.09,253.00,0,3
83760,0.00,-0.09,253.00,0,2
83791,0.00,-0.09,253.00,0,2
83822,0.00,-0.09,253.00,0,3,0
83853,0.00,-0.09,253.00,0,3
83884,0.00,-0.09,253.00,0,3
83915,0.00,-0.09,253.00,0,3
83946,0.00,-0.09,253.00,0,3
83977,0.00,-0.09,253.00,0,3
84008,0.00,-0.09,253.00,0,3
84039,0.00,-0.09,253.00,0,3
84070,0.00,-0.09,253.00,0,2
84101,0.00,-0.09,253.00,0,2
84132,0.00,-0.09,253.00,0,3
84163,0.00,-0.09,253.00,0,3
84193,0.00,-0.09,253.00,0,3
84224,0.00,-0.09,253.00,0,3
84255,0.00,-0.09,253.00,0,3
84286,0.00,-0.09,253.00,0,3,0
84317,0.00,-0.09,253.00,0,2
84348,0.00,-0.09,253.00,0,3
84379,0.00,-0.09,253.00,0,2
84410,0.00,-0.09,253.00,0,3
84441,0.00,-0.09,253.00,0,3
84472,0.00,-0.09,253.00,0,2
84503,0.00,-0.09,253.00,0,2
84534,0.00,-0.09,253.00,0,3
84565,0.00,-0.09,253.00,0,3
84596,0.00,-0.09,253.00,0,3
84627,0.00,-0.09,253.00,0,3
84658,0.00,-0.09,253.00,0,3
84688,0.00,-0.09,253.00,0,2,0
84719,0.00,-0.09,253.00,0,3
84750,0.00,-0.09,253.00,0,2
84781,0.00,-0.09,253.00,0,2
84812,0.00,-0.09,253.00,0,3
84843,0.00,-0.09,253.00,0,3
84874,0.00,-0.09,253.00,0,2
84905,0.00,-0.09,253.00,0,3
84936,0.00,-0.09,253.00,0,3
84967,0.00,-0.09,253.00,0,3
84998,0.00,-0.09,253.00,0,3
85029,0.00,-0.09,253.00,0,3
85060,0.00,-0.09,253.00,0,3
85090,0.00,-0.09,253.00,0,3,0
85121,0.00,-0.09,253.00,0,3
85152,0.00,-0.09,253.00,0,3,0
85183,0.00,-0.09,253.00,0,3
85214,0.00,-0.09,253.00,0,3
85245,0.00,-0.09,253.00,0,3
85276,0.00,-0.09,253.00,0,3
85307,0.00,-0.09,253.00,0,3
85338,0.00,-0.09,253.00,0,3
85369,0.00,-0.09,253.00,0,3
85400,0.00,-0.09,253.00,0,2
85431,0.00,-0.09,253.00,0,3
85462,0.00,-0.09,253.00,0,2
85493,0.00,-0.09,253.00,0,2
85524,0.00,-0.09,253.00,0,2
85555,0.00,-0.09,253.00,0,3,0
85586,0.00,-0.09,253.00,0,2
85617,0.00,-0.09,253.00,0,2
85648,0.00,-0.09,253.00,0,2
85679,0.00,-0.09,253.00,0,3
85709,0.00,-0.09,253.00,0,2
85740,0.00,-0.09,253.00,0,3
85771,0.00,-0.09,253.00,0,3
85802,0.00,-0.09,253.00,0,3
85833,0.00,-0.09,253.00,0,3
85864,0.00,-0.09,253.00,0,2
85895,0.00,-0.09,253.00,0,2
85926,0.00,-0.09,253.00,0,3
85957,0.00,-0.09,253.00,0,3,0
85988,0.00,-0.18,252.00,0,3
86018,0.00,-0.18,252.00,0,2,0
86049,0.00,-0.18,252.00,0,3
86080,0.00,-0.18,252.00,0,3
86111,0.00,-0.18,252.00,0,3
86142,0.00,-0.18,252.00,0,2
86173,0.00,-0.18,252.00,0,2
86204,0.00,-0.18,252.00,0,3
86234,0.00,-0.18,252.00,0,3
86265,0.00,-0.18,252.00,0,2
86296,0.00,-0.18,252.00,0,2
86327,0.00,-0.18,252.00,0,3
86358,0.00,-0.18,252.00,0,2
86389,0.00,-0.18,252.00,0,3
86420,0.00,-0.18,252.00,0,2
86451,0.00,-0.18,252.00,0,2
86481,0.00,-0.18,252.00,0,2,0
86512,0.00,-0.18,252.00,0,3
86543,0.00,-0.18,252.00,0,3
86574,0.00,-0.18,252.00,0,2
86605,0.00,-0.18,252.00,0,3
86636,0.00,-0.18,252.00,0,3
86667,0.00,-0.18,252.00,0,3
86697,0.00,-0.18,252.00,0,3
86728,0.00,-0.18,252.00,0,3
86759,0.00,-0.18,252.00,0,3
86790,0.00,-0.18,252.00,0,3
86821,0.00,-0.18,252.00,0,3
86852,0.00,-0.18,252.00,0,3
86883,0.00,-0.18,252.00,0,3
86914,0.00,-0.18,252.00,0,3
86944,0.00,-0.18,252.00,0,2,0
86975,0.00,-0.18,252.00,0,2
87006,0.00,-0.18,252.00,0,3
87037,0.00,-0.18,252.00,0,3
87068,0.00,-0.18,252.00,0,3
87099,0.00,-0.18,252.00,0,3
87130,0.00,-0.18,252.00,0,3
87160,0.00,-0.18,252.00,0,3
87191,0.00,-0.18,252.00,0,3
87222,0.00,-0.18,252.00,0,3
87253,0.00,-0.18,252.00,0,2
87284,0.00,-0.18,252.00,0,3
87315,0.00,-0.18,252.00,0,3
87346,0.00,-0.18,252.00,0,2
87377,0.00,-0.18,252.00,0,3
87407,0.00,-0.18,252.00,0,3,0
87438,0.00,-0.18,252.00,0,3
87469,0.00,-0.18,252.00,0,3
87500,0.00,-0.18,252.00,0,3
87531,0.00,-0.18,252.00,0,3
87562,0.00,-0.18,252.00,0,3
87593,0.00,-0.18,252.00,0,3
87623,0.00,-0.18,252.00,0,2
87654,0.00,-0.18,252.00,0,3
87685,0.00,-0.18,252.00,0,2
87716,0.00,-0.18,252.00,0,2
87747,0.00,-0.18,252.00,0,2
87778,0.00,-0.18,252.00,0,2
87809,0.00,-0.18,252.00,0,3
