time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.73,30.78,254.00,0
253,111.11,124.19,253.00,0
255,207.52,217.13,254.00,0
255,262.80,266.33,254.00,0
255,275.02,274.54,254.00,0
255,265.84,264.32,254.00,0
253,255.31,254.39,254.00,0
255,250.67,250.48,254.00,0
255,250.87,251.10,254.00,0
254,252.99,253.23,254.00,0
252,254.51,254.62,254.00,0
255,254.91,254.90,254.00,0
253,254.78,254.76,254.00,0
252,254.44,254.35,254.00,0
255,253.56,253.45,254.00,0
255,253.05,253.04,254.00,0
255,253.30,253.38,254.00,0
255,253.94,254.01,254.00,0
254,254.40,254.43,254.00,0
255,254.49,254.48,254.00,0
255,254.50,254.52,254.00,0
255,254.63,254.63,254.00,0
255,254.34,254.28,254.00,0
255,254.00,254.00,254.00,0
255,254.18,254.23,254.00,0
252,254.62,254.66,254.00,0
255,254.62,254.57,254.00,0
252,254.20,254.16,254.00,0
252,253.79,253.72,254.00,0
255,253.10,253.02,254.00,0
253,252.95,253.01,254.00,0
252,253.55,253.62,254.00,0
252,253.83,253.81,254.00,0
255,253.41,253.34,254.00,0
255,253.19,253.22,254.00,0
252,253.65,253.72,254.00,0
253,254.07,254.08,254.00,0
255,253.93,253.90,254.00,0
252,253.77,253.73,254.00,0
252,253.23,253.14,253.00,0
255,252.52,252.46,253.00,0
253,252.61,252.70,254.00,0
71502,0.00,0.00,253.00,0,1
71533,0.00,0.00,253.00,0,1,0
71564,0.00,0.00,253.00,0,2
71594,0.00,0.00,253.00,0,1
71625,0.00,0.00,253.00,0,1
71656,0.00,0.00,253.00,0,1
71687,0.00,0.00,253.00,0,2
71718,0.00,0.09,254.00,0,1
71749,0.00,0.09,254.00,0,1
71779,0.00,0.09,254.00,0,1
71810,0.00,0.09,254.00,0,1
71841,0.00,0.09,254.00,0,2
71872,0.00,0.09,254.00,0,1
71903,0.00,0.09,254.00,0,2
71933,0.00,0.09,254.00,0,1,0
71964,0.00,0.09,254.00,0,1
71995,0.00,0.09,254.00,0,1,0
72026,0.00,0.09,254.00,0,1
72057,0.00,0.09,254.00,0,1
72088,0.00,0.09,254.00,0,1
72118,0.00,0.09,254.00,0,2
72149,0.00,0.09,254.00,0,1
72180,0.00,0.09,254.00,0,1
72211,0.00,0.09,254.00,0,1
72242,0.00,0.09,254.00,0,1
72272,0.00,0.09,254.00,0,1
72303,0.00,0.09,254.00,0,1
72334,0.00,0.09,254.00,0,1
72365,0.00,0.09,254.00,0,1
72396,0.00,0.09,254.00,0,1
72427,0.00,0.09,254.00,0,1
72457,0.00,0.09,254.00,0,1,0
72488,0.00,0.09,254.00,0,1
72519,0.00,0.09,254.00,0,1,0
72550,0.00,0.09,254.00,0,1
72581,0.00,0.09,254.00,0,1
72611,0.00,0.09,254.00,0,1
72642,0.00,0.09,254.00,0,1
72673,0.00,0.09,254.00,0,1
72704,0.00,0.09,254.00,0,1
72735,0.00,0.09,254.00,0,1
72766,0.00,0.09,254.00,0,1
72796,0.00,0.09,254.00,0,2
72827,0.00,0.09,254.00,0,1
72858,0.00,0.09,254.00,0,1
72889,0.00,0.09,254.00,0,1
72920,0.00,0.09,254.00,0,1
72951,0.00,0.09,254.00,0,1
72981,0.00,0.09,254.00,0,1,0
73012,0.00,0.09,254.00,0,2
73043,0.00,0.09,254.00,0,1,0
73074,0.00,0.09,254.00,0,1
73105,0.00,0.09,254.00,0,1
73135,0.00,0.09,254.00,0,1
73166,0.00,0.09,254.00,0,1
73197,0.00,0.09,254.00,0,1
73228,0.00,0.09,254.00,0,1
73259,0.00,0.09,254.00,0,1
73290,0.00,0.09,254.00,0,1
73320,0.00,0.09,254.00,0,1
73351,0.00,0.09,254.00,0,1
73382,0.00,0.09,254.00,0,1
73413,0.00,0.09,254.00,0,1
73444,0.00,0.09,254.00,0,1
73474,0.00,0.09,254.00,0,1
73505,0.00,0.09,254.00,0,1,0
73536,0.00,0.09,254.00,0,1
73567,0.00,0.09,254.00,0,1,0
73598,0.00,0.09,254.00,0,1
73629,0.00,0.09,254.00,0,2
73659,0.00,0.09,254.00,0,1
73690,0.00,0.09,254.00,0,2
73721,0.00,0.09,254.00,0,1
73752,0.00,0.09,254.00,0,1
73783,0.00,0.09,254.00,0,2
73814,0.00,0.09,254.00,0,1
73845,0.00,0.09,254.00,0,1
73876,0.00,0.09,254.00,0,1
73906,0.00,0.09,254.00,0,1
73937,0.00,0.09,254.00,0,1
73968,0.00,0.09,254.00,0,1,0
