time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
257,22.71,30.76,255.00,0
256,111.67,124.89,255.00,0
256,209.17,218.87,256.00,0
256,264.80,268.33,256.00,0
255,276.81,276.31,256.00,0
255,267.45,265.88,256.00,0
256,256.41,255.44,256.00,0
256,251.87,251.76,256.00,0
256,252.70,252.98,256.00,0
256,254.99,255.24,256.00,0
256,256.42,256.51,256.00,0
256,256.69,256.66,256.00,0
256,256.37,256.32,256.00,0
253,256.03,256.00,256.00,0
255,255.66,255.60,256.00,0
256,255.31,255.31,256.00,0
255,255.41,255.42,256.00,0
255,255.33,255.30,256.00,0
255,255.11,255.09,256.00,0
255,254.97,254.96,256.00,0
255,254.94,254.94,255.00,0
256,255.03,255.06,255.00,0
256,255.38,255.44,255.00,0
256,255.79,255.84,255.00,0
256,256.10,256.13,255.00,0
256,256.19,256.18,255.00
256,256.15,256.16,256.00
256,256.27,256.28,256.00,0
256,256.28,256.27,256.00,0
256,256.16,256.15,256.00,0
257,256.05,256.04,256.00,0
256,256.12,256.14,256.00,0
256,256.25,256.26,256.00,0
257,256.25,256.25,256.00,0
256,256.39,256.41,256.00,0
257,256.55,256.56,256.00,0
256,256.53,256.51,256.00,0
256,256.33,256.30,256.00,0
256,256.11,256.09,256.00,0
255,255.90,255.85,256.00,0
255,255.39,255.33,256.00,0
256,255.09,255.10,256.00,0
221987,0.00,0.00,256.00,0,2
222018,0.00,0.00,256.00,0,2
222049,0.00,0.00,256.00,0,2
222080,0.00,0.00,256.00,0,2
222111,0.00,0.00,256.00,0,2
222142,0.00,0.00,256.00,0,2,0
222172,0.00,0.00,256.00,0,2
222203,0.00,0.00,256.00,0,3
222234,0.00,0.00,256.00,0,2
222265,0.00,0.00,256.00,0,2
222296,0.00,0.00,256.00,0,2
222327,0.00,-0.09,255.00,0,3
222357,0.00,-0.09,255.00,0,2
222388,0.00,-0.09,255.00,0,2
222419,0.00,-0.09,255.00,0,3
222450,0.00,-0.09,255.00,0,2
222481,0.00,-0.09,255.00,0,2
222512,0.00,-0.09,255.00,0,3
222543,0.00,-0.09,255.00,0,2
222574,0.00,-0.09,255.00,0,2
222605,0.00,-0.09,255.00,0,2
222635,0.00,-0.09,255.00,0,2
222666,0.00,-0.09,255.00,0,2
222697,0.00,-0.09,255.00,0,2
222728,0.00,-0.09,255.00,0,2
222759,0.00,-0.09,255.00,0,2
222790,0.00,-0.09,255.00,0,2
222821,0.00,-0.09,255.00,0,2
222852,0.00,-0.09,255.00,0,2
222883,0.00,-0.09,255.00,0,2
222913,0.00,-0.18,254.00,0,2
222944,0.00,-0.18,254.00,0,2
222975,0.00,-0.18,254.00,0,2
223006,0.00,-0.18,254.00,0,2
223037,0.00,-0.18,254.00,0,2
223068,0.00,-0.18,254.00,0,2
223099,0.00,-0.18,254.00,0,2,0
223130,0.00,-0.18,254.00,0,2
223161,0.00,-0.18,254.00,0,2
223192,0.00,-0.18,254.00,0,2
223223,0.00,-0.18,254.00,0,2
223253,0.00,-0.18,254.00,0,2
223284,0.00,-0.18,254.00,0,2
223315,0.00,-0.18,254.00,0,2
223346,0.00,-0.18,254.00,0,2
223377,0.00,-0.18,254.00,0,2
223408,0.00,-0.18,254.00,0,2
223439,0.00,-0.18,254.00,0,2
223470,0.00,-0.18,254.00,0,2
223501,0.00,-0.18,254.00,0,2
223532,0.00,-0.18,254.00,0,2
223563,0.00,-0.18,254.00,0,2
223594,0.00,-0.18,254.00,0,2
223625,0.00,-0.18,254.00,0,2
223655,0.00,-0.18,254.00,0,2
223686,0.00,-0.18,254.00,0,2
223717,0.00,-0.18,254.00,0,2,0
223749,0.00,-0.18,254.00,0,2
223780,0.00,-0.18,254.00,0,2
223811,0.00,-0.18,254.00,0,2
223842,0.00,-0.18,254.00,0,2
223874,0.00,-0.18,254.00,0,2
223905,0.00,-0.18,254.00,0,2
223936,0.00,-0.18,254.00,0,2
223967,0.00,-0.18,254.00,0,2
223999,0.00,-0.18,254.00,0,2,0
224030,0.00,-0.18,254.00,0,2
224061,0.00,-0.18,254.00,0,2
224092,0.00,-0.18,254.00,0,2
224124,0.00,-0.18,254.00,0,2
224155,0.00,-0.18,254.00,0,2
224186,0.00,-0.18,254.00,0,2
224217,0.00,-0.18,254.00,0,2
224249,0.00,-0.18,254.00,0,3
224280,0.00,-0.09,255.00,0,3
224311,0.00,-0.09,255.00,0,2
224342,0.00,-0.09,255.00,0,2
224374,0.00,-0.09,255.00,0,2
224405,0.00,-0.09,255.00,0,2
224436,0.00,-0.09,255.00,0,2
224467,0.00,-0.09,255.00,0,2
224499,0.00,-0.09,255.00,0,2
224530,0.00,-0.09,255.00,0,2
224561,0.00,-0.09,255.00,0,3
224592,0.00,-0.09,255.00,0,3
224624,0.00,-0.09,255.00,0,2,0
224655,0.00,-0.09,255.00,0,2
224686,0.00,-0.09,255.00,0,2
224717,0.00,-0.18,254.00,0,2
224749,0.00,-0.18,254.00,0,2
224780,0.00,-0.18,254.00,0,2
224811,0.00,-0.18,254.00,0,2
224842,0.00,-0.18,254.00,0,2
224874,0.00,-0.18,254.00,0,2
224905,0.00,-0.18,254.00,0,2,0
224936,0.00,-0.18,254.00,0,2
224967,0.00,-0.18,254.00,0,2
224999,0.00,-0.18,254.00,0,2
225030,0.00,-0.18,254.00,0,2
225061,0.00,-0.18,254.00,0,2
