trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,8.0,7,8.0,7,1,1,1,0,0
2,8.0,7,7,8.0,3,3,2,0,1
3,6.5,7,6.5,7,3,3,3,0,0
4,6.0,7,7,6.0,1,3,3,1,1
5,8.0,7,7,8.0,3,3,4,1,1
6,6.5,7,6.5,7,3,3,5,1,0
7,6.0,7,7,6.0,1,1,6,1,1
8,7.5,7,7,7.5,3,3,7,1,1
9,8.5,7,7,8.5,3,3,8,1,1
10,8.0,7,7,8.0,3,3,9,1,1
11,5.5,7,5.5,7,3,3,10,1,0
12,8.5,7,7,8.5,3,3,11,1,1
13,7.5,7,7.5,7,1,1,12,1,0
14,7.5,7,7,7.5,3,3,13,1,1
15,6.0,7,7,6.0,1,1,14,1,1
16,8.5,7,8.5,7,1,1,15,1,0
17,6.0,7,7,6.0,1,1,16,1,1
18,8.0,7,7,8.0,3,3,17,1,1
19,7.5,7,7.5,7,1,1,18,1,0
20,5.5,7,7,5.5,1,1,19,1,1
21,6.0,7,6.0,7,3,3,20,1,0
22,6.0,7,7,6.0,1,1,21,1,1
23,8.5,7,8.5,7,1,1,22,1,0
24,6.5,7,6.5,7,3,3,23,1,0
25,8.5,7,7,8.5,3,3,24,1,1
26,8.0,7,7,8.0,3,3,25,1,1
27,5.5,7,7,5.5,1,1,26,1,1
28,8.5,7,8.5,7,1,3,26,2,0
