time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.61,30.62,253.00,0
255,111.03,124.17,254.00,0
255,208.04,217.71,254.00,0
255,263.52,267.02,254.00,0
255,275.48,274.99,254.00,0
255,266.42,264.91,255.00,0
252,255.91,254.98,254.00,0
255,251.26,251.09,255.00,0
254,251.61,251.83,255.00,0
255,253.56,253.79,255.00,0
255,254.94,255.02,255.00,0
255,255.20,255.19,255.00,0
255,255.01,254.96,255.00,0
255,254.61,254.55,255.00,0
255,254.19,254.16,255.00,0
255,254.12,254.15,255.00,0
255,254.42,254.47,255.00,0
253,254.72,254.74,255.00,0
255,254.74,254.74,255.00,0
253,254.73,254.74,255.00,0
252,254.52,254.44,254.00,0
255,253.65,253.56,254.00,0
255,253.38,253.42,254.00,0
252,253.98,254.07,254.00,0
255,254.53,254.57,254.00,0
255,254.78,254.79,254.00,0
253,254.71,254.70,254.00,0
255,254.54,254.52,254.00,0
255,254.51,254.52,254.00,0
255,254.64,254.65,254.00,0
255,254.63,254.63,254.00,0
256,254.65,254.67,254.00,0
256,254.91,254.97,255.00,0
256,255.43,255.50,255.00,0
252,255.68,255.64,255.00,0
252,254.88,254.74,255.00,0
255,253.78,253.64,255.00,0
255,253.09,253.09,255.00,0
255,253.53,253.63,255.00,0
252,254.26,254.30,254.00,0
255,254.05,253.97,254.00,0
255,253.50,253.45,254.00,0
77769,0.00,0.00,254.00,0,1
77800,0.00,0.00,254.00,0,1
77831,0.00,0.00,254.00,0,1
77862,0.00,0.00,254.00,0,1
77892,0.00,0.00,254.00,0,1
77923,0.00,0.00,254.00,0,1
77954,0.00,0.00,254.00,0,1
77985,0.00,0.00,254.00,0,1,0
78016,0.00,0.00,254.00,0,1
78046,0.00,0.00,254.00,0,1,0
78077,0.00,0.00,254.00,0,0
78108,0.00,0.00,254.00,0,1
78139,0.00,0.00,254.00,0,1
78170,0.00,0.00,254.00,0,1
78200,0.00,0.00,254.00,0,1
78231,0.00,0.00,254.00,0,1
78262,0.00,0.00,254.00,0,1
78293,0.00,0.00,254.00,0,1
78324,0.00,0.00,254.00,0,1
78354,0.00,0.00,254.00,0,1
78385,0.00,0.00,254.00,0,1
78416,0.00,0.00,254.00,0,1
78447,0.00,0.00,254.00,0,1
78478,0.00,0.00,254.00,0,1
78508,0.00,0.00,254.00,0,1,0
78539,0.00,0.00,254.00,0,1
78570,0.00,0.00,254.00,0,1,0
78601,0.00,0.09,255.00,0,1
78632,0.00,0.09,255.00,0,1
78662,0.00,0.09,255.00,0,1
78693,0.00,0.09,255.00,0,1
78724,0.00,0.09,255.00,0,1
78755,0.00,0.09,255.00,0,1
78786,0.00,0.09,255.00,0,1
78816,0.00,0.09,255.00,0,1
78847,0.00,0.09,255.00,0,1
78878,0.00,0.09,255.00,0,1
78909,0.00,0.09,255.00,0,1
78940,0.00,0.09,255.00,0,1
78970,0.00,0.09,255.00,0,1
79001,0.00,0.09,255.00,0,1
79032,0.00,0.09,255.00,0,1,0
79063,0.00,0.09,255.00,0,1
79094,0.00,0.09,255.00,0,1,0
79124,0.00,0.09,255.00,0,1
79155,0.00,0.09,255.00,0,1
79186,0.00,0.09,255.00,0,1
79217,0.00,0.09,255.00,0,1
79248,0.00,0.09,255.00,0,1
79278,0.00,0.09,255.00,0,1
79309,0.00,0.09,255.00,0,1
79340,0.00,0.09,255.00,0,1
79371,0.00,0.09,255.00,0,1
79402,0.00,0.09,255.00,0,1
79432,0.00,0.09,255.00,0,1
