trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,2.8,2.5,2.8,2.5,1,1,1,0,0
2,2.8,2.5,2.8,2.5,1,1,2,0,0
3,2.2,2.5,2.2,2.5,3,1,2,1,0
4,3.4,2.5,3.4,2.5,1,1,3,1,0
5,2.2,2.5,2.5,2.2,1,1,4,1,1
6,3.1,2.5,2.5,3.1,3,3,5,1,1
7,3.1,2.5,3.1,2.5,1,1,6,1,0
8,1.6,2.5,2.5,1.6,1,1,7,1,1
9,3.1,2.5,3.1,2.5,1,1,8,1,0
10,2.2,2.5,2.5,2.2,1,1,9,1,1
11,3.1,2.5,2.5,3.1,3,3,10,1,1
12,1.6,2.5,1.6,2.5,3,3,11,1,0
13,2.8,2.5,2.8,2.5,1,1,12,1,0
14,1.9,2.5,2.5,1.9,1,1,13,1,1
15,1.9,2.5,2.5,1.9,1,1,14,1,1
16,2.2,2.5,2.5,2.2,1,1,15,1,1
17,2.2,2.5,2.2,2.5,3,1,15,2,0
18,2.8,2.5,2.5,2.8,3,3,16,2,1
19,3.4,2.5,3.4,2.5,1,1,17,2,0
20,3.1,2.5,2.5,3.1,3,3,18,2,1
21,3.1,2.5,3.1,2.5,1,1,19,2,0
22,1.9,2.5,2.5,1.9,1,1,20,2,1
23,1.9,2.5,1.9,2.5,3,3,21,2,0
24,1.6,2.5,2.5,1.6,1,1,22,2,1
25,2.2,2.5,2.2,2.5,3,1,22,3,0
26,1.6,2.5,1.6,2.5,3,3,23,3,0
27,2.2,2.5,2.5,2.2,1,1,24,3,1
28,1.9,2.5,1.9,2.5,3,3,25,3,0
29,3.4,2.5,2.5,3.4,3,3,26,3,1
30,1.9,2.5,1.9,2.5,3,3,27,3,0
31,2.2,2.5,2.5,2.2,1,1,28,3,1
32,3.4,2.5,2.5,3.4,3,3,29,3,1
33,1.9,2.5,2.5,1.9,1,1,30,3,1
34,1.6,2.5,1.6,2.5,3,3,31,3,0
35,2.8,2.5,2.8,2.5,1,1,32,3,0
36,1.6,2.5,1.6,2.5,3,3,33,3,0
37,2.8,2.5,2.8,2.5,1,1,34,3,0
38,2.8,2.5,2.8,2.5,1,1,35,3,0
39,3.4,2.5,3.4,2.5,1,1,36,3,0
40,3.1,2.5,3.1,2.5,1,1,37,3,0
41,2.8,2.5,2.5,2.8,3,3,38,3,1
42,3.1,2.5,2.5,3.1,3,3,39,3,1
43,2.8,2.5,2.5,2.8,3,3,40,3,1
44,1.6,2.5,2.5,1.6,1,1,41,3,1
45,2.2,2.5,2.2,2.5,3,3,42,3,0
46,1.9,2.5,2.5,1.9,1,1,43,3,1
47,3.4,2.5,3.4,2.5,1,1,44,3,0
48,3.4,2.5,2.5,3.4,3,3,45,3,1
49,2.2,2.5,2.5,2.2,1,1,46,3,1
50,3.1,2.5,3.1,2.5,1,1,47,3,0
51,3.4,2.5,3.4,2.5,1,1,48,3,0
52,1.9,2.5,2.5,1.9,1,1,49,3,1
53,3.4,2.5,2.5,3.4,3,3,50,3,1
54,1.6,2.5,2.5,1.6,1,1,51,3,1
55,3.1,2.5,3.1,2.5,1,1,52,3,0
56,2.8,2.5,2.8,2.5,1,1,53,3,0
57,1.6,2.5,1.6,2.5,3,3,54,3,0
58,1.6,2.5,2.5,1.6,1,1,55,3,1
59,1.9,2.5,1.9,2.5,3,1,55,4,0
60,3.4,2.5,3.4,2.5,1,1,56,4,0
