time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
258,22.63,30.66,254.00,0
257,111.49,124.72,255.00,0
256,209.10,218.82,255.00,0
255,264.90,268.42,255.00,0
255,276.73,276.19,255.00,0
255,267.09,265.51,255.00,0
256,256.11,255.17,255.00,0
256,251.72,251.61,255.00,0
256,252.58,252.85,256.00,0
256,254.90,255.15,256.00,0
254,256.38,256.47,256.00,0
256,256.47,256.41,256.00,0
256,255.96,255.91,256.00,0
256,255.71,255.71,256.00,0
256,255.76,255.78,256.00,0
256,255.91,255.93,256.00,0
256,256.02,256.02,256.00,0
256,256.04,256.04,256.00,0
256,256.03,256.02,256.00,0
252,256.00,255.99,256.00,0
255,255.62,255.55,256.00,0
255,255.09,255.05,256.00,0
255,254.84,254.83,256.00,0
257,254.69,254.64,255.00,0
256,254.42,254.43,255.00,0
255,254.78,254.84,255.00,0
255,255.12,255.14,255.00,0
252,255.12,255.11,255.00,0
255,254.85,254.81,255.00,0
256,254.68,254.70,255.00,0
256,255.01,255.08,255.00,0
256,255.58,255.65,255.00,0
256,255.99,256.02,255.00,0
257,256.20,256.22,255.00,0
252,256.38,256.39,255.00,0
255,256.03,255.95,255.00,0
255,255.34,255.26,255.00,0
255,254.90,254.87,255.00,0
255,254.75,254.73,255.00,0
255,254.59,254.57,255.00,0
255,254.60,254.62,255.00,0
256,254.82,254.87,255.00,0
126577,0.00,0.00,255.00,0,1
126608,0.00,0.00,255.00,0,1,0
126638,0.00,0.00,255.00,0,1
126669,0.00,0.00,255.00,0,1
126700,0.00,0.00,255.00,0,1
126731,0.00,0.00,255.00,0,1
126762,0.00,0.00,255.00,0,1
126793,0.00,0.00,255.00,0,1
126823,0.00,0.00,255.00,0,1
126854,0.00,0.00,255.00,0,1
126885,0.00,0.00,255.00,0,2
126916,0.00,0.00,255.00,0,1
126947,0.00,0.00,255.00,0,1
126978,0.00,0.00,255.00,0,1
127008,0.00,0.00,255.00,0,2
127039,0.00,0.00,255.00,0,1
127070,0.00,0.00,255.00,0,1,0
127101,0.00,0.00,255.00,0,1
127132,0.00,0.00,255.00,0,1,0
127163,0.00,0.00,255.00,0,1
127193,0.00,0.00,255.00,0,2
127224,0.00,0.00,255.00,0,1
127255,0.00,0.00,255.00,0,1
127286,0.00,0.00,255.00,0,1
127317,0.00,0.00,255.00,0,1
127348,0.00,0.00,255.00,0,1
127378,0.00,0.00,255.00,0,1
127409,0.00,0.00,255.00,0,1
127440,0.00,0.00,255.00,0,1
127471,0.00,0.00,255.00,0,1
127502,0.00,0.00,255.00,0,1
127533,0.00,0.00,255.00,0,1
127563,0.00,0.00,255.00,0,1
127594,0.00,0.00,255.00,0,1,0
127625,0.00,0.00,255.00,0,1
127656,0.00,0.00,255.00,0,2
127687,0.00,0.00,255.00,0,1
127718,0.00,0.00,255.00,0,1
127748,0.00,0.00,255.00,0,2
127779,0.00,0.00,255.00,0,1
127810,0.00,0.00,255.00,0,1
127841,0.00,0.00,255.00,0,2
127872,0.00,0.00,255.00,0,1
127903,0.00,0.00,255.00,0,1
127934,0.00,0.00,255.00,0,2
127964,0.00,0.00,255.00,0,1
127995,0.00,0.00,255.00,0,1
128026,0.00,0.00,255.00,0,1
128057,0.00,0.00,255.00,0,1
128088,0.00,0.00,255.00,0,1
128119,0.00,0.00,255.00,0,1,0
128149,0.00,0.00,255.00,0,1
128180,0.00,0.00,255.00,0,1
128211,0.00,0.00,255.00,0,1
128242,0.00,0.00,255.00,0,1
128273,0.00,0.00,255.00,0,1
128304,0.00,0.00,255.00,0,1
128334,0.00,0.00,255.00,0,1
128365,0.00,0.00,255.00,0,2
128396,0.00,0.00,255.00,0,1
128427,0.00,0.00,255.00,0,2
128458,0.00,0.00,255.00,0,1
128489,0.00,0.00,255.00,0,1
128519,0.00,0.00,255.00,0,1
128550,0.00,0.00,255.00,0,1
128581,0.00,0.00,255.00,0,1,0
128612,0.00,0.00,255.00,0,1
128643,0.00,0.00,255.00,0,1,0
128674,0.00,0.00,255.00,0,1
128704,0.00,0.00,255.00,0,1
128735,0.00,0.00,255.00,0,1
128766,0.00,0.00,255.00,0,1
128797,0.00,0.00,255.00,0,1
128828,0.00,0.00,255.00,0,1
128859,0.00,0.00,255.00,0,1
128889,0.00,0.00,255.00,0,2
128920,0.00,0.00,255.00,0,1
128951,0.00,0.00,255.00,0,1
128982,0.00,0.00,255.00,0,1
129013,0.00,0.00,255.00,0,1
129044,0.00,0.00,255.00,0,1
129074,0.00,0.00,255.00,0,1
129105,0.00,0.00,255.00,0,2,0
129136,0.00,0.00,255.00,0,1
129167,0.00,0.00,255.00,0,1
129198,0.00,0.00,255.00,0,1
129229,0.00,0.00,255.00,0,1
129259,0.00,0.00,255.00,0,1
129290,0.00,-0.09,254.00,0,1
129321,0.00,-0.09,254.00,0,1
129352,0.00,-0.09,254.00,0,1
129383,0.00,-0.09,254.00,0,1
129414,0.00,-0.09,254.00,0,1
129445,0.00,-0.09,254.00,0,1,0
129476,0.00,-0.09,254.00,0,1
129507,0.00,-0.09,254.00,0,1
129537,0.00,-0.09,254.00,0,1
129568,0.00,-0.09,254.00,0,1
129599,0.00,-0.09,254.00,0,1
129630,0.00,-0.09,254.00,0,1
129661,0.00,-0.09,254.00,0,1
