time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.62,30.64,253.00,0
255,111.15,124.31,254.00,0
255,208.16,217.81,254.00,0
256,263.58,267.11,255.00,0
256,275.89,275.46,255.00,0
258,267.32,265.87,255.00,0
252,257.19,256.29,255.00,0
255,252.52,252.30,255.00,0
255,252.35,252.51,255.00,0
255,253.89,254.09,255.00,0
255,255.12,255.21,255.00,0
255,255.49,255.49,255.00,0
255,255.33,255.30,255.00,0
255,255.08,255.05,255.00,0
255,254.94,254.93,255.00,0
256,254.99,255.02,255.00,0
256,255.35,255.41,255.00,0
256,255.78,255.82,255.00,0
255,256.03,256.05,255.00,0
255,255.97,255.93,255.00,0
254,255.59,255.55,255.00,0
255,255.26,255.22,255.00,0
255,254.92,254.87,255.00,0
255,254.65,254.64,255.00,0
255,254.69,254.71,255.00,0
255,254.86,254.88,255.00,0
255,255.00,255.01,255.00,0
255,255.05,255.05,255.00,0
255,255.03,255.03,255.00,0
255,255.01,255.01,255.00,0
255,255.00,254.99,255.00,0
255,254.99,254.99,255.00,0
255,255.00,255.00,255.00,0
254,254.99,254.98,255.00,0
255,254.79,254.77,255.00,0
253,254.69,254.68,255.00,0
256,254.61,254.61,255.00,0
256,254.90,254.96,255.00,0
256,255.49,255.56,255.00,0
256,255.95,255.98,255.00,0
256,256.12,256.13,255.00,0
254,256.10,256.09,255.00,0
127625,0.00,0.00,255.00,0,3
127656,0.00,0.00,255.00,0,2
127686,0.00,0.00,255.00,0,2,0
127717,0.00,0.00,255.00,0,2
127748,0.00,0.00,255.00,0,2
127779,0.00,0.00,255.00,0,2
127810,0.00,0.00,255.00,0,2
127841,0.00,0.00,255.00,0,2
127871,0.00,0.00,255.00,0,2
127902,0.00,0.09,256.00,0,2
127933,0.00,0.09,256.00,0,2
127964,0.00,0.09,256.00,0,2
127995,0.00,0.09,256.00,0,2
128026,0.00,0.09,256.00,0,3
128057,0.00,0.09,256.00,0,2
128087,0.00,0.09,256.00,0,2
128118,0.00,0.09,256.00,0,2
128149,0.00,0.09,256.00,0,2,0
128180,0.00,0.09,256.00,0,3
128211,0.00,0.09,256.00,0,3,0
128242,0.00,0.09,256.00,0,3
128273,0.00,0.09,256.00,0,3
128303,0.00,0.09,256.00,0,2
128334,0.00,0.09,256.00,0,3
128365,0.00,0.09,256.00,0,3
128396,0.00,0.09,256.00,0,2
128427,0.00,0.09,256.00,0,2
128458,0.00,0.09,256.00,0,2
128489,0.00,0.09,256.00,0,2
128519,0.00,0.09,256.00,0,2
128550,0.00,0.09,256.00,0,2
128581,0.00,0.09,256.00,0,2
128612,0.00,0.09,256.00,0,3
128643,0.00,0.09,256.00,0,3
128674,0.00,0.09,256.00,0,2
128705,0.00,0.09,256.00,0,3
128735,0.00,0.09,256.00,0,3
128766,0.00,0.09,256.00,0,2
128797,0.00,0.09,256.00,0,2
128828,0.00,0.09,256.00,0,2
128859,0.00,0.09,256.00,0,3
128890,0.00,0.09,256.00,0,2
128921,0.00,0.09,256.00,0,3
128952,0.00,0.09,256.00,0,2
128983,0.00,0.09,256.00,0,3
129014,0.00,0.09,256.00,0,2
129044,0.00,0.09,256.00,0,2
129075,0.00,0.09,256.00,0,2,0
129106,0.00,0.09,256.00,0,2
129137,0.00,0.09,256.00,0,3,0
129168,0.00,0.09,256.00,0,2
129199,0.00,0.09,256.00,0,3
129230,0.00,0.09,256.00,0,2
129261,0.00,0.09,256.00,0,2
129292,0.00,0.09,256.00,0,2
129323,0.00,0.09,256.00,0,2
129354,0.00,0.09,256.00,0,2
129384,0.00,0.09,256.00,0,2
129415,0.00,0.09,256.00,0,2
129446,0.00,0.09,256.00,0,2
129477,0.00,0.09,256.00,0,3
129508,0.00,0.09,256.00,0,2
129539,0.00,0.09,256.00,0,2,0
129570,0.00,0.09,256.00,0,2
129601,0.00,0.09,256.00,0,2
129632,0.00,0.09,256.00,0,2
129663,0.00,0.09,256.00,0,2
129694,0.00,0.09,256.00,0,2
129724,0.00,0.09,256.00,0,2
129755,0.00,0.09,256.00,0,2
129786,0.00,0.09,256.00,0,2
129817,0.00,0.09,256.00,0,2
129848,0.00,0.09,256.00,0,2
129879,0.00,0.09,256.00,0,2
129910,0.00,0.09,256.00,0,2
129941,0.00,0.09,256.00,0,2
