time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.52,30.48,252.00,0
252,110.27,123.30,252.00,0
252,206.37,215.92,252.00,0
252,261.05,264.50,252.00,0
252,272.75,272.26,252.00,0
252,263.78,262.30,252.00,0
252,253.47,252.55,252.00,0
252,248.90,248.73,252.00,0
251,249.05,249.20,252.00,0
251,250.27,250.39,252.00,0
251,250.97,251.02,252.00,0
251,251.16,251.16,252.00,0
251,251.10,251.09,252.00,0
252,251.02,251.02,252.00,0
252,251.24,251.29,252.00,0
252,251.66,251.71,252.00,0
255,251.98,252.01,252.00,0
252,252.26,252.29,252.00,0
252,252.38,252.37,252.00,0
252,252.25,252.23,252.00,0
252,252.08,252.06,252.00,0
252,251.98,251.97,252.00,0
252,251.96,251.96,252.00,0
252,251.98,251.98,252.00,0
252,252.00,252.00,252.00,0
251,251.98,251.96,252.00,0
251,251.64,251.59,252.00,0
251,251.21,251.17,252.00,0
251,250.96,250.94,252.00,0
251,250.90,250.90,252.00,0
251,250.94,250.95,252.00,0
251,250.99,251.00,251.00,0
251,251.02,251.02,251.00,0
254,251.03,251.04,251.00,0
252,251.40,251.46,251.00,0
252,251.90,251.95,251.00,0
252,252.14,252.15,251.00,0
252,252.16,252.17,251.00,0
253,252.29,252.30,252.00,0
252,252.36,252.36,252.00,0
252,252.28,252.26,252.00,0
252,252.12,252.10,252.00,0
64655,0.00,0.00,252.00,0,1
64686,0.00,0.00,252.00,0,1
64717,0.00,0.00,252.00,0,1
64748,0.00,0.00,252.00,0,1
64779,0.00,0.00,252.00,0,1
64809,0.00,0.00,252.00,0,2,0
64840,0.00,0.00,252.00,0,1
64871,0.00,0.00,252.00,0,1,0
64902,0.00,0.00,252.00,0,1
64933,0.00,0.00,252.00,0,1
64964,0.00,0.00,252.00,0,1
64994,0.00,0.00,252.00,0,1
65025,0.00,0.00,252.00,0,1
65056,0.00,0.00,252.00,0,1
65087,0.00,0.00,252.00,0,1
65118,0.00,0.00,252.00,0,1
65149,0.00,0.00,252.00,0,1
65180,0.00,0.00,252.00,0,1
65211,0.00,0.00,252.00,0,1
65241,0.00,0.00,252.00,0,2
65272,0.00,0.00,252.00,0,1,0
65303,0.00,0.00,252.00,0,2
65334,0.00,0.00,252.00,0,1,0
65365,0.00,0.00,252.00,0,1
65396,0.00,0.00,252.00,0,2
65427,0.00,0.00,252.00,0,1
65458,0.00,0.00,252.00,0,1
65489,0.00,0.00,252.00,0,1
65519,0.00,0.00,252.00,0,1
65550,0.00,0.00,252.00,0,1
65581,0.00,0.00,252.00,0,1
65612,0.00,0.00,252.00,0,1
65643,0.00,0.00,252.00,0,1
65674,0.00,0.00,252.00,0,1
65705,0.00,0.00,252.00,0,1
65736,0.00,0.00,252.00,0,1,0
65767,0.00,0.00,252.00,0,1
65798,0.00,0.00,252.00,0,1,0
65828,0.00,0.00,252.00,0,1
65859,0.00,0.00,252.00,0,1,0
65890,0.00,0.00,252.00,0,1
65921,0.00,0.00,252.00,0,1
65952,0.00,0.00,252.00,0,1
65983,0.00,0.00,252.00,0,1
66014,0.00,0.00,252.00,0,1
66044,0.00,0.00,252.00,0,1
66075,0.00,0.00,252.00,0,1
66106,0.00,0.00,252.00,0,1
66137,0.00,0.00,252.00,0,1
66168,0.00,0.00,252.00,0,1
66199,0.00,0.00,252.00,0,1,0
66230,0.00,0.00,252.00,0,1
66260,0.00,0.00,252.00,0,1,0
66291,0.00,0.00,252.00,0,1
66322,0.00,0.00,252.00,0,1
66353,0.00,0.00,252.00,0,1
66384,0.00,0.00,252.00,0,1
