time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.67,30.69,254.00,0
255,111.18,124.31,254.00,0
255,208.03,217.67,254.00,0
255,263.41,266.93,255.00,0
257,275.67,275.27,255.00,0
257,267.43,266.01,255.00,0
256,257.48,256.59,255.00,0
256,253.06,252.90,255.00,0
256,253.26,253.45,256.00,0
256,254.99,255.19,256.00,0
258,256.22,256.31,256.00,0
256,256.73,256.77,256.00,0
256,256.81,256.79,256.00,0
256,256.52,256.48,256.00,0
256,256.30,256.29,256.00,0
256,256.24,256.23,256.00,0
255,256.10,256.06,256.00,0
256,255.81,255.80,256.00,0
257,255.80,255.81,256.00,0
256,256.00,256.04,256.00,0
256,256.20,256.21,256.00,0
256,256.20,256.19,256.00,0
252,255.89,255.79,256.00,0
257,254.71,254.56,256.00,0
256,254.10,254.12,256.00,0
254,254.67,254.78,256.00,0
254,255.31,255.32,255.00,0
255,255.10,255.05,255.00,0
255,254.78,254.74,255.00,0
252,254.59,254.58,255.00,0
252,254.46,254.43,255.00,0
255,254.02,253.96,255.00,0
254,253.77,253.76,255.00,0
255,253.82,253.83,254.00,0
255,254.01,254.06,254.00,0
258,254.47,254.55,255.00,0
257,255.46,255.62,255.00,0
256,256.77,256.91,255.00,0
256,257.36,257.35,255.00,0
258,256.99,256.93,255.00,0
256,256.61,256.57,255.00,0
256,256.34,256.31,256.00,0
18526,0.00,0.00,256.00,0,0
18557,0.00,0.00,256.00,0,0
18588,0.00,0.00,256.00,0,0
18619,0.00,0.00,256.00,0,0
18650,0.00,0.00,256.00,0,0
18680,0.00,0.00,256.00,0,0
18711,0.00,0.00,256.00,0,0
18742,0.00,0.00,256.00,0,0
18773,0.00,0.00,256.00,0,0
18804,0.00,0.00,256.00,0,0
18834,0.00,0.00,256.00,0,0
18865,0.00,0.00,256.00,0,0
18896,0.00,0.00,256.00,0,0
18927,0.00,0.00,256.00,0,0
18958,0.00,0.00,256.00,0,0
18988,0.00,0.00,256.00,0,0,0
19019,0.00,0.09,257.00,0,0
19050,0.00,0.09,257.00,0,0
19081,0.00,0.09,257.00,0,0
19112,0.00,0.09,257.00,0,0
19142,0.00,0.09,257.00,0,0
19173,0.00,0.09,257.00,0,0
19204,0.00,0.09,257.00,0,0
19235,0.00,0.09,257.00,0,0
19266,0.00,0.09,257.00,0,0
19297,0.00,0.09,257.00,0,0
19327,0.00,0.09,257.00,0,0
19358,0.00,0.09,257.00,0,0
19389,0.00,0.09,257.00,0,0,0
19420,0.00,0.09,257.00,0,0
19451,0.00,0.09,257.00,0,0,0
19482,0.00,0.09,257.00,0,0
19513,0.00,0.09,257.00,0,0,0
19543,0.00,0.09,257.00,0,0
19574,0.00,0.09,257.00,0,0
19605,0.00,0.09,257.00,0,0
19636,0.00,0.09,257.00,0,0
19667,0.00,0.09,257.00,0,0
19698,0.00,0.09,257.00,0,0
19728,0.00,0.09,257.00,0,0
19759,0.00,0.09,257.00,0,0
19790,0.00,0.09,257.00,0,0
19821,0.00,0.00,256.00,0,0
19852,0.00,0.00,256.00,0,0
19882,0.00,0.00,256.00,0,0
19913,0.00,0.00,256.00,0,0
19944,0.00,0.00,256.00,0,0
19975,0.00,0.00,256.00,0,0,0
20006,0.00,0.00,256.00,0,0
20037,0.00,0.00,256.00,0,0
20067,0.00,0.00,256.00,0,0
20098,0.00,0.00,256.00,0,0
20129,0.00,0.00,256.00,0,0
20160,0.00,0.00,256.00,0,0
20191,0.00,0.00,256.00,0,0
20221,0.00,0.00,256.00,0,0
20252,0.00,0.00,256.00,0,0
20283,0.00,0.00,256.00,0,0
20314,0.00,0.00,256.00,0,0
20345,0.00,0.00,256.00,0,0
20376,0.00,0.00,256.00,0,0
20406,0.00,0.00,256.00,0,0
20437,0.00,0.00,256.00,0,0,0
