time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.80,30.84,254.00,0
251,111.14,124.18,253.00,0
251,206.78,216.22,252.00,0
252,260.62,263.99,252.00,0
255,272.00,271.53,253.00,0
255,263.59,262.22,253.00,0
255,254.37,253.62,253.00,0
252,250.87,250.75,253.00,0
252,250.98,251.10,253.00,0
255,251.94,252.04,253.00,0
255,252.78,252.89,253.00,0
255,253.77,253.89,253.00,0
253,254.62,254.69,253.00,0
254,254.69,254.62,253.00,0
252,253.87,253.77,253.00,0
252,253.15,253.09,254.00,0
252,252.97,252.99,254.00,0
252,253.00,253.00,253.00,0
252,252.96,252.96,253.00,0
252,252.90,252.87,253.00,0
252,252.75,252.75,253.00,0
255,252.78,252.79,253.00,0
252,253.12,253.21,253.00,0
252,253.66,253.68,253.00,0
252,253.51,253.45,253.00,0
255,252.96,252.91,253.00,0
255,252.95,253.02,253.00,0
252,253.75,253.86,253.00,0
252,254.35,254.36,253.00,0
252,254.00,253.89,253.00,0
252,253.01,252.89,253.00,0
252,252.17,252.10,253.00,0
252,251.86,251.89,253.00,0
252,252.22,252.26,253.00,0
252,252.43,252.43,253.00,0
255,252.33,252.30,253.00,0
252,252.47,252.53,253.00,0
252,252.86,252.87,253.00,0
255,252.81,252.82,253.00,0
252,253.02,253.04,253.00,0
255,252.94,252.90,253.00,0
255,252.86,252.90,253.00,0
20624,0.00,0.00,253.00,0,0
20655,0.00,0.00,253.00,0,0
20685,0.00,0.00,253.00,0,0
20716,0.00,0.00,253.00,0,0
20747,0.00,0.00,253.00,0,0
20778,0.00,0.00,253.00,0,0,0
20808,0.00,0.00,253.00,0,0
20839,0.00,0.00,253.00,0,0,0
20870,0.00,0.00,253.00,0,0
20901,0.00,0.00,253.00,0,0
20932,0.00,0.00,253.00,0,0
20962,0.00,0.00,253.00,0,0
20993,0.00,0.00,253.00,0,0
21024,0.00,0.00,253.00,0,0
21055,0.00,0.00,253.00,0,0
21086,0.00,0.00,253.00,0,0
21116,0.00,0.00,253.00,0,0
21147,0.00,0.00,253.00,0,0
21178,0.00,0.00,253.00,0,0
21209,0.00,0.00,253.00,0,0
21240,0.00,0.00,253.00,0,0
21271,0.00,0.00,253.00,0,0
21302,0.00,0.00,253.00,0,0,0
21332,0.00,0.00,253.00,0,0
21363,0.00,0.00,253.00,0,0,0
21394,0.00,0.00,253.00,0,0
21425,0.00,0.00,253.00,0,0
21456,0.00,0.00,253.00,0,0
21487,0.00,0.00,253.00,0,0
21517,0.00,0.00,253.00,0,0
21548,0.00,0.00,253.00,0,0
21579,0.00,0.00,253.00,0,0
21610,0.00,0.09,254.00,0,0
21641,0.00,0.09,254.00,0,0
21672,0.00,0.00,253.00,0,0
21703,0.00,0.00,253.00,0,0
21733,0.00,0.00,253.00,0,0
21764,0.00,0.00,253.00,0,0,0
21795,0.00,0.00,253.00,0,0
21826,0.00,0.00,253.00,0,0,0
21857,0.00,0.00,253.00,0,0
21888,0.00,0.00,253.00,0,0
