time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.67,30.67,253.00,0
252,110.75,123.80,253.00,0
255,206.76,216.29,253.00,0
254,261.53,265.04,253.00,0
253,273.84,273.43,253.00,0
252,265.14,263.66,253.00,0
255,254.71,253.81,253.00,0
255,250.55,250.47,254.00,0
255,251.46,251.71,254.00,0
255,253.47,253.66,254.00,0
255,254.30,254.30,254.00,0
255,253.93,253.85,254.00,0
255,253.63,253.65,254.00,0
253,254.01,254.07,254.00,0
252,254.16,254.14,254.00,0
255,253.91,253.87,254.00,0
255,253.79,253.81,254.00,0
255,254.16,254.23,254.00,0
255,254.69,254.75,254.00,0
256,255.04,255.07,254.00,0
252,255.33,255.34,254.00,0
252,254.80,254.65,254.00,0
252,253.56,253.42,254.00,0
252,252.71,252.65,254.00,0
255,252.48,252.49,254.00,0
252,252.82,252.90,254.00,0
253,253.34,253.39,254.00,0
255,253.54,253.53,254.00,0
252,253.52,253.54,254.00,0
252,253.47,253.42,254.00,0
255,253.08,253.05,253.00,0
252,252.96,252.94,253.00,0
252,252.72,252.67,253.00,0
252,252.33,252.29,253.00,0
252,252.18,252.21,253.00,0
252,252.48,252.50,253.00,0
255,252.55,252.54,253.00,0
255,252.68,252.74,253.00,0
252,253.41,253.52,253.00,0
252,253.93,253.94,253.00,0
255,253.62,253.55,253.00,0
255,253.29,253.29,253.00,0
79892,0.00,0.00,253.00,0,0
79923,0.00,0.00,253.00,0,0
79954,0.00,0.00,253.00,0,0
79984,0.00,0.00,253.00,0,0
80015,0.00,0.00,253.00,0,0
80046,0.00,0.00,253.00,0,0
80077,0.00,0.00,253.00,0,0
80107,0.00,0.00,253.00,0,0
80138,0.00,0.00,253.00,0,0
80169,0.00,0.00,253.00,0,0
80200,0.00,0.00,253.00,0,0
80231,0.00,0.00,253.00,0,0,0
80261,0.00,0.00,253.00,0,0
80292,0.00,0.00,253.00,0,0,0
80323,0.00,0.00,253.00,0,0
80354,0.00,0.00,253.00,0,0,0
80384,0.00,0.00,253.00,0,0
80415,0.00,0.00,253.00,0,0
80446,0.00,0.00,253.00,0,0
80477,0.00,0.00,253.00,0,0
80508,0.00,0.00,253.00,0,0
80538,0.00,0.00,253.00,0,0
80569,0.00,0.09,254.00,0,0
80600,0.00,0.09,254.00,0,0
80631,0.00,0.00,253.00,0,0
80662,0.00,0.09,254.00,0,0
80693,0.00,0.09,254.00,0,0
80723,0.00,0.09,254.00,0,0
80754,0.00,0.09,254.00,0,0,0
80785,0.00,0.09,254.00,0,0
80816,0.00,0.09,254.00,0,0,0
80847,0.00,0.09,254.00,0,0
80878,0.00,0.09,254.00,0,0
80909,0.00,0.09,254.00,0,0
80940,0.00,0.09,254.00,0,0
80970,0.00,0.09,254.00,0,0
81001,0.00,0.09,254.00,0,0
81032,0.00,0.09,254.00,0,0
81063,0.00,0.09,254.00,0,0
81094,0.00,0.09,254.00,0,0
81125,0.00,0.09,254.00,0,0
81156,0.00,0.09,254.00,0,0
81186,0.00,0.09,254.00,0,0
81217,0.00,0.09,254.00,0,0,0
81248,0.00,0.09,254.00,0,0
81279,0.00,0.09,254.00,0,0,0
81310,0.00,0.09,254.00,0,0
81341,0.00,0.09,254.00,0,0
81372,0.00,0.09,254.00,0,0
81403,0.00,0.09,254.00,0,0
81433,0.00,0.09,254.00,0,0
81464,0.00,0.09,254.00,0,0
81495,0.00,0.09,254.00,0,0
81526,0.00,0.09,254.00,0,0
81557,0.00,0.09,254.00,0,0
81588,0.00,0.09,254.00,0,0
81619,0.00,0.09,254.00,0,0
81649,0.00,0.09,254.00,0,0
81680,0.00,0.09,254.00,0,0,0
81711,0.00,0.09,254.00,0,0
81742,0.00,0.09,254.00,0,0,0
81773,0.00,0.09,254.00,0,0
81804,0.00,0.09,254.00,0,0,0
81835,0.00,0.09,254.00,0,0
81866,0.00,0.09,254.00,0,0
81896,0.00,0.09,254.00,0,0
81927,0.00,0.09,254.00,0,0
81958,0.00,0.09,254.00,0,0
81989,0.00,0.09,254.00,0,0
82020,0.00,0.09,254.00,0,0
82051,0.00,0.09,254.00,0,0
82082,0.00,0.09,254.00,0,0
82112,0.00,0.09,254.00,0,0
82143,0.00,0.18,255.00,0,0
