time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.63,30.61,253.00,0
254,110.60,123.66,253.00,0
252,206.92,216.50,253.00,0
252,261.67,265.09,253.00,0
252,273.06,272.52,253.00,0
252,263.60,262.06,252.00,0
252,252.89,251.96,252.00,0
252,248.38,248.24,252.00,0
254,248.89,249.13,252.00,0
255,251.23,251.56,253.00,0
252,253.48,253.64,253.00,0
252,254.02,254.01,253.00,0
255,253.71,253.66,253.00,0
254,253.59,253.62,253.00,0
255,253.73,253.72,253.00,0
252,253.71,253.72,253.00,0
252,253.72,253.69,253.00,0
251,253.22,253.11,253.00,0
251,252.18,252.04,253.00,0
251,251.26,251.18,253.00,0
251,250.79,250.76,253.00,0
252,250.76,250.81,253.00,0
252,251.29,251.37,252.00,0
252,251.87,251.94,252.00,0
252,252.41,252.47,252.00,0
253,252.71,252.72,252.00,0
252,252.61,252.58,252.00,0
251,252.24,252.15,252.00,0
251,251.51,251.42,252.00,0
252,251.04,251.04,252.00,0
252,251.34,251.41,252.00,0
252,251.88,251.95,252.00,0
251,252.34,252.36,252.00,0
252,252.27,252.25,252.00,0
252,252.13,252.11,252.00,0
252,252.04,252.03,252.00,0
252,252.00,252.00,252.00,0
252,251.99,251.99,252.00,0
252,252.00,252.02,252.00,0
252,252.15,252.17,252.00,0
252,252.21,252.20,252.00,0
251,252.03,251.98,252.00,0
64654,0.00,0.00,252.00,0,3
64685,0.00,0.00,252.00,0,3
64716,0.00,0.00,252.00,0,3
64747,0.00,0.00,252.00,0,3
64777,0.00,0.00,252.00,0,3
64808,0.00,0.00,252.00,0,3
64839,0.00,0.00,252.00,0,3
64870,0.00,0.00,252.00,0,3
64901,0.00,0.00,252.00,0,3,0
64932,0.00,0.00,252.00,0,3
64962,0.00,0.00,252.00,0,3,0
64993,0.00,0.00,252.00,0,3
65024,0.00,0.00,252.00,0,3
65055,0.00,0.00,252.00,0,3
65086,0.00,0.00,252.00,0,3
65117,0.00,0.00,252.00,0,3
65148,0.00,0.00,252.00,0,3
65178,0.00,0.00,252.00,0,3
65209,0.00,0.00,252.00,0,3
65240,0.00,0.00,252.00,0,3
65271,0.00,0.00,252.00,0,3
65302,0.00,0.00,252.00,0,3
65333,0.00,0.00,252.00,0,3
65364,0.00,0.00,252.00,0,3,0
65394,0.00,0.00,252.00,0,3
65425,0.00,0.00,252.00,0,3,0
65456,0.00,0.00,252.00,0,3
65487,0.00,0.00,252.00,0,3
65518,0.00,0.00,252.00,0,3
65549,0.00,0.00,252.00,0,3
65580,0.00,0.00,252.00,0,3
65610,0.00,0.00,252.00,0,3
65641,0.00,0.00,252.00,0,3
65672,0.00,0.00,252.00,0,3
65703,0.00,0.00,252.00,0,3
65734,0.00,0.00,252.00,0,3
65765,0.00,0.00,252.00,0,3
65796,0.00,0.00,252.00,0,3
65827,0.00,0.00,252.00,0,3,0
65857,0.00,0.00,252.00,0,3
65888,0.00,0.00,252.00,0,3,0
65919,0.00,0.00,252.00,0,3
65950,0.00,0.00,252.00,0,3
65981,0.00,0.00,252.00,0,3
66012,0.00,0.00,252.00,0,3
66043,0.00,0.00,252.00,0,3
66073,0.00,0.00,252.00,0,3
66104,0.00,0.00,252.00,0,3
66135,0.00,0.00,252.00,0,3
66166,0.00,0.00,252.00,0,3
66197,0.00,0.00,252.00,0,3
66228,0.00,0.00,252.00,0,3
66259,0.00,0.00,252.00,0,3
66289,0.00,0.00,252.00,0,3,0
66320,0.00,0.00,252.00,0,3
66351,0.00,0.00,252.00,0,3,0
66382,0.00,0.00,252.00,0,3
66413,0.00,0.00,252.00,0,3
66444,0.00,0.00,252.00,0,5
66475,0.00,0.00,252.00,0,3
66506,0.00,0.00,252.00,0,3
66536,0.00,0.00,252.00,0,3
66567,0.00,0.00,252.00,0,3
66598,0.00,0.00,252.00,0,3
66629,0.00,0.00,252.00,0,5
66660,0.00,0.00,252.00,0,3
66691,0.00,0.00,252.00,0,3
66722,0.00,0.00,252.00,0,3
66752,0.00,0.00,252.00,0,3
66783,0.00,0.00,252.00,0,3
66814,0.00,0.00,252.00,0,3,0
66845,0.00,0.00,252.00,0,3
66876,0.00,0.00,252.00,0,3,0
66907,0.00,0.00,252.00,0,3
66938,0.00,0.00,252.00,0,3
