time,force
5494.163,-22.5
5494.269,-22.5
5494.375,-22.5
5494.481,-22.5
5494.587,-22.5
5494.693,-22.5
5494.799,-22.5
5494.905,-22.5
5495.011,-22.5
5495.117,-22.5
5495.223,-22.5
5495.329,-22.5
5495.435,-22.5
5495.541,-22.5
5495.647,-22.5
5495.753,-22.5
5495.859,-22.5
5495.965,-22.5
5496.071,-22.5
5496.177,-22.5
5496.283,-22.5
5496.389,-22.5
5496.495,-22.5
5496.601,-22.5
5496.707,-22.5
5496.813,-22.5
5496.919,-22.5
5497.025,-22.5
5497.131,-22.5
5497.237,-22.5
5497.343,-22.5
5497.449,-22.5
5497.555,-22.5
5497.661,-22.5
5497.767,-22.5
5497.873,-22.5
5497.979,-22.5
5498.085,-22.5
5498.191,-22.5
5498.297,-22.5
5498.403,-22.5
5498.509,-22.5
5498.615,-22.5
5498.721,-22.5
5498.827,-22.5
5498.933,-22.5
5499.039,-22.5
5499.145,-22.5
5499.251,-22.5
5499.357,-22.5
5499.463,-22.5
5499.569,-22.5
5499.675,-22.5
5499.781,-22.5
5499.887,-22.5
5499.993,-22.5
5500.099,-22.5
5500.205,-22.5
5500.311,-22.5
5500.417,-22.5
5500.523,-22.5
5500.629,-22.5
5500.735,-22.5
5500.841,-22.5
5500.947,-22.5
5501.053,-22.5
5501.159,-22.5
5501.265,-22.5
5501.371,-22.5
5501.477,-22.5
5501.583,-22.5
5501.689,-22.5
5501.795,-22.5
5501.901,-22.5
5502.007,-22.5
5502.113,-22.5
5502.219,-22.5
5502.325,-22.5
5502.431,-22.5
5502.537,-22.5
5502.643,-22.5
5502.749,-22.5
5502.855,-22.5
5502.961,-22.5
5503.067,-22.5
5503.173,-22.5
5503.279,-22.5
5503.385,-22.5
5503.491,-22.5
5503.597,-22.5
5503.703,-22.5
5503.809,-22.5
5503.915,-22.5
5504.021,-22.5
